报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,29886113437.36,,,1507953548.02,,,18974641.45,,18974641.45,840376145.6,243058615.13,494532.68,,,,,,,,,,16427861.89,15116434668.42,,,,,280332899.25,47909671817.12,,,,,,,,2973833464.3,47304265.31,,416786915.87,,,,,,,2145974956.91,,,,,8391477936.47,,,,,17555004.67,3392761786.62,,,993526.74,,198788225.91,671535011.84,18257011094.64,66166682911.76,,3000000000.0,,,,,,1253354700.94,,1253354700.94,2170721.98,2793658685.92,,,317855850.71,2324970284.55,1934166.66,28163719.84,,,,459731577.59,,,,,,,,,,,,,,2019196221.26,362713948.9,12533651991.85,,1652419633.75,,,,15098885.58,,,,,,75612828.7,156620853.69,,1899752201.72,14433404193.57,,1471941963.0,,,,5443306054.55,12316041.8,101011316.76,,1471941963.0,,,43122737412.36,,,51598622667.87,134656050.32,51733278718.19,66166682911.76,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T21:12:04
20251231,,27341566698.37,,,1584771959.37,,,6075570.66,,6075570.66,1466494973.96,145596475.65,,,,,,,,,,17318326.51,17318326.51,15396031707.35,,,,,430459910.63,46388315622.5,,,,,,,,2930804469.77,47892751.08,,475499237.9,,,12861392196.38,4337847858.17,8523544338.21,,2064766283.24,2064766283.24,,8523544338.21,347065.82,8523891404.03,,,,,19863214.19,3414065535.11,,,1034985.48,,264019980.93,664841367.04,18406679228.77,64794994851.27,,,,,,,,1413421175.8,,1413421175.8,2014696.36,3367443727.83,,,481722380.36,1612884069.81,,28163719.84,,,587589747.04,615753466.88,,,,,,,,,,,,,,4074199213.05,436920270.99,12004359001.08,,2627166310.93,,,,15693190.61,,,,,,82513945.77,171180022.42,,2896553469.73,14900912470.81,,1471941963.0,,,,5439328102.53,159634274.47,143628853.52,,1471941963.0,,,41413087028.16,,,49780293635.74,113788744.72,49894082380.46,64794994851.27,定期报告,是,20260429,CNY,合并期末,2026-04-28T21:12:04
20250930,,31744503028.23,,,709720591.06,,,11026848.84,,11026848.84,1203673272.11,162547902.98,,,,,,,,,,,8895090.59,13747352903.12,,,,,34233570.76,47621953207.69,,,,,,,,2888775482.32,48481236.85,,458822485.0,,,,,,,1352545841.69,,,,,8664421347.95,,,,,22160046.1,3427367009.53,,,1141342.75,,326477211.79,683884321.16,17874076325.14,65496029532.83,,,,,,,,1391991485.85,,1391991485.85,3889942.66,3838045781.84,,,535592774.86,1770488162.57,,,,,,589674179.69,,,,,,,,,,,,,,4573734946.61,498945272.36,13202362546.44,,2219000000.0,,,,19753715.91,,,,,,79415062.89,150492718.03,,2468661496.83,15671024043.27,,1471951503.0,,,,5427488106.77,160339194.61,124136081.72,,1471951503.0,,,41344582305.41,,,49679770305.29,145235184.27,49825005489.56,65496029532.83,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T16:56:04
20250630,,35451080327.05,,,1610560917.24,,,16077566.15,,16077566.15,1411989312.86,228470687.43,32879641.22,,,,,,,,,9165193.9,42044835.12,13784525369.11,,,,,44247521.17,52588996536.13,,,,,,,,2836552287.45,48802205.54,,438338355.95,,,12825715316.02,4012254620.54,8813460695.48,,1165735552.56,1165735552.56,,8813460695.48,1686647.58,8815147343.06,,,,,24433390.1,3452040130.07,,,1322375.9,,229979417.63,588898590.92,17601249649.18,70190246185.31,,,,,,,,1414396921.39,,1414396921.39,5419308.1,3529323175.67,,,443931205.42,2014142202.18,,6788869591.98,,,588987575.88,7377857167.86,,,,,,,,,,,,,,5274717368.79,458655396.27,20518442745.68,,2728700000.0,,,,21014302.06,,,,,,82445141.55,159027020.27,,2991186463.88,23509629209.56,,1471951503.0,,,,5407442311.41,167794796.51,111904482.4,,1471951503.0,,,38245095469.06,,,46540550472.36,140066503.39,46680616975.75,70190246185.31,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T20:46:10
20250331,,33231596265.59,,,1391691462.99,,,15207500.27,,15207500.27,1199191197.14,241490004.69,,,,,,,,,,,8584456.1,13279875794.16,,,,,33838440.92,49401475121.86,,,,,,,,2831422148.18,49524449.85,,400119557.95,,,,,,,974337683.33,,,,,8962011726.25,,,,,27143946.12,3472265416.58,,,1542838.16,,245005967.06,416084449.26,17379458182.74,66780933304.6,,,,,,,,1526522728.93,,1526522728.93,,3065704152.19,,,323098787.49,2210336953.72,,29668290.2,,,,692178947.65,,,,,,,,,,,,,,4776120981.91,398536991.59,12992499543.48,,3228200000.0,,,,23260493.44,,,,,,80455288.74,152183995.33,,3484099777.51,16476599320.99,,1471951503.0,,,,5387122217.8,178175995.2,78227278.66,,1471951503.0,,,41934168678.25,,,50165245185.51,139088798.1,50304333983.61,66780933304.6,定期报告,未审计,20250428,CNY,合并期末,2025-04-27T16:32:11
20241231,,33578396831.33,,,1694282295.97,,,11022302.31,,11022302.31,1801947455.78,123870282.65,,,,,,,,,,13053645.0,13053645.0,13392794475.96,,,,,241081908.89,50856449197.89,,,,,,,,2801252317.93,50246694.16,,407194706.55,,,12811547753.16,3679940549.08,9131607204.08,,807233988.9,807233988.9,,9131607204.08,169711.43,9131776915.51,,,,,29254214.23,3417898796.19,,,1756272.03,,424185093.04,407347368.15,17478146366.69,68334595564.58,,,,,,,,1844497206.78,,1844497206.78,,3978131528.88,,,553580768.99,3233948597.08,,29668290.2,,,843927138.88,873595429.08,,,,,,,,,,,,,,3276628616.74,516729820.48,14277111968.03,,6279900000.0,,,,24528519.13,,,,,,86672726.83,158375714.88,,6549476960.84,20826588928.87,,1471951503.0,,,,5365763566.55,345699443.89,84235115.38,,1471951503.0,,,39340298309.42,,,47388500553.46,119506082.25,47508006635.71,68334595564.58,定期报告,是,20260429,CNY,合并期末,2025-04-27T16:32:11
20240930,,30317711254.63,,,1797091274.22,,,6939667.36,,6939667.36,4539294569.88,194288987.55,1812067.95,,,,,,,,,,19668746.55,12299814363.04,,,,,16539005.56,49191347868.79,,,,,,,,2738007214.17,50968938.48,,380927410.08,,,,,,,636881871.89,,,,,9425852427.62,,,,,31607985.45,3353312512.91,,,1752373.86,,278444792.03,407823146.07,17305578672.56,66496926541.35,,,,,,,,1955461761.32,,1955461761.32,,2654171466.27,,,454040506.53,1956116521.67,,,,,,837032162.79,,,,,,,,,,,,,,2768923430.25,345039911.61,10970785760.44,,9779900000.0,,,,28349800.11,,,,,,22126464.92,121296037.48,,9951672302.51,20922458062.95,,1471966503.0,,,,5328783977.04,357638387.98,52433946.08,,1471987769.0,,,37460032630.97,,,45427566438.11,146902040.29,45574468478.4,66496926541.35,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T19:00:05
20240630,,36100758789.69,,,697.84,,,4069325.61,,4069325.61,4088985516.61,183153346.02,20242601.7,,,,,,,,,16965614.21,37208215.91,12354323751.59,,,,,129399856.83,52897899500.1,,,,,,,,2727584618.05,44397290.42,,335372892.95,,,12943130701.61,3358243586.13,9584887115.48,,561121727.91,561121727.91,,9584887115.48,10310732.61,9595197848.09,,,,,32187976.28,3377465875.79,,,1573383.5,,262128182.93,404267753.99,17341297549.91,70239197050.01,,,,,,,,2162821537.64,,2162821537.64,,2341708292.72,,,345778113.07,1618870727.39,,7948733952.6,,,849638890.46,8798372843.06,,,,,,,,,,,,,,1555342077.23,304419317.46,17127312908.57,,10990000000.0,,,,28420897.97,,,,,,24919853.01,120182564.78,,11163523315.76,28290836224.33,,1471987769.0,,,,5285589296.33,359451123.09,28478148.43,,1471987769.0,,,33894370787.46,,,41792962647.13,155398178.55,41948360825.68,70239197050.01,定期报告,未审计,20240831,CNY,合并期末,2024-08-30T19:50:16
20240331,,32136543172.14,,,1283685143.48,,,12002086.85,,12002086.85,5340069606.45,279784255.48,,,,,,,,,,,23436341.61,11826979701.0,,,,,90969937.23,50993470244.24,,,,,,,,2735747753.9,37444407.41,,380146500.05,,,,,,,491641651.75,,,,,9726243826.32,,,,,33203550.65,3400980661.48,,,826302.51,,467586709.82,358482627.94,17632303991.83,68625774236.07,,,,,,70204.81,,2256892679.03,,2256892679.03,,2534857788.92,,,315275242.18,2200240887.24,,,,,,897050396.1,,,,,,,,,,,,,,1543114827.38,329169207.59,10076671233.25,,11990200000.0,,,,30191987.53,,,,,,25153241.1,132374510.44,,12177919739.07,22254590972.32,,1471987769.0,,,,5236750959.91,383640162.35,44034435.0,,1471987769.0,,,38389516704.65,,,46230637475.21,140545788.54,46371183263.75,68625774236.07,定期报告,未审计,20240427,CNY,合并期末,2024-04-27T01:25:05
20231231,,25952025091.28,,,1426992098.83,,,17461378.98,,17461378.98,5938171007.93,202309186.7,,,,,,,,,,22716893.12,22716893.12,11622043947.46,,,,,176684731.97,45358404336.27,,,,,,,,2708254833.5,37785416.77,,402893468.8,,,11774922665.67,3161112453.93,8613810211.74,622940.07,1718468880.53,1718468880.53,,8613187271.67,36193.79,8613223465.46,,,,,23260955.23,3397873791.08,,,960005.91,,674429617.92,358900430.13,17936050865.33,63294455201.6,,,,,,9763.87,,2357223733.21,,2357223733.21,,2672977090.3,,,523866711.41,2939627533.0,,29684819.82,,,1121036342.71,1150721162.53,,,,,,,,,,,,,,78918152.41,347485071.57,10070829218.3,,10000300000.0,1498716737.02,,,22356404.47,,,,,,27772083.74,142773028.22,,11691918253.45,21762747471.75,,1471987769.0,,,,5185481523.22,616743610.59,63130469.51,,1471987769.0,,,33815566574.75,,,41391410494.89,140297234.96,41531707729.85,63294455201.6,定期报告,是,20250428,CNY,合并期末,2024-04-27T01:25:05
