科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
营业总收入,1926214482.01,2926854519.88,3798378737.77,4370422479.87,5370871771.66,8427910004.45,11556353850.89,10431124740.82,5353442161.34,6900156926.63,8626696462.91,10394867493.46,13055465761.55,15816934272.86,16652854549.8,20642261724.37,25123563271.62,30233301388.26,31196248208.33,25731010647.32
营业收入,1926214482.01,2926854519.88,3798378737.77,4370422479.87,5370871771.66,8427910004.45,11556353850.89,10431124740.82,5353442161.34,6900156926.63,8626696462.91,10394867493.46,13055465761.55,15816934272.86,16652854549.8,20642261724.37,25123563271.62,30233301388.26,31196248208.33,25731010647.32
营业总成本,,,2294054865.9,2572681701.14,2805018445.98,4433952669.96,5845344808.12,5846117190.34,4306501366.48,5264795359.91,6282230915.87,7127810215.67,8502113044.92,9922882478.2,8935579731.67,10393487334.14,11424541543.84,12638987548.9,13053488597.44,11272923807.24
营业成本,840734195.28,1260625606.13,1288926156.68,1457580348.6,1643185783.51,2846009311.66,3969533936.29,4487145192.31,2804473426.42,3491746368.56,3373229372.64,2917815056.52,2934001858.91,3065418048.38,2823484558.06,2952431488.31,3369528394.02,3537151403.15,3888116183.93,3441749582.69
税金及附加,152719409.06,216580333.94,263437524.53,323762857.15,437864126.52,695230132.81,716616772.83,422696292.47,343613603.48,517981045.97,857777754.85,1335106291.77,1605835052.97,1975858645.23,2223571956.83,2864901542.85,3523948287.48,4133126350.68,4753755581.18,3927743376.52
销售费用,294418723.89,352412250.41,512788495.96,499371204.14,323368124.96,389549268.39,664880001.14,679982283.84,579235957.08,873874602.76,1557496149.13,2411884522.31,3392721432.33,4186102153.59,3090655832.25,3599211604.56,3448771046.02,3974425526.92,3538382615.99,3237149369.15
管理费用,133645850.24,167804272.7,227302214.12,290421928.82,390466729.63,500646378.58,532914507.35,413162807.75,465590165.22,438865493.38,551630841.32,569454213.32,722448972.8,828945024.92,844454467.47,1056116367.85,1162422257.23,1139480677.23,1100779964.56,962421600.8
研发费用,,,,,,,,,,,,,62172210.7,71643099.77,85858119.8,137712329.78,206248486.57,225955797.33,260975311.1,215855671.81
财务费用,10859545.16,13925590.04,2206412.83,-240711.93,7564052.32,-3151869.54,-37272652.49,-156727167.82,-90952162.78,-58303042.93,-58816284.51,-106898022.7,-215066482.79,-205084493.69,-132445202.74,-216885999.21,-286376927.48,-371152206.41,-488521059.32,-511995793.73
利息费用,,,,,16340965.76,7547665.24,,,,,,,64698037.12,139603113.82,190368213.56,195125786.35,229673136.36,488003010.93,305448236.36,157503475.68
