科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
销售商品、提供劳务收到的现金,2178044775.03,3291982481.69,4415442496.34,5104500250.14,5453850551.3,9690062542.65,14105278240.45,9680978124.45,7810551168.54,6308309785.29,8092912777.08,12421322558.16,14828436081.11,18483174163.09,17181826402.36,22547242658.59,25912851214.24,31589430458.52,40036206060.66,27777276141.94
收到的税费返还,416855.15,521754.7,731381.85,736815.19,73918.06,1231595.1,,24461.53,,,3766167.84,,5786338.67,5043369.84,4409523.82,3431889.01,96229396.25,4311439.27,8746142.49,9025614.4
收到其他与经营活动有关的现金,30173766.99,44266384.82,27484612.31,38172172.41,81303967.53,83860342.79,199884448.05,269972708.97,303819470.04,315818639.61,183101685.01,244192652.06,482593561.94,628136779.7,536706593.88,970002588.49,868192251.33,1271444860.82,969333056.82,734568847.34
经营活动现金流入小计,2208635397.17,3336770621.21,4443658490.5,5143409237.74,5535228436.89,9775154480.54,14305162688.5,9950975294.95,8114370638.58,6624128424.9,8279780629.93,12665515210.22,15316815981.72,19116354312.63,17722942520.06,23520677136.09,26877272861.82,32865186758.61,41014285259.97,28520870603.68
购买商品、接受劳务支付的现金,1038006601.36,1050412412.92,2175584189.03,2314053280.25,2285436772.28,3081432715.82,5137880204.12,4265793329.48,4083637940.19,4259266084.12,1850010192.68,3779045426.7,3826697226.55,5306328780.97,3935832838.54,5071928013.73,5224385672.55,6584743337.24,5963558109.59,5530412116.98
支付给职工及为职工支付的现金,99337768.33,109211076.48,137375343.48,163263320.13,234866610.75,201785777.64,237184243.57,263676190.58,225184999.13,229007593.18,290266946.87,403853839.86,569194842.3,765303405.29,798605373.41,1016371335.03,1159257102.51,1291700762.53,1313523728.57,1331071043.16
支付的各项税费,475118833.95,662009930.06,949310208.38,1232928979.8,1395661462.17,2199556056.33,3582818501.59,3631751725.8,1485797717.6,1234920541.08,2109104621.57,2544604491.76,3545440004.11,4932650062.18,5241424782.99,6428760153.55,9242016336.48,11873473704.94,12329320329.48,12094908635.3
支付其他与经营活动有关的现金,239192780.88,286307611.93,367409466.66,365806580.98,267982048.22,319812313.77,566655366.53,563163786.63,1012639895.82,748142772.83,1280836068.06,2244603990.01,3077567890.52,3270452860.33,2830977073.82,3304969529.27,2988965480.56,2466904018.44,2226114728.68,2441260130.36
经营活动现金流出小计,1851655984.52,2107941031.39,3629679207.55,4076052161.16,4183946893.42,5802586863.56,9524538315.81,8724385032.49,6807260552.74,6471336991.21,5530217829.18,8972107748.33,11018899963.48,14274735108.77,12806840068.76,15822029031.58,18614624592.1,22216821823.15,21832516896.32,21397651925.8
经营活动产生的现金流量净额,356979412.65,1228829589.82,813979282.95,1067357076.58,1351281543.47,3972567616.98,4780624372.69,1226590262.46,1307110085.84,152791433.69,2749562800.75,3693407461.89,4297916018.24,4841619203.86,4916102451.3,7698648104.51,8262648269.72,10648364935.46,19181768363.65,7123218677.88
收回投资收到的现金,13367325.32,171886328.0,,1452975.72,,,1300358918.49,14011003.3,125000.0,25000.0,,,,,,,2130340931.54,1806849496.56,2190773011.55,2220118349.64
取得投资收益收到的现金,2098000.0,1424652.65,350000.0,231435.27,34859345.01,140228168.02,1227570.06,1700000.0,2672239.45,2824606.35,8542597.21,19553674.91,19480124.47,29483836.65,28707091.3,38354817.5,47015525.79,57070473.44,75373409.8,74668176.18
处置固定资产、无形资产等收回的现金净额,40538237.04,678534.58,2571456.85,3758871.99,954263.43,2104796.4,63152661.41,25172247.49,133688.17,214001.04,104354.97,409427.97,222840.26,33045256.91,20743376.36,3538598.27,66239957.85,69684519.48,11432852.36,1978040.76
投资活动现金流入小计,56003562.36,173989515.23,62493048.98,6537485.47,35813608.44,142332964.42,1364739149.96,53463250.79,21881867.62,10063607.39,11258772.18,30289702.88,19702964.73,62529093.56,49450467.66,41893415.77,2243596415.18,1933604489.48,2277579273.71,2296764566.58
购建固定资产、无形资产等支付的现金,175918450.12,280868914.04,129837364.24,121611663.75,257368312.03,181684056.17,180898019.95,294674984.94,164162379.59,79223291.48,237062629.25,1415996563.84,1468482777.22,4605226214.5,2143910509.48,1979399942.51,1035165351.11,1501625135.45,1188370866.64,1932762969.97
