科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
毛利率(%),56.35,56.93,66.07,66.65,69.41,66.23,65.65,56.98,47.61,49.4,60.9,71.93,77.53,80.62,83.05,85.7,86.59,88.3,87.54,86.62
净利率(%),16.72,26.37,33.36,38.7,42.46,36.26,39.31,33.91,18.23,22.47,22.94,25.03,26.89,29.35,35.78,38.45,41.44,43.95,43.27,42.21
归母净利率(%),16.75,26.42,33.33,38.29,41.06,34.47,37.99,32.96,16.43,21.35,22.69,24.61,26.7,29.35,36.06,38.54,41.26,43.81,43.19,42.09
"ROE(归母÷期末归母权益,%)",14.45,28.6,36.4,39.39,39.97,40.52,45.24,32.53,9.06,14.33,17.78,16.86,20.55,23.92,26.03,28.37,30.3,32.0,28.43,21.76
销售费用率(%),15.28,12.04,13.5,11.43,6.02,4.62,5.75,6.52,10.82,12.66,18.05,23.2,25.99,26.47,18.56,17.44,13.73,13.15,11.34,12.58
管理费用率(%),6.94,5.73,5.98,6.65,7.27,5.94,4.61,3.96,8.7,6.36,6.39,5.48,5.53,5.24,5.07,5.12,4.63,3.77,3.53,3.74
研发费用率(%),,,,,,,,,,,,,0.48,0.45,0.52,0.67,0.82,0.75,0.84,0.84
税金及附加/营收(%·消费税等),7.93,7.4,6.94,7.41,8.15,8.25,6.2,4.05,6.42,7.51,9.94,12.84,12.3,12.49,13.35,13.88,14.03,13.67,15.24,15.26
经营现金流/净利润(现金含量),1.108,1.592,0.642,0.631,0.592,1.3,1.052,0.347,1.339,0.099,1.389,1.419,1.224,1.043,0.825,0.97,0.794,0.801,1.421,0.656
销售收现/营收,1.131,1.125,1.162,1.168,1.015,1.15,1.221,0.928,1.459,0.914,0.938,1.195,1.136,1.169,1.032,1.092,1.031,1.045,1.283,1.08
capex/净利润(%),-54.62,-36.39,-10.25,-7.19,-11.28,-5.95,-3.98,-8.33,-16.82,-5.11,-11.98,-54.42,-41.83,-99.2,-35.98,-24.94,-9.94,-11.3,-8.8,-17.8
(合同负债+预收)/营收(%·蓄水池),25.97,16.14,18.66,15.07,19.68,30.27,25.64,14.98,43.18,23.16,12.62,18.83,12.29,14.19,10.08,17.0,10.22,8.84,12.75,13.09
应收账款/营收(%),2.19,2.19,0.74,0.7,0.88,0.71,0.7,0.1,0.09,0.18,0.05,0.08,0.08,0.12,0.01,0.01,0.02,0.06,0.04,0.02
资产负债率(%),35.08,39.65,31.42,28.72,30.7,42.1,37.26,22.55,25.64,21.39,20.49,22.49,24.25,32.38,33.78,34.89,33.19,34.38,30.48,23.0
归母/净利润(%·少数股东leak),100.16,100.2,99.92,98.93,96.69,95.07,96.65,97.18,90.14,94.99,98.89,98.31,99.29,99.99,100.79,100.23,99.57,99.68,99.82,99.73
存货周转天数,532.5,358.8,336.6,299.4,330.0,273.6,267.7,196.4,367.9,299.0,272.0,351.7,401.9,433.6,607.0,899.7,1066.0,1199.3,1257.3,1632.8
应收账款周转天数,8.0,8.0,2.7,2.6,3.2,2.6,2.5,0.4,0.3,0.6,0.2,0.3,0.3,0.4,0.0,0.0,0.1,0.2,0.1,0.1
分配股利利润偿息/归母(%·含息近似分红率),-14.33,-40.3,-39.48,-54.57,-48.9,-54.04,-48.76,-76.59,-204.95,-82.4,-60.03,-54.24,-54.84,-51.49,-40.3,-39.83,-47.55,-49.42,-61.48,-83.08
货币资金/总资产(%),22.5,9.89,13.82,15.67,13.44,25.24,44.58,38.95,35.76,26.85,34.56,42.77,41.44,33.73,33.21,31.27,34.56,41.0,49.14,42.2
存货/总资产(%),35.47,27.59,23.34,19.98,18.51,17.1,18.7,17.58,21.46,21.7,18.0,14.23,14.29,12.59,13.41,16.84,19.15,18.36,19.6,23.76
固定资产/总资产(%),16.31,11.54,15.52,13.51,10.65,8.11,6.41,8.09,8.25,8.42,8.44,5.72,4.56,5.25,19.67,18.72,17.23,13.61,13.36,13.16
