科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
货币资金,777957867.96,444308234.54,703637937.8,937281020.65,1079108611.48,3148898506.79,6942008562.71,5349434667.26,4709607474.33,3539506611.4,4826448031.74,8449622154.91,9367386627.68,9753666526.78,11624870340.6,13513494580.56,17757528211.25,25952025091.28,33578396831.33,27341566698.37
交易性金融资产,1293686.3,,,,,,,,,,,,,,,706352241.79,1073466780.37,1426992098.83,,
应收票据,243303990.75,160678062.49,529389405.66,689909219.88,1799095476.98,3439678051.38,2789726550.34,2997342876.91,1456912013.03,2268110161.56,2152898361.86,2492813857.65,2388326476.15,,,,,,,
应收账款,42121837.82,64100091.57,28231795.49,30664433.79,47113084.31,59557461.53,80473364.77,10092949.09,4705568.29,12226328.76,3898676.86,8008857.2,10333728.87,18293914.23,1507852.43,1628248.55,5939420.78,17461378.98,11022302.31,6075570.66
应收款项融资,,,,,,,,,,,,,,2393797259.8,3209371766.35,4757631778.64,4583352503.37,5938171007.93,1801947455.78,1466494973.96
预付款项,94553115.86,568200648.01,61098858.79,125966998.32,116404012.05,45681664.4,16200911.85,1924443.15,124025264.61,94997045.2,91710000.28,197835516.46,137243573.66,151818448.48,74685537.38,178087688.81,114257506.26,202309186.7,123870282.65,145596475.65
其他应收款,29010620.24,29114206.63,20984016.85,24827735.54,26415564.82,23969331.76,11890861.76,21088072.47,317639367.04,215070887.39,219537091.95,221179068.43,166525010.16,159753421.64,127032931.42,28615361.96,23396533.98,22716893.12,13053645.0,17318326.51
存货,1226639399.11,1239359672.96,1188694505.06,1195607676.47,1485554084.87,2133167694.92,2911818746.16,2414766803.87,2826992567.86,2859998734.39,2513775232.66,2811866523.26,3230415749.95,3641235092.33,4695663431.25,7277573166.8,9840742374.85,11622043947.46,13392794475.96,15396031707.35
其他流动资产,,,,,,,,,464347488.57,371860435.74,156905069.52,72856419.6,194237237.02,195174048.57,156565424.18,111974532.91,153035946.94,176684731.97,241081908.89,430459910.63
流动资产合计,2414880518.04,2505760916.2,2532036519.65,3004257084.65,4589007314.51,8850952710.78,12752118997.59,10831962668.31,9919586593.73,9373390104.44,9975467764.87,14268729273.2,15494468403.49,16313738711.83,19889697283.61,26575357600.02,33551719277.8,45358404336.27,50856449197.89,46388315622.5
可供出售金融资产,,,,,,,,,61975905.45,378279459.14,,,275819448.46,,,,,,,
长期股权投资,78403149.93,789403688.59,1342643424.18,1702346339.31,1984102728.29,1997195088.52,1052012662.86,1121163656.33,1222154508.74,1522910942.42,1712154381.55,1824893972.85,2091103348.61,2230721725.72,2477667171.27,2626744236.25,2667500553.17,2708254833.5,2801252317.93,2930804469.77
其他权益工具投资,,,,,,,,,,,,,,352395255.78,347160399.42,363312120.43,1136736978.11,402893468.8,,
投资性房地产,22622077.39,21465987.97,,,,,,,,,,,,,,,39149454.22,37785416.77,,
固定资产,564114189.32,518466097.72,790575266.41,808130589.95,854500069.1,1012391815.16,997840656.14,1111320670.78,1086492487.54,1110527341.27,1178861028.34,1129894772.6,1029666915.47,1518865397.91,6887108174.72,8089487274.39,8856258598.78,8613223465.46,9131776915.51,8523891404.03
在建工程,143475326.68,422707282.22,57291699.83,57823908.13,117079045.36,60834002.5,184561514.71,248331118.04,285439418.78,182954414.8,183870575.51,1567263995.95,3000489249.86,7257393087.56,2012129880.15,1259845487.5,808919047.21,1718468880.53,807233988.9,2064766283.24
使用权资产,,,,,,,,,,,,,,,,52714810.04,39952525.63,23260955.23,29254214.23,19863214.19
无形资产,181331208.96,177446764.95,298863832.19,307703478.02,352396987.8,327295975.69,281186415.12,259722304.63,251461871.32,243576008.96,235834475.55,231039145.33,231967372.88,332234032.47,2657118025.37,2606359188.72,3083271852.79,3397873791.08,3417898796.19,3414065535.11
商誉,,,,,,,,,,,,,,,,,,,,
长期待摊费用,10582525.8,5611870.88,,,,,695105.23,531080.53,88401.43,,,,,928805.23,2305902.21,1463869.21,710010.92,960005.91,1756272.03,1034985.48
递延所得税资产,42555286.73,50998212.26,71651273.67,102428719.6,129179045.11,228561934.77,304561086.17,161258511.84,333042004.28,368258228.12,356694148.64,411361142.33,436434961.24,676152614.07,725210660.84,986112983.42,1005167353.8,674429617.92,424185093.04,264019980.93
其他非流动资产,,,,,,,,,10577778.21,1777195.64,4314.05,4314.05,44979896.41,237539447.75,10806325.86,650384435.7,196095702.09,358900430.13,407347368.15,664841367.04
非流动资产合计,1043083764.81,1986099904.59,2561025496.28,2978433035.01,3437257875.66,3626278816.64,2820857440.23,2902327342.15,3251232375.75,3808283590.35,3990082900.45,5487031801.0,7110461192.93,12606230366.49,15119506539.84,16636424405.66,17833762076.72,17936050865.33,17478146366.69,18406679228.77
资产总计,3457964282.85,4491860820.79,5093062015.93,5982690119.66,8026265190.17,12477231527.42,15572976437.82,13734290010.46,13170818969.48,13181673694.79,13965550665.32,19755761074.2,22604929596.42,28919969078.32,35009203823.45,43211782005.68,51385481354.52,63294455201.6,68334595564.58,64794994851.27
短期借款,254000000.0,,,,,,,,,,,,,,,,,,,
应付票据,81094003.76,397100000.0,155550000.0,40000000.0,,365979887.24,432060000.0,253650000.0,126410000.0,,,,,,121285117.6,,,,,
