"单位:千美元(印刷为百万,×1000);利润表/现金流:费用与流出=负数;资产负债表按印刷原值;空=该期未列示"
来源:10-Q 2026Q1(0001628280-26-026673) + 10-Q 2026Q2(0001628280-26-049270) 的 SEC 渲染报表 R*.htm
"⚠️ 10-Q 现金流量表为**年初至今累计**口径:Q2 单季现金流公司未单独披露,故本表现金流只有 Q1 与 H1 两列"
科目,2026Q1,2025Q1,2026Q2,2025Q2,2026H1,2025H1,2026Q1末,2026Q2末,2025年末
营业收入 Total revenues,22387000,19335000,28236000,22496000,50623000,41831000,,,
营业成本 Total cost of revenues,-17667000,-16182000,-23485000,-18618000,-41152000,-34800000,,,
毛利 Gross profit,4720000,3153000,4751000,3878000,9471000,7031000,,,
研发费用 Research and development,-1946000,-1409000,-2371000,-1589000,-4317000,-2998000,,,
"销售及行政费用 Selling, general and administrative",-1833000,-1251000,-1982000,-1366000,-3815000,-2617000,,,
重组及其他 Restructuring and other,0,-94000,0,0,0,-94000,,,
经营费用合计 Total operating expenses,-3779000,-2754000,-4353000,-2955000,-8132000,-5709000,,,
经营利润 Income from operations,941000,399000,398000,923000,1339000,1322000,,,
利息收入 Interest income,434000,400000,422000,392000,856000,792000,,,
利息费用 Interest expense,-92000,-91000,-81000,-86000,-173000,-177000,,,
"其他收入(费用)净额 Other income (expense), net",-535000,-119000,590000,320000,55000,201000,,,
税前利润 Income before income taxes,748000,589000,1329000,1549000,2077000,2138000,,,
所得税 Provision for income taxes,-257000,-169000,-201000,-359000,-458000,-528000,,,
净利润(含少数股东) Net income,491000,420000,1128000,1190000,1619000,1610000,,,
少数股东损益 NCI,14000,11000,14000,18000,28000,29000,,,
归母净利润 Net income attributable to common stockholders,477000,409000,1114000,1172000,1591000,1581000,,,
【分部】汽车板块-收入,16234000,13967000,20516000,16661000,36750000,30628000,,,
【分部】汽车板块-成本,12812000,11700000,17053000,13795000,29865000,25495000,,,
【分部】汽车销售-收入,15473000,12925000,20006000,15787000,35479000,28712000,,,
【分部】汽车销售-成本,12616000,11461000,16866000,13567000,29482000,25028000,,,
【分部】汽车监管积分-收入,380000,595000,146000,439000,526000,1034000,,,
【分部】汽车租赁-收入,381000,447000,364000,435000,745000,882000,,,
【分部】汽车租赁-成本,196000,239000,187000,228000,383000,467000,,,
【分部】能源发电与储存-收入,2408000,2730000,3139000,2789000,5547000,5519000,,,
【分部】能源发电与储存-成本,1456000,1945000,2499000,1943000,3955000,3888000,,,
【分部】服务及其他-收入,3745000,2638000,4581000,3046000,8326000,5684000,,,
【分部】服务及其他-成本,3399000,2537000,3933000,2880000,7332000,5417000,,,
净利润 Net income,491000,420000,,,1619000,1610000,,,
折旧摊销及减值 D&A and impairment,1590000,1447000,,,3209000,2880000,,,
股份支付 Stock-based compensation,1030000,573000,,,2181000,1208000,,,
经营活动现金流净额 Net cash from operating activities,3937000,2156000,,,8634000,4696000,,,
购建固定资产(capex) Purchases of property and equipment,-2493000,-1492000,,,-8282000,-3886000,,,
投资活动现金流净额 Net cash from investing activities,-5023000,-1651000,,,-10951000,-4595000,,,
发债所得 Proceeds from issuances of debt,4331000,625000,,,4679000,3050000,,,
偿还债务 Repayments of debt,-3530000,-1301000,,,-3922000,-4129000,,,
融资活动现金流净额 Net cash from financing activities,1172000,-332000,,,1209000,-554000,,,
现金及现金等价物 Cash and cash equivalents,,,,,,,16603000,15219000,16513000
短期投资 Short-term investments,,,,,,,28140000,28305000,27546000
"应收账款净额 Accounts receivable, net",,,,,,,3959000,4087000,4576000
存货 Inventory,,,,,,,14434000,13752000,12392000
流动资产合计 Total current assets,,,,,,,69748000,68758000,68642000
"固定资产净额 Property, plant and equipment, net",,,,,,,43213000,47255000,40643000
资产总计 Total assets,,,,,,,143724000,148524000,137806000
流动负债合计 Total current liabilities,,,,,,,34138000,35425000,31714000
负债合计 Total liabilities,,,,,,,58922000,61005000,54941000
"债务及租赁负债-流动 Debt and finance leases, current",,,,,,,1447000,1418000,1640000
"债务及租赁负债-非流动 Debt and finance leases, non-current",,,,,,,7782000,7924000,6736000
归母股东权益 Total stockholders' equity,,,,,,,84116000,86858000,82137000
