"单位:千美元(USD thousands);空=该年申报 presentation 无此科目(不补0)。⚠️印刷口径 FY2019 起由千美元改为百万美元,故 FY2019+ 精度只到百万(末三位恒为0);分产品收入与成本均按印刷正值"
来源:各年 10-K 损益表分产品行(2011-2017 主表 / 2018+ srt_ProductOrServiceAxis 维度块)
"🔴 用本表算分板块毛利率前必读 政策补贴与积分.csv:2023 起 IRA 制造税收抵免**直接冲减营业成本**(2025 能源 11.20 亿/汽车 5.65 亿美元),故本表的成本行已被补贴压低、毛利率被高估。能源板块 2025 报告毛利率 29.8%,剔除抵免后 21.0%"
科目,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
汽车销售 Automotive sales,148568,385699,1997786,3192723,3740973,5589007,8534752,17631522,19952000,26184000,44125000,67210000,78509000,72480000,65821000
汽车监管积分 Automotive regulatory credits,,,,,,,,,,,1465000,1776000,1790000,2763000,1993000
汽车租赁 Automotive leasing,,,,,,761759,1106548,883461,869000,1052000,1642000,2476000,2120000,1827000,1712000
汽车板块合计 Total automotive revenues,,,,,,6350766,9641300,18514983,20821000,27236000,47232000,71462000,82419000,77070000,69526000
能源发电与储存 Energy generation and storage,,,,,,181394,1116266,1555244,1531000,1994000,2789000,3909000,6035000,10086000,12771000
服务及其他 Services and other,,,,,305052,467972,1001185,1391041,2226000,2306000,3802000,6091000,8319000,10534000,12530000
开发服务 Development services,55674,27557,15710,5633,,,,,,,,,,,
总营收 Total revenues,204242,413256,2013496,3198356,4046025,7000132,11758751,21461268,24578000,31536000,53823000,81462000,96773000,97690000,94827000
【成本】汽车销售 Automotive sales,115482,371658,1543878,2310011,2823302,4268087,6724480,13685572,15939000,19696000,32415000,49599000,65121000,61870000,56267000
【成本】汽车租赁 Automotive leasing,,,,,,481994,708224,488425,459000,563000,978000,1509000,1268000,1003000,898000
【成本】汽车板块合计 Total automotive,,,,,,4750081,7432704,14173997,16398000,20259000,33393000,51108000,66389000,62873000,57165000
【成本】能源发电与储存 Energy generation and storage,,,,,,178332,874538,1364896,1341000,1976000,2918000,3621000,4894000,7446000,8969000
【成本】服务及其他 Services and other,,,,,299220,472462,1229022,1880354,2770000,2671000,3906000,5880000,7830000,9921000,11599000
【成本】开发服务 Development services,27165,11531,13356,6674,,,,,,,,,,,
【成本】总成本 Total cost of revenues,142647,383189,1557234,2316685,3122522,5400875,9536264,17419247,20509000,24906000,40217000,60609000,79113000,80240000,77733000
