"单位:千美元(USD thousands);空=该年申报 presentation 无此科目(不补0)。⚠️印刷口径 FY2019 起由千美元改为百万美元,故 FY2019+ 精度只到百万(末三位恒为0);费用/减项=负数"
各年 as-reported 来源:FY2005/2006=424B4(2010-06-29)五年 Selected Financial Data | FY2007-2009=424B4 经审计三表 | FY2010=10-K FY2010 | FY2011-2025=各年自身 10-K 的 SEC 渲染报表 R*.htm(按 XBRL tag 归一)
科目,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
营业收入 Total revenues,,,73,14742,111943,116744,204242,413256,2013496,3198356,4046025,7000132,11758751,21461268,24578000,31536000,53823000,81462000,96773000,97690000,94827000
营业成本 Total cost of revenues,,,-9,-15883,-102408,-86013,-142647,-383189,-1557234,-2316685,-3122522,-5400875,-9536264,-17419247,-20509000,-24906000,-40217000,-60609000,-79113000,-80240000,-77733000
毛利 Gross profit,,,64,-1141,9535,30731,61595,30067,456262,881671,923503,1599257,2222487,4042021,4069000,6630000,13606000,20853000,17660000,17450000,17094000
研发费用 Research and development,-10009,-24995,-62753,-53714,-19282,-92996,-208981,-273978,-231976,-464700,-717900,-834408,-1378073,-1460370,-1343000,-1491000,-2593000,-3075000,-3969000,-4540000,-6411000
"销售及行政费用 Selling, general and administrative",-1820,-5436,-17244,-23649,-42150,-84573,-104102,-150372,-285569,-603660,-922232,-1432189,-2476500,-2834491,-2646000,-3145000,-4517000,-3946000,-4800000,-5150000,-5834000
重组及其他 Restructuring and other,,,,,,,,,,,,,,-135233,-149000,,27000,-176000,0,-684000,-494000
经营费用合计 Total operating expenses,-11829,-30431,-79997,-77363,-61432,-177569,-313083,-424350,-517545,-1068360,-1640132,-2266597,-3854573,-4430094,-4138000,-4636000,-7083000,-7197000,-8769000,-10374000,-12739000
经营利润 Income (loss) from operations,-11829,-30431,-79933,-78504,-51897,-146838,-251488,-394283,-61283,-186689,-716629,-667340,-1632086,-388073,-69000,1994000,6523000,13656000,8891000,7076000,4355000
利息收入 Interest income,224,938,1749,529,159,258,255,288,189,1126,1508,8530,19686,24533,44000,30000,56000,297000,1066000,1569000,1680000
利息费用 Interest expense,,-423,,-3747,-2531,-992,-43,-254,-32934,-100886,-118851,-198810,-471259,-663071,-685000,-748000,-371000,-191000,-156000,-350000,-338000
"其他收入(费用)净额 Other income (expense), net",,59,137,-963,-1445,-6583,-2646,-1828,22602,1813,-41652,111272,-125373,21866,45000,-122000,135000,-43000,172000,695000,-419000
税前利润 Income (loss) before income taxes,-11605,-29857,-78047,-82685,-55714,-154155,-253922,-396077,-71426,-284636,-875624,-746348,-2209032,-1004745,-665000,1154000,6343000,13719000,9973000,8990000,5278000
所得税 Provision for (benefit from) income taxes,,-100,-110,-97,-26,-173,-489,-136,-2588,-9404,-13039,-26698,-31546,-57837,-110000,-292000,-699000,-1132000,5001000,-1837000,-1423000
净利润(含少数股东) Net income (loss),-11605,-29957,-78157,-82782,-55740,-154328,-254411,-396213,-74014,-294040,-888663,-773046,-2240578,-1062582,-775000,862000,5644000,12587000,14974000,7153000,3855000
少数股东损益 Net income (loss) attributable to NCI,,,,,,,,,,,,-98132,-279178,-86491,87000,141000,125000,31000,-23000,62000,61000
归母净利润 Net income (loss) attributable to common stockholders,-11605,-29957,-78157,-82782,-55740,-154328,-254411,-396213,-74014,-294040,-888663,-674914,-1961400,-976091,-862000,721000,5519000,12556000,14997000,7091000,3794000
减:买断非控股权益(EPS 分子调整) Buy-out of NCI,,,,,,,,,,,,,,,,31000,-5000,,,,
每股收益-基本(美元),-4,-10.18,-22.69,-12.46,-7.94,-3.04,-2.53,-3.69,-0.62,-2.36,-6.93,-4.68,-11.83,-5.72,-4.92,0.74,5.6,4.02,4.73,2.23,1.18
每股收益-稀释(美元),-4,-10.18,-22.69,-12.46,-7.94,-3.04,-2.53,-3.69,-0.62,-2.36,-6.93,-4.68,-11.83,-5.72,-4.92,0.64,4.9,3.62,4.3,2.04,1.08
加权平均股数-基本(千股),2902,2941.4,3443.8,6646.4,7022,50718.3,100388.8,107349.2,119421.4,124539.3,128202,144212,165758,170525,177000,933000,986000,3130000,3174000,3197000,3225000
加权平均股数-稀释(千股),2902,2941.4,3443.8,6646.4,7022,50718.3,100388.8,107349.2,119421.4,124539.3,128202,144212,165758,170525,177000,1083000,1129000,3475000,3485000,3498000,3528000
备忘-股份支付 SBC(取自现金流量表),,,198,437,1434,21156,29419,50145,80737,156496,197999,334225,466760,749024,898000,1734000,2121000,1560000,1812000,1999000,2825000
备忘-折旧摊销及减值 D&A(取自现金流量表),,,2895,4157,6940,10623,16919,28825,106083,231931,422590,947099,1636003,1901050,2154000,2322000,2911000,3747000,4667000,5368000,6148000
