"单位:千美元(附注印刷为百万,×1000);累计折旧以正数列示;比率为倍数(1=100%);空=该年附注无此类别"
"🔑 为什么看这张表:Tooling(车型专用模具)=**新车型先行指标**;AI infrastructure=**自动驾驶投入直接度量**;在建工程含「尚未投用的 AI 资产」,转固+折旧跳升=产线/算力**实际上线**的机械信号"
"🚨 断点 L:AI infrastructure 为 FY2024 新拆类别并**追溯重分类 2023 年 15.10 亿**(计算机设备−1,390/机器设备−63/租赁改良−32/模具−18/土地建筑−7,毛值合计不变)。本表保留 2023 as-reported,另设 `2023*` 重列列 —— **跨年比 AI 基建与模具必须用 2023* 口径**"
"来源:各年 10-K「Property, plant and equipment, net, consisted of the following」附注;净额已与 资产负债表.csv 逐年交叉核对"
科目,2018,2019,2020,2021,2022,2023,2023*,2024,2025
"机器设备/车辆/办公家具 Machinery, equipment, vehicles and office furniture",6329000,7167000,8493000,9953000,13558000,16372000,16309000,18339000,20864000
土地与建筑 Land and buildings,4047000,3024000,3662000,4675000,7751000,9505000,9498000,10677000,11837000
🔑AI 基础设施 AI infrastructure(自有数据中心等·FY2024 新拆),,,,,,,1510000,5152000,6816000
🔑模具 Tooling(车型专用·新车型先行指标),1398000,1493000,1811000,2188000,2579000,3147000,3129000,3883000,4868000
租赁改良 Leasehold improvements,961000,1087000,1421000,1826000,2366000,3168000,3136000,3688000,4439000
"计算机设备与软件 Computer equipment, hardware and software",487000,595000,856000,1414000,2072000,3799000,2409000,2902000,3206000
🔑在建工程 Construction in progress(含尚未投用的 AI 资产),807000,764000,1621000,5559000,4263000,5791000,5791000,6783000,8786000
固定资产毛值 Gross PP&E,14029000,14130000,17864000,25615000,32589000,41782000,41782000,51424000,60816000
减:累计折旧 Accumulated depreciation,2699000,3734000,5117000,6731000,9041000,12057000,12057000,15588000,20173000
"固定资产净额 PP&E, net",11330000,10396000,12747000,18884000,23548000,29725000,29725000,35836000,40643000
折旧费用(当年) Depreciation expense,1110000,1370000,1570000,1910000,2420000,3330000,,4120000,5030000
—— 派生 ——
模具同比 Tooling YoY,,0.0680,0.2130,0.2082,0.1787,0.2202,,0.2410,0.2537
AI 基础设施同比 AI infrastructure YoY,,,,,,,,2.4119,0.3230
在建工程同比 CIP YoY,,-0.0533,1.1217,2.4294,-0.2331,0.3584,,0.1713,0.2953
在建工程÷毛值 CIP / gross PP&E,0.0575,0.0541,0.0907,0.2170,0.1308,0.1386,0.1386,0.1319,0.1445
累计折旧÷毛值(资产年龄代理) Accum. dep / gross,0.1924,0.2643,0.2864,0.2628,0.2774,0.2886,0.2886,0.3031,0.3317
折旧费用÷毛值 Depreciation / gross,0.0791,0.0970,0.0879,0.0746,0.0743,0.0797,,0.0801,0.0827
