单位:金额为千美元(USD thousands);比率为倍数(1=100%);空=该年一手申报未披露或该项目当年尚不存在
"🔴 两类政策损益性质不同不可混谈:【收入侧】监管积分=**其他车企**掏钱买合规额度,进利润表收入行;【成本侧】IRA 制造抵免=**美国纳税人**掏钱,**冲减营业成本、报表上看不见**,只在 10-K 正文附注披露金额"
来源:监管积分=各年 10-K「Revenue by source」收入拆分表;制造抵免=FY2024/FY2025 10-K 会计政策附注。跨申报核验:FY2024 与 FY2025 两份 10-K 对 2023/2024 抵免金额完全一致
"⚠️ 制造抵免 2022 及以前结构性为无(IRA 对 2022-12-31 后开始的税年生效,FY2021/FY2022 10-K 零次提及);FY2023 10-K 仅定性提及未给金额,首次量化披露在 FY2024 10-K"
"⚠️ 精度:FY2025 能源抵免原文印「$1.12 billion」(三位有效数字),其余年份印精确百万数"
"⚠️ 报告口径的能源营业成本**已被抵免冲减过**,故「剔除制造抵免后的能源毛利率」= (能源毛利−能源抵免)÷能源收入"
科目,2018,2019,2020,2021,2022,2023,2024,2025
【收入侧】汽车监管积分收入 Automotive regulatory credits (revenue),418618,594000,1580000,1465000,1776000,1790000,2763000,1993000
"【成本侧】IRA 制造抵免-汽车 Manufacturing credits, automotive (cost offset)",,,,,,359000,625000,565000
"【成本侧】IRA 制造抵免-能源 Manufacturing credits, energy (cost offset)",,,,,,115000,756000,1120000
"【成本侧】IRA 制造抵免合计 Manufacturing credits, total",,,,,,474000,1381000,1685000
政策相关合计(监管积分+制造抵免) Policy-related total,418618,594000,1580000,1465000,1776000,2264000,4144000,3678000
—— 派生 ——
"能源板块毛利(报告口径) Energy gross profit, as reported",190348,190000,18000,-129000,288000,1141000,2640000,3802000
"能源板块毛利率(报告口径) Energy gross margin, as reported",0.1224,0.1241,0.0090,-0.0463,0.0737,0.1891,0.2617,0.2977
能源抵免÷能源板块毛利 Energy credits / energy gross profit,,,,,,0.1008,0.2864,0.2946
"能源板块毛利率(剔除制造抵免) Energy gross margin, ex-credits",,,,,,0.1700,0.1868,0.2100
监管积分÷归母净利 Regulatory credits / net income,,,2.1914,0.2654,0.1414,0.1194,0.3896,0.5253
政策相关合计÷归母净利 Policy-related total / net income,,,2.1914,0.2654,0.1414,0.1510,0.5844,0.9694
