"单位:千美元(USD thousands);空=该年申报 presentation 无此科目(不补0)。⚠️印刷口径 FY2019 起由千美元改为百万美元,故 FY2019+ 精度只到百万(末三位恒为0);流出=负数"
各年 as-reported 来源:FY2005/2006=424B4(2010-06-29)五年 Selected Financial Data | FY2007-2009=424B4 经审计三表 | FY2010=10-K FY2010 | FY2011-2025=各年自身 10-K 的 SEC 渲染报表 R*.htm(按 XBRL tag 归一)
科目,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
净利润 Net income (loss),-78157,-82782,-55740,-154328,-254411,-396213,-74014,-294040,-888663,-773046,-2240578,-1062582,-775000,862000,5644000,12587000,14974000,7153000,3855000
"折旧摊销(及减值) Depreciation, amortization (and impairment)",2895,4157,6940,10623,16919,28825,106083,231931,422590,947099,1636003,1901050,2154000,2322000,2911000,3747000,4667000,5368000,6148000
股份支付 Stock-based compensation,198,437,1434,21156,29419,50145,80737,156496,197999,334225,466760,749024,898000,1734000,2121000,1560000,1812000,1999000,2825000
存货(及采购承诺)减值 Inventory write-downs,,4297,1353,951,1828,4929,8648,15609,44940,65520,131665,85272,193000,202000,140000,177000,463000,335000,362000
债务折价及发行费摊销 Amortization of debt discounts,,,,,,,9143,69734,72063,87286,91037,158730,188000,180000,,,,,
递延所得税 Deferred income taxes,,,,,,,,,,,,,,,,,-6349000,477000,123000
外币交易损益 Foreign currency transaction (gain) loss,,,,,,,3655,-1891,55765,-29183,52309,-1511,-48000,114000,-55000,81000,-144000,-73000,452000
"数字资产损益 Digital assets loss (gain), net",,,,,,,,,,,,,,,-27000,140000,0,-589000,68000
非现金利息及其他 Non-cash interest and other,,,,,,,,,,-7775,135237,48507,186000,228000,245000,340000,81000,172000,272000
其他非现金调整项 Other non-cash adjustments,,,,,2983,3414,-1523,21649,64096,-54094,163516,161361,-42000,117000,0,,,,
营运资金-应收账款 Accounts receivable,,,,,-2829,-17303,-21917,-183658,46267,-216565,-24635,-496732,-367000,-652000,-130000,-1124000,-586000,-1083000,-261000
营运资金-存货 Inventory,,,,,,,,,,,-178850,-1023264,-429000,-422000,-1709000,-6465000,-1195000,937000,-630000
营运资金-存货及经营租赁车辆(合并列示年份) Inventories and operating lease vehicles,,,,,-13638,-194726,-463270,-1050264,-1573860,-2465703,,,,,,,,,
营运资金-经营租赁车辆 Operating lease vehicles,,,,,,,,,,,-1522573,-214747,-764000,-1072000,-2114000,-1570000,-1952000,-590000,-25000
营运资金-预付及其他资产 Prepaid expenses and other assets,,,,,-248,1121,-17466,-60637,-29595,56806,-72084,-82125,-288000,-251000,-271000,-1417000,-2652000,-3273000,-3181000
营运资金-其他资产 Other assets,,,,,-288,-482,-342,-4493,-24362,-49353,-15453,-207409,115000,-344000,-1291000,-2551000,,,
营运资金-应付账款及应计负债 Accounts payable & accrued liabilities,,,,,31859,187821,-243,252781,263345,750640,388206,1722850,682000,2102000,4578000,6029000,2605000,3588000,4376000
营运资金-应计负债 Accrued liabilities,,,,,12321,9603,66837,162075,,,,,,,,,,,
营运资金-递延收入 Deferred revenue,,,,,-1927,-526,268153,209681,322203,382962,468902,406661,801000,321000,793000,1131000,1532000,502000,363000
营运资金-客户存款 Customer deposits,,,,,,,,,,,,-96685,-58000,7000,186000,155000,,,
营运资金-预订金/客户存款 Reservation payments & customer deposits,,,,,61006,47056,24243,106230,36721,388361,170027,,,,,,,,
营运资金-转售价值担保 Resale value guarantee,,,,,,,236299,249492,442295,326934,208718,-110564,-150000,,,,,,
营运资金-其他长期负债 Other long-term liabilities,,,,,2641,10255,32971,61968,23697,132057,81139,159966,109000,495000,476000,1904000,,,
经营活动现金流净额 Net cash from operating activities,-53469,-52412,-80825,-127817,-114364,-266081,257994,-57337,-524499,-123829,-60654,2097802,2405000,5943000,11497000,14724000,13256000,14923000,14747000
购建固定资产(capex) Purchases of property and equipment,-9802,-10630,-11884,-40203,-197896,-239228,-264224,-969885,-1634850,-1280802,-3414814,-2100724,-1327000,-3157000,-6482000,-7158000,-8898000,-11339000,-8527000
购建太阳能系统 Purchases of solar energy systems,,,,,,,,,,-159669,-666540,-218792,-105000,-75000,-32000,-5000,-1000,-3000,
购买投资 Purchases of investments,,,,,-64952,-14992,,-205841,,,,,,,-132000,-5835000,-19112000,-35955000,-37109000
投资到期收回 Proceeds from maturities of investments,,,,,40000,40000,,189131,,16667,,,,,,22000,12353000,28310000,30158000
出售投资收到 Proceeds from sales of investments,,,,,,,,,,,,,,,,,138000,200000,0
购买数字资产 Purchases of digital assets,,,,,,,,,,,,,,,-1500000,0,0,,
出售数字资产 Proceeds from sales of digital assets,,,,,,,,,,,,,,,272000,936000,0,0,
购买无形资产 Purchase of intangible assets,,,,,,,,,,,,,-5000,-10000,,-9000,0,0,
收到政府补助 Receipt of government grants,,,,,,,,,,,,,46000,123000,6000,76000,0,0,
"业务合并 Business combinations, net of cash acquired",,,,,,,,,-12260,213523,-114523,-17912,-45000,-13000,0,0,-64000,0,0
收购 Fremont 工厂 Fremont facility acquisition,,,,-65210,,,,,,,,,,,,,,,
"受限现金/DOE专户变动 Restricted cash & DOE account, net",40,-960,-2360,-74884,46920,7290,14807,-3849,-26441,-206149,-223090,,,,,,,,
投资活动现金流净额 Net cash from investing activities,-9762,-11590,-14244,-180297,-175928,-206930,-249417,-990444,-1673551,-1416430,-4418967,-2337428,-1436000,-3132000,-7868000,-11973000,-15584000,-18787000,-15478000
发债/借款所得 Proceeds from issuances of debt,,,,,204423,188796,660000,2300000,318972,2852964,7138055,6176173,10669000,9713000,8883000,0,3931000,5744000,5586000
