单位:辆 / GWh / MW / 比率(1=100%);空=该年一手申报未披露该项
来源:各年次年 1 月初 8-K 附件 EX-99.1「Q4 及全年 Production & Deliveries」新闻稿(原件缓存 report/特斯拉/_产量交付新闻稿/);储能/光伏优先取当年 10-K 正文自陈
"⚠️「10-K 正文是否披露整年产量/交付量」1=是 0=否 —— FY2024 起该披露从 10-K 正文消失,单量只剩新闻稿一条链路(见 README 披露退化)"
指标,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
整车产量-合计 Total production (辆),83922,,,,509737,930422,1369611,1845985,1773443,1654667
整车产量-Model S/X (辆),,,,,54805,24390,71177,,,
整车产量-Model 3/Y (辆),,,,,454932,906032,1298434,1775159,1679338,1600767
整车产量-其他车型 Other models (辆),,,,,,,,70826,94105,53900
整车交付量-合计 Total deliveries (辆),76230,,245240,367500,499550,936172,1313851,1808581,1789226,1636129
整车交付量-Model S/X (辆),,101312,99394,,57039,24964,66705,,,
整车交付量-Model 3/Y (辆),,,145846,,442511,911208,1247146,1739707,1704093,1585279
整车交付量-其他车型 Other models (辆),,,,,,,,68874,85133,50850
交付量同比 Deliveries YoY,,,,0.4985,0.3593,0.874,0.4034,0.3765,-0.0107,-0.0856
产销率 交付量/产量 Deliveries / production,0.9083,,,,0.98,1.0062,0.9593,0.9797,1.0089,0.9888
储能装机 Energy storage deployed (GWh),,,1.04,,3.02,3.99,6.5,14.72,31.4,46.7
光伏装机 Solar deployed (MW),,,,,205,345,348,223,,
10-K 正文是否披露整年产量/交付量,0,0,0,0,1,1,1,1,0,0
