单位:比率为倍数(1=100%)、天数为天、金额为千美元;空=所需分项该年不可得
全部由三表派生(年报不直接给)。**复权行**已按 2020-08-31 的 5:1 与 2022-08-25 的 3:1 拆股折算到 2025 年股本口径
各年 as-reported 来源:FY2005/2006=424B4(2010-06-29)五年 Selected Financial Data | FY2007-2009=424B4 经审计三表 | FY2010=10-K FY2010 | FY2011-2025=各年自身 10-K 的 SEC 渲染报表 R*.htm(按 XBRL tag 归一)
科目,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
毛利率 Gross margin,,,0.8767,-0.0774,0.0852,0.2632,0.3016,0.0728,0.2266,0.2757,0.2282,0.2285,0.189,0.1883,0.1656,0.2102,0.2528,0.256,0.1825,0.1786,0.1803
经营利润率 Operating margin,,,-1095,-5.3252,-0.4636,-1.2578,-1.2313,-0.9541,-0.0304,-0.0584,-0.1771,-0.0953,-0.1388,-0.0181,-0.0028,0.0632,0.1212,0.1676,0.0919,0.0724,0.0459
净利率(归母) Net margin,,,-1070.6,-5.6154,-0.4979,-1.3219,-1.2456,-0.9588,-0.0368,-0.0919,-0.2196,-0.0964,-0.1668,-0.0455,-0.0351,0.0229,0.1025,0.1541,0.155,0.0726,0.04
研发费用率 R&D / revenue,,,859.6301,3.6436,0.1722,0.7966,1.0232,0.663,0.1152,0.1453,0.1774,0.1192,0.1172,0.068,0.0546,0.0473,0.0482,0.0377,0.041,0.0465,0.0676
销售及行政费用率 SG&A / revenue,,,236.2192,1.6042,0.3765,0.7244,0.5097,0.3639,0.1418,0.1887,0.2279,0.2046,0.2106,0.1321,0.1077,0.0997,0.0839,0.0484,0.0496,0.0527,0.0615
实际所得税率 Effective tax rate,,-0.0033,-0.0014,-0.0012,-0.0005,-0.0011,-0.0019,-0.0003,-0.0362,-0.033,-0.0149,-0.0358,-0.0143,-0.0576,-0.1654,0.253,0.1102,0.0825,-0.5015,0.2043,0.2696
ROE(归母·平均净资产) Return on equity,,,,,,,-1.1803,-2.2722,-0.1869,-0.3725,-0.8884,-0.2311,-0.4363,-0.2131,-0.1494,0.05,0.2106,0.3353,0.2794,0.1046,0.0489
ROA(归母/期末总资产) Return on assets,,,,-1.6012,-0.4274,-0.3997,-0.3566,-0.3556,-0.0306,-0.0503,-0.1098,-0.0298,-0.0684,-0.0328,-0.0251,0.0138,0.0888,0.1525,0.1407,0.0581,0.0275
资产负债率 Liabilities / assets,,,,2.906,0.4962,0.4637,0.686,0.8881,0.724,0.8342,0.8602,0.7391,0.8034,0.7877,0.7636,0.5449,0.4917,0.4426,0.4034,0.3964,0.3987
现金含量 经营现金流/归母净利,,,,,,,,,,,,,,,,8.2427,2.0832,1.1727,0.8839,2.1045,3.8869
capex/经营现金流 Capex / OCF,,,,,,,,,1.0241,,,,,1.1057,0.5954,0.5438,0.5666,0.4865,0.6713,0.76,0.5782
capex/营收 Capex / revenue,,,134.274,0.7211,0.1062,0.3444,0.9689,0.5789,0.1312,0.3032,0.4041,0.2058,0.3471,0.1081,0.0583,0.1025,0.121,0.0879,0.092,0.1161,0.0899
capex/归母净利 Capex / net income,,,,,,,,,,,,,,,,4.4827,1.1803,0.5705,0.5934,1.5995,2.2475
自由现金流 FCF = OCF + capex(千美元),,,-63271,-63042,-92709,-168020,-312260,-505309,-6230,-1027222,-2159349,-1564300,-4142008,-221714,973000,2711000,4983000,7561000,4357000,3581000,6220000
股份支付/营收 SBC / revenue,,,2.7123,0.0296,0.0128,0.1812,0.144,0.1213,0.0401,0.0489,0.0489,0.0477,0.0397,0.0349,0.0365,0.055,0.0394,0.0192,0.0187,0.0205,0.0298
股份支付/归母净利 SBC / net income,,,,,,,,,,,,,,,,2.405,0.3843,0.1242,0.1208,0.2819,0.7446
应收账款周转天数 DSO,,,,,11.099,15.942,14.5193,16.0664,6.8841,15.7323,17.8425,17.4182,15.7458,12.4528,16.878,18.5764,12.8814,10.8991,12.1826,14.807,17.3095
存货周转天数 DIO,,,,,71.0554,145.1377,121.879,151.7318,71.3552,101.939,130.4238,113.0402,82.8842,56.3342,59.3127,56.0778,44.7344,55.9945,61.0502,58.3231,57.307
应付账款周转天数 DPO,,,,,52.1617,93.4365,108.8652,171.2287,71.1785,85.2293,99.0136,93.8198,81.3456,60.7106,63.851,71.9712,72.951,76.1207,68.4805,61.1935,60.6784
应收账款/营收 AR / revenue,,,,0.2252,0.0312,0.0575,0.0467,0.065,0.0244,0.0709,0.0418,0.0713,0.0438,0.0442,0.0539,0.0598,0.0355,0.0362,0.0362,0.0452,0.0483
存货/营收 Inventory / revenue,,,,1.1294,0.2074,0.387,0.2452,0.6497,0.169,0.2982,0.3158,0.2953,0.1925,0.1451,0.1445,0.13,0.107,0.1576,0.1408,0.123,0.1307
预付及其他流动资产/营收 Prepaid & other current assets / revenue,,,,0.1479,0.0377,0.0928,0.0461,0.0204,0.0137,0.0296,0.031,0.0278,0.0228,0.017,0.029,0.0427,0.032,0.0361,0.035,0.0549,0.0803
现金及短投/总资产 Cash & ST investments / assets,,,,0.1794,0.5339,0.2579,0.3929,0.1812,0.35,0.3258,0.1479,0.1497,0.1175,0.1239,0.1827,0.3717,0.285,0.2694,0.2729,0.2995,0.3197
固定资产/总资产 PP&E / assets,,,,0.3635,0.1804,0.2969,0.4183,0.4956,0.3056,0.3127,0.4206,0.264,0.3499,0.381,0.303,0.2444,0.3039,0.286,0.2788,0.2936,0.2949
商誉/归母净资产 Goodwill / equity,,,,,,,,,,,,,0.0142,0.0138,0.0299,0.0093,0.0066,0.0043,0.004,0.0033,
预收类负债(递延收入+客户存款)/营收 Deferred revenue & deposits / revenue,,,,3.5336,0.2561,0.327,0.4762,0.3479,0.2166,0.2318,0.2851,0.3255,0.2591,0.1125,0.126,0.1108,0.0822,0.0689,0.0632,0.0664,0.0744
有息负债(债务及租赁)合计(千美元) Interest-bearing debt,,,,55757,1090,72603,280148,466666,606878,2429883,2673541,6844260,10212249,11971371,13419000,11688000,6834000,3099000,5230000,8213000,8376000
有息负债/归母净资产 Debt / equity,,,,-0.2792,-0.0043,0.3507,1.2504,3.7423,0.9097,2.6652,2.4552,1.44,2.4101,2.4316,2.0277,0.5259,0.2264,0.0693,0.0835,0.1126,0.102
净现金(现金+短投−有息负债·千美元) Net cash,,,,-46480,68537,26955,179,-264776,239011,-524170,-1476633,-3451044,-6844335,-8285753,-7151000,7696000,10873000,19086000,23864000,28350000,35683000
【复权】每股收益-基本(美元·2025股本口径),-0.2667,-0.6787,-1.5127,-0.8307,-0.5293,-0.2027,-0.1687,-0.246,-0.0413,-0.1573,-0.462,-0.312,-0.7887,-0.3813,-0.328,0.2467,1.8667,4.02,4.73,2.23,1.18
【复权】每股收益-稀释(美元·2025股本口径),-0.2667,-0.6787,-1.5127,-0.8307,-0.5293,-0.2027,-0.1687,-0.246,-0.0413,-0.1573,-0.462,-0.312,-0.7887,-0.3813,-0.328,0.2133,1.6333,3.62,4.3,2.04,1.08
【复权】加权平均股数-基本(千股·2025股本口径),43529.9,44121.2,51657.1,99695.8,105329.4,760774.5,1505832.2,1610237.8,1791321.2,1868090.1,1923030,2163180,2486370,2557875,2655000,2799000,2958000,3130000,3174000,3197000,3225000
【复权】加权平均股数-稀释(千股·2025股本口径),43529.9,44121.2,51657.1,99695.8,105329.4,760774.5,1505832.2,1610237.8,1791321.2,1868090.1,1923030,2163180,2486370,2557875,2655000,3249000,3387000,3475000,3485000,3498000,3528000
拆股复权因子(相对2025) Split factor,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,3,3,1,1,1,1
