"单位:千美元(USD thousands);空=该年申报 presentation 无此科目(不补0)。⚠️印刷口径 FY2019 起由千美元改为百万美元,故 FY2019+ 精度只到百万(末三位恒为0);按印刷原值(资产/负债/权益均为正,印刷带括号者为负)"
各年 as-reported 来源:FY2005/2006=424B4(2010-06-29)五年 Selected Financial Data | FY2007-2009=424B4 经审计三表 | FY2010=10-K FY2010 | FY2011-2025=各年自身 10-K 的 SEC 渲染报表 R*.htm(按 XBRL tag 归一)
科目,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
现金及现金等价物 Cash and cash equivalents,9277,69627,99558,255266,201890,845889,1905713,1196908,3393216,3367914,3685618,6268000,19384000,17576000,16253000,16398000,16139000,16513000
短期投资 Short-term investments,,,,25061,,,,,,,,,,131000,5932000,12696000,20424000,27546000
"受限现金-流动 Restricted cash, current",,,73597,23476,19094,3012,17947,22628,105519,155323,192551,246000,,,,,,
"应收账款净额 Accounts receivable, net",3320,3488,6710,9539,26842,49109,226604,168965,499142,515381,949022,1324000,1886000,1913000,2952000,3508000,4418000,4576000
存货 Inventory,16650,23222,45182,50082,268504,340355,953675,1277838,2067454,2263537,3113446,3552000,4101000,5757000,12839000,13626000,12017000,12392000
预付及其他流动资产 Prepaid expenses and other current assets,2180,4222,10839,9414,8438,27574,94718,125229,194465,268365,365671,713000,1346000,1723000,2941000,3388000,5362000,7615000
流动资产合计 Total current assets,31427,100559,235886,372838,524768,1265939,3198657,2791568,6259796,6570520,8306308,12103000,26717000,27100000,40917000,49616000,58360000,68642000
"经营租赁车辆净额 Operating lease vehicles, net",,,7963,11757,10071,382425,766744,1791403,3134080,4116604,2089758,2447000,3091000,4511000,5035000,5989000,5581000,4912000
"太阳能/储能系统净额 Solar & energy generation and storage systems, net",,,,,,,,,5919880,6347490,6271396,6138000,5979000,5765000,5489000,5229000,4924000,4604000
"固定资产净额 Property, plant and equipment, net",18793,23535,114636,298414,552229,738494,1829267,3403334,5982957,10027522,11330077,10396000,12747000,18884000,23548000,29725000,35836000,40643000
经营租赁使用权资产 Operating lease ROU assets,,,,,,,,,,,,1218000,1558000,2016000,2563000,4180000,5160000,6027000
数字资产 Digital assets,,,,,,,,,,,,,,1260000,184000,184000,1076000,1008000
"无形资产净额 Intangible assets, net",,,,,,,,,376145,361502,282492,339000,313000,257000,215000,178000,150000,
商誉 Goodwill,,,,,,,,,,60237,68159,198000,207000,200000,194000,253000,244000,
递延所得税资产 Deferred tax assets,,,,,,,,,,,,,,,,6733000,6524000,6925000
MyPower客户应收票据 MyPower notes receivable,,,,,,,,,506302,456652,421548,393000,,,,,,
"受限现金-非流动 Restricted cash, non-current",1220,3580,4867,8068,5159,6435,11374,31522,268165,441722,398219,269000,,,,,,
其他非流动资产 Other non-current assets,259,2750,22730,22371,21963,23637,43209,74633,216751,273123,571657,808000,1536000,2138000,4193000,4531000,4215000,5045000
