# 其他收益构成（特步国际 01368.HK）· 单位：人民币百万元（比率为小数）——与三表同单位，原因见 _build_extras.py 的 _fmt() 注释
# 来源：各年年报「收入、其他收益及收益净额」附注（2005-2007 取招股书附錄一会计师报告附注 5）；只取当年年报当年列
# ⚠️ 港股 IFRS **无「扣非」线** —— 本表是判「非经常性损益撑利润」的替代口径
# ⚠️ 2023 列为 as-reported（含 KP Global）；FY2024 年报把 2023 重述为持续经营口径 276,224，两者不同轴
# 校验：各分项之和 == 利润表.csv「其他收益」（已通过）
科目,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
政府补贴 Subsidy income,0.275,0.316,0.9,4.221,4.932,8.536,8.206,27.951,55.789,29.723,55.484,53.651,79.395,94.677,126.308,170.519,170.681,178.235,284.202,261.278,301.084
租金收入 Rental income,0.04,0.345,0.345,0.57,0.616,1.147,1.703,1.84,2.203,2.813,3.233,3.106,7.278,6.885,9.187,13.149,7.479,9.976,13.44,18.615,26.778
特许权使用费收入 Royalty income,,,,,,,,,,,,,,,19.227,19.87,24.395,36.284,46.092,37.015,51.516
利息及存款投资收益 Interest/deposit income,0.082,0.27,2.276,,,,,37.421,99.676,115.34,86.27,41.906,63.588,84.659,96.786,96.604,79.773,64.223,58.026,38.115,43.786
FVOCI 股息收入 Dividend income,,,,,,,,,,,,,1.5,,3.6,,9.5,,11.438,,9.576
可换股债券衍生部分公允价值变动 CB derivative FV,,,0.027,,,,,,,,,,,,,,-3.042,-24.815,7.169,3.408,21.958
K-Swiss 可换股债券公允价值变动 K-Swiss CB FV,,,,,,,,,,,,,,,,,-2.32,33.437,-34.182,,
KP 可换股债券公允价值变动 KP CB FV (FVPL),,,,,,,,,,,,,,,,,,,,,31.739
处置附属公司/投资物业收益 Disposal gains,,,,,,,,,,,,,,,53.175,3.051,,,20.001,24.929,
供应商罚款 Penalty charged to suppliers,,,0.83,,,,,,,,,,,,,,,,,,
废料销售 Scrap sales,,,,,,,,,,,,,6.555,6.284,,,,,,,
火灾报废(2021) Write-off from fire,,,,,,,,,,,,,,,,,-20.561,,,,
火灾保险赔付(2021) Insurance claims,,,,,,,,,,,,,,,,,14.996,,,,
其他 Others,0.04,0.032,0.039,0.336,5.14,5.489,6.36,0.421,0.55,0.902,,,,3.115,,4.153,17.927,19.328,32.584,12.264,30.947
政府补贴/除税前溢利 Subsidy/PBT,0.0303,0.0063,0.0035,0.0073,0.007,0.0087,0.0068,0.0253,0.0646,0.0386,0.0621,0.062,0.1184,0.097,0.1127,0.2239,0.1326,0.131,0.1961,0.1374,0.1526
公允价值类合计/除税前溢利 FV/PBT,,,0.0001,,,,,,,,,,,,,,-0.0042,0.0063,-0.0186,0.0018,0.0272
(补贴+公允价值)/除税前溢利,0.0303,0.0063,0.0036,0.0073,0.007,0.0087,0.0068,0.0253,0.0646,0.0386,0.0621,0.062,0.1184,0.097,0.1127,0.2239,0.1285,0.1373,0.1775,0.1392,0.1798
