# 利润表（特步国际 01368.HK）· 单位：人民币百万元（每股盈利为人民币分）；负数=流出/减项；空=该期财报无此科目
# 来源：report/特步国际/ 招股说明书(2005-2007) + 各年年报(2008-2025) 逐行解析；本年年报本年列为准，上年比较列作跨年交叉核
科目,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
营业额,297.445,483.562,1364.947,2867.181,3545.336,4457.198,5539.638,5550.265,4343.105,4777.648,5295.117,5396.615,5113.434,6383.165,8182.721,8171.923,10013.239,12930.385,14345.508,13577.222,14151.086
销售成本,-237.731,-347.474,-921.804,-1802.879,-2157.549,-2645.463,-3281.996,-3292.585,-2595.502,-2830.73,-3058.434,-3065.309,-2868.947,-3554.827,-4632.296,-4973.498,-5835.321,-7638.676,-8295.833,-7711.818,-8088.044
毛利,59.714,136.088,443.143,1064.302,1387.787,1811.735,2257.642,2257.68,1747.603,1946.918,2236.683,2331.306,2244.487,2828.338,3550.425,3198.425,4177.918,5291.709,6049.675,5865.404,6063.042
其他收益,0.437,0.963,4.417,5.127,10.688,15.172,16.269,67.633,158.218,148.778,144.987,98.663,158.316,195.62,308.283,307.346,298.828,316.668,438.77,395.624,517.384
销售及分销开支,-29.251,-56.153,-119.414,-350.529,-522.966,-619.79,-733.736,-738.936,-594.819,-798.619,-982.584,-850.815,-911.447,-1357.294,-1718.446,-1537.304,-1891.461,-2690.188,-3368.996,-2867.906,-3194.864
行政开支,-13.17,-17.651,-42.151,-128.249,-174.147,-229.121,-320.878,-455.109,-415.607,-488.391,-478.07,-662.13,-766.844,-622.36,-906.261,-1050.281,-1189.119,-1453.905,-1539.547,-1427.583,-1366.758
其他经营开支,-3.372,-6.227,-16.627,,,,,,,,,,,,,,,,,,
经营溢利,,,,590.651,701.362,977.996,1219.297,1131.268,895.395,808.686,921.016,917.024,724.512,1044.304,1234.001,918.186,1396.166,1464.284,1579.902,1965.539,2018.804
净融资收入,-5.27,-6.948,-14.179,-13.232,0.86,0.228,-7.938,-25.433,-32.44,-38.352,-27.838,-51.441,-53.8,-68.136,-110.871,-139.54,-63.184,-91.192,-145.45,-97.529,-99.824
分占联营公司损益,,,,,,,,,,,,,,,-1.982,-17.004,-46.162,-12.105,14.742,33.403,54.434
除税前溢利,9.088,50.072,255.189,577.419,702.222,978.224,1211.359,1105.835,862.955,770.334,893.178,865.583,670.712,976.168,1121.148,761.642,1286.82,1360.987,1449.194,1901.413,1973.414
税项,-0.877,-0.003,-33.311,-69.247,-54.701,-164.54,-246.006,-298.715,-259.692,-284.338,-256.607,-292.608,-224.36,-306.189,-389.701,-256.62,-397.433,-448.71,-416.145,-595.909,-601.843
持续经营业务溢利,,,,,,,,,,,,,,,,,,,,1305.504,1371.571
非持续经营业务损益,,,,,,,,,,,,,,,,,,,,-67.102,
年内溢利,8.211,50.069,221.878,508.172,647.521,813.684,965.353,807.12,603.263,485.996,636.571,572.975,446.352,669.979,731.447,505.022,889.387,912.277,1033.049,1238.402,1371.571
股东应占溢利,,,,,,,966.409,810.015,605.966,478.005,622.602,527.85,408.139,656.518,727.652,513.03,908.339,921.694,1030.009,1238.402,
非控股权益应占溢利,,,,,,,-1.056,-2.895,-2.703,7.991,13.969,45.125,38.213,13.461,3.795,-8.008,-18.952,-9.417,3.04,,
股息,,,129.455,345.385,,,,,,,,,,,,,,,,,
每股盈利-基本,0.56,3.41,15.11,26.84,29.79,37.42,44.41,37.22,27.84,21.95,28.97,23.89,18.81,30.19,30.72,20.83,36.35,36.61,40.76,48.67,51.35
每股盈利-摊薄,,,14.52,25.81,,37.3,44.33,37.15,27.6,21.77,28.78,23.73,18.37,29.5,30.19,20.64,35.51,35.71,39.58,47.48,48.18
