# 应收账款质量（特步国际 01368.HK）· 单位：人民币百万元（比率为小数）——与三表同单位，原因见 _build_extras.py 的 _fmt() 注释
# 来源：各年年报「应收贸易账款及应收票据」附注；只取当年年报当年列
# ⚠️ 账龄按**发票日期、减值后净额**列示；分档口径 2018 年前为「3 个月内 / 4-6 个月 / 6 个月以上」，2018 年起细分到 9 个月，故两段不可直接接续
# ⚠️ 末列 2026H1 = 2026-06-30 **未经审核**时点数（中期业绩公布内含中期报告 P65 附注 12 · cninfo 1225500649）。应收是时点科目、与各年 12-31 同轴可比；中报不入 report/，故该列只过算术校验、无法回原文复核
# 校验：总额 − 拨备 = 资产负债表应收净额；账龄各档之和 = 应收净额（已通过）
科目,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026H1
应收贸易账款-总额 Gross trade receivables,526.912,521.691,727.056,1091.094,1113.055,1266.362,1487.466,1891.015,2426.148,2295.708,2450.823,3004.086,3143.848,3521.171,4214.135,4938.121,5012.304,5185.904,5095.384
减值拨备 Impairment allowance,,,,,-77.178,-128.419,-256.047,-287.789,-509.939,-576.701,-497.52,-407.637,-383.542,-383.927,-404.697,-419.72,-415.48,-441.626,-431.04
应收票据 Bills receivable,,1.064,,114.295,,13,258.52,288.631,186.95,87.5,161.8,313.5,475.5,391,403.175,457,414.5,411,498.79
应收贸易账款-净额 Net,,,,,,,1231.419,1603.226,1916.209,1719.007,1953.303,2596.449,2760.306,3137.244,3809.438,4518.401,4596.824,4744.278,4664.344
账龄-3个月内 Within 3 months,,,,,,727.91,858.755,1125.562,1381.366,1232.647,1028.713,1760.051,1666.91,1989.456,2574.337,3213.558,2671.981,2384.367,2210.211
账龄-3至6个月 3 to 6 months,,,,,,297.626,266.096,330.221,431.884,267.327,703.013,537.64,556.122,615.05,870.554,947.903,1144.002,1471.667,1476.632
账龄-6至9个月 6 to 9 months,,,,,,,,,,,,,292.274,183.214,212.791,156.568,559.292,752.6,839.189
账龄-9个月以上 Over 9 months,,,,,,,,,,,,,245,349.524,151.756,200.372,221.549,135.644,138.312
账龄-6个月以上 Over 6 months,,,,,,112.407,106.568,147.443,102.959,219.033,221.577,298.758,,,,,,,
拨备率 Allowance/Gross,,,,,0.0693,0.1014,0.1721,0.1522,0.2102,0.2512,0.203,0.1357,0.122,0.109,0.096,0.085,0.0829,0.0852,0.0846
3个月以上账龄占比 >3M share of net,,,,,,0.3603,0.3026,0.2979,0.2791,0.2829,0.4733,0.3221,0.3961,0.3659,0.3242,0.2888,0.4187,0.4974,0.5261
