# 现金流量表（特步国际 01368.HK）· 单位：人民币百万元（每股盈利为人民币分）；负数=流出/减项；空=该期财报无此科目
# 来源：report/特步国际/ 招股说明书(2005-2007) + 各年年报(2008-2025) 逐行解析；本年年报本年列为准，上年比较列作跨年交叉核
科目,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
除税前溢利,9.088,50.072,255.189,577.419,702.222,978.224,1211.359,1105.835,862.955,770.334,893.178,865.583,670.712,976.168,1121.148,761.642,1286.82,1360.987,1449.194,,
折旧,4.805,5.526,8.017,11.784,15.383,20.706,24.844,33.654,43.46,40.269,51.61,53.008,58.495,83.936,83.883,66.613,73.423,119.343,146.877,173.76,167.529
使用权资产折旧,,,,,,,,,,,,,,,45.788,84.849,82.855,107.481,142.184,186.261,124.971
土地使用权摊销,0.282,0.695,0.49,0.502,0.502,0.502,3.364,4.847,4.847,4.836,5.182,5.583,8.273,5.934,,,,,,,
无形资产摊销,0.044,0.007,0.074,0.071,0.176,0.263,0.316,0.318,0.344,0.367,0.485,0.707,1.27,1.755,6.8,14.158,13.123,14.4,15.983,15.007,5.016
股份支付开支,,,,3.956,8.042,10.153,38.168,41.369,14.376,0.449,,,45.421,32.68,24.327,15.922,49.23,53.355,47.149,6.636,33.247
存货拨备,,,,,,,,,,,,,26.035,26.166,5.632,23.044,-21.615,36.371,-12.274,1.387,6.829
经营产生的现金,-6.158,-56.469,27.308,528.703,942.315,535.222,332.804,1617.67,984.395,454.614,1087.296,647.653,868.499,517.999,1212.467,748.772,1083.276,1070.388,1889.376,1755.709,1475.075
已收利息,,,,23.073,15.088,17.407,25.045,39.558,46.322,41.342,56.157,51.036,52.63,72.981,29.448,4.292,21.351,25.493,41.352,38.393,23.296
已付所得税,-2.325,0.209,-2.719,-36.707,-66.546,-87.647,-123.546,-275.968,-308.298,-332.322,-281.174,-248.556,-259.209,-308.677,-334.119,-324.548,-329.38,-431.381,-530.583,-468.979,-503.358
经营活动现金净额,-13.671,-62.938,12.892,502.58,880.259,456.135,204.226,1330.3,657.688,94.559,786.513,345.817,558.12,154.409,778.076,320.107,701.347,571.832,1254.932,1228.079,952.413
购建物业厂房设备,-13.805,-27.355,-33.198,-30.532,-92.731,-24.87,-85.358,-165.2,-201.242,-106.383,-58.69,-93.678,-123.276,-72.399,-96.981,-206.632,-414.372,-364.995,-388.522,-316.775,-264.12
购买无形资产,,-0.197,,-0.573,,,-0.266,,-0.784,-1.473,-1.552,-2.601,-3.658,-2.171,-2.834,-4.409,-3.115,-4.65,-6.274,-4.699,-13.028
投资联营公司,,,,,,,,,,,,,,,-39.2,-12.442,-154.689,-44.1,-285.741,-26.641,-11.167
投资活动现金净额,-43.284,-42.186,-9.971,-82.916,-86.731,-54.132,-627.306,-344.733,-294.223,-538.057,396.643,-567.228,275.1,-281.079,-2044.591,573.369,-328.631,-872.604,-915.029,651.398,-19.373
新增银行贷款,9.25,107.75,,196,,,492.027,694.098,655.857,1256.561,288.576,1016.18,1588.359,539.148,1764.27,433.469,336.21,826.233,2547.211,1359.919,767.438
偿还银行贷款,,,-81,-188,-124,,,-138.534,-152.695,-955.832,-596.113,-1244.031,-1167.552,-549.174,-1377.851,-510.182,-647.814,-359.794,-2358.326,-2011.239,-1686.71
已付利息,-5.27,-6.948,-13.973,-12.489,-10.598,-8.847,-30.077,-50.96,-64.731,-69.075,-75.766,-104.316,-103.8,-127.894,-129.72,-108.409,-73.9,-92.668,-145.213,-97.044,-42.6
租赁付款,,,,,,,,,,,,,,,-44.255,-83.616,-96.022,-102.29,-140.489,-177.327,-107.927
购回股份,,,,,,,,,,,-120.447,,,-83.921,-3.029,-5.985,,,,,
配售股份所得净额,,,,,,,,,,,,,,,1160.238,10.848,,,,,455.724
发行股份所得净额,,,,1841.54,,6.834,0.659,0.144,0.846,2.455,35.713,62.39,7.257,58.798,29.887,25.888,,,,,
已付股东股息,,,,-225.751,-383.183,-471.473,-449.808,-489.772,-428.352,-287.734,-316.704,-393.673,-270.84,-459.329,-436.432,-279.085,-356.433,-550.354,-468.753,-1443.604,-609.981
融资活动现金净额,63.729,112.931,189.881,1592.79,-507.183,-464.639,47.878,69.303,78.217,17.21,-719.713,-542.227,153.818,-510.81,1039.07,-380.36,96.256,-236.104,-461.435,-2196.523,-454.736
现金净变动,,,,2012.454,286.345,-62.636,-375.202,1054.87,441.682,-426.288,463.443,-763.638,987.038,-637.48,-227.445,513.116,468.972,-536.876,-121.532,-317.046,478.304
期初现金,7.635,14.409,22.216,215.018,2136.938,2497.635,2443.702,2068.163,3122.801,3563.387,3137.11,3607,2846.532,3832.272,3195.809,2969.504,3471.951,3929.792,3414.156,3294.627,2979.194
汇率影响,,,,-90.534,74.352,8.703,-0.337,-0.232,-1.096,0.011,6.447,3.17,-1.298,1.017,1.14,-10.669,-11.131,21.24,2.003,1.613,-0.388
期末现金,,,,2136.938,2497.635,2443.702,2068.163,3122.801,3563.387,3137.11,3607,2846.532,3832.272,3195.809,2969.504,3471.951,3929.792,3414.156,3294.627,2979.194,3457.11
