# 财务比率（特步国际 01368.HK）· 派生自本目录三表，非财报直接披露
# 通用底 = scripts/derived.py compute_common_ratios()；其余为特步定制层
# 比率为小数（0.44 = 44%）；天数为天；标(百万元)者为金额
# ⚠️ 总资产：特步资产负债表不印「资产总值」行，此处 = 非流动资产合计 + 流动资产合计
# ⚠️ 归母：2011 年前与 2024 年起财报不印「应占」拆分行（该两段非控股权益为零），已用「年内溢利 − 非控股权益应占溢利」补全
# ⚠️ 2024/2025 营收与利润为**持续经营**口径（KP Global 已终止经营），与 2023 及以前的 as-reported 口径不可直接比 —— 见 README 口径断点表
# ⚠️ 分红率分母用「已付股东股息」(现金流量表·年内实付)，与「宣派」口径有跨年时间差
指标,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
毛利率 Gross margin,0.2008,0.2814,0.3247,0.3712,0.3914,0.4065,0.4075,0.4068,0.4024,0.4075,0.4224,0.432,0.4389,0.4431,0.4339,0.3914,0.4172,0.4092,0.4217,0.432,0.4285
净利率 Net margin,0.0276,0.1035,0.1626,0.1772,0.1826,0.1826,0.1743,0.1454,0.1389,0.1017,0.1202,0.1062,0.0873,0.105,0.0894,0.0618,0.0888,0.0706,0.072,0.0912,0.0969
销售费用率 S&D exp ratio,0.0983,0.1161,0.0875,0.1223,0.1475,0.1391,0.1325,0.1331,0.137,0.1672,0.1856,0.1577,0.1782,0.2126,0.21,0.1881,0.1889,0.2081,0.2348,0.2112,0.2258
管理/行政费用率 Admin exp ratio,0.0443,0.0365,0.0309,0.0447,0.0491,0.0514,0.0579,0.082,0.0957,0.1022,0.0903,0.1227,0.15,0.0975,0.1108,0.1285,0.1188,0.1124,0.1073,0.1051,0.0966
ROE(期末) Return on year-end equity,0.0621,0.2672,0.793,0.1927,0.217,0.2427,0.2473,0.1895,0.1345,0.1017,0.1283,0.1066,0.0782,0.1233,0.1056,0.071,0.1146,0.1118,0.1162,0.1423,0.1344
ROE(年均) Return on avg equity,,0.3134,0.9499,0.3484,0.2304,0.2568,0.2662,0.198,0.138,0.1038,0.1304,0.1077,0.0802,0.1245,0.1191,0.0727,0.1199,0.114,0.1204,0.141,0.1451
经营现金流/净利 OCF/Net profit,-1.665,-1.257,0.0581,0.989,1.3594,0.5606,0.2116,1.6482,1.0902,0.1946,1.2355,0.6035,1.2504,0.2305,1.0637,0.6338,0.7886,0.6268,1.2148,0.9917,0.6944
Capex/净利 Capex/Net profit,1.6813,0.5503,0.1496,0.0612,0.1432,0.0306,0.0887,0.2047,0.3349,0.2219,0.0946,0.168,0.2844,0.1113,0.1365,0.4179,0.4694,0.4052,0.3822,0.2596,0.2021
应收/营收 AR/Revenue,0.3413,0.3887,0.1717,0.1838,0.1474,0.1631,0.2176,0.1866,0.265,0.3119,0.3573,0.3897,0.3533,0.3314,0.3556,0.396,0.3524,0.3258,0.3468,0.3691,0.3643
存货/营收 Inventory/Revenue,0.3444,0.313,0.1418,0.1005,0.0749,0.1038,0.1212,0.105,0.1236,0.1191,0.0752,0.0852,0.1404,0.1309,0.1279,0.1193,0.1495,0.1769,0.125,0.1175,0.1292
