# 资产负债表（特步国际 01368.HK）· 单位：人民币百万元（每股盈利为人民币分）；负数=流出/减项；空=该期财报无此科目
# 来源：report/特步国际/ 招股说明书(2005-2007) + 各年年报(2008-2025) 逐行解析；本年年报本年列为准，上年比较列作跨年交叉核
科目,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
物业厂房及设备,53.015,74.844,96.585,115.333,192.969,197.073,257.463,386.932,544.711,585.35,591.483,618.021,645.928,640.687,661.732,796.23,1118.777,1367.52,1592.157,1669.057,1759.821
投资物业,,,,,,,,,,,,,39.615,36.8,33.985,31.17,28.355,25.54,16.646,9.074,7.663
使用权资产,,,,,,,,,,,,,,,356.242,429.283,668.025,685.516,817.541,749.709,811.882
土地使用权预付款项,22.718,22.277,21.763,21.847,21.345,20.843,230.376,225.478,220.672,215.836,208.663,226.343,240.63,234.119,,,,,,,
购地预付款项,,,,50.079,50.079,88.699,6.261,6.261,6.261,55.751,62.79,10.467,,60.105,60.105,,,,,,
购建设备预付款项,,,,10.288,10,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,833.938,787.112,756.275,830.217,842.164,3.84,3.84
无形资产,0.173,0.363,0.289,0.791,0.615,0.994,0.944,0.626,1.066,2.172,3.239,5.133,7.521,7.919,809.892,709.415,671.348,722.703,723.345,16.522,24.534
联营公司投资,,,,,,,,,,,,,,,39.161,33.691,143.631,190.387,494.806,453.31,635.212
其他投资-非流动,,,,,,,,33,33,48,72,82,92,,,,,,,,
FVOCI权益投资-非流动,,,,,,,,,,,,,,114.2,158.1,184.565,220.965,248.665,256.565,282.2,303.9
FVTPL金融资产-非流动,,,,,,,,,,,,,,,,,,,,1046.111,1052.228
已抵押存款-非流动,,,,,,,,,,,100,,,,,,,,,,
定期存款-非流动,,,,,,,,,110,,,,,,,500,500,,300,300,
按金及其他应收款项-非流动,,,,,,,,10.991,38.871,10.206,25.064,14.915,26.208,45.122,103.557,72.931,75.713,84.875,237.799,208.308,77.488
非流动资产合计,,,,,,307.609,495.044,663.288,954.581,917.315,1063.239,956.879,1051.902,1138.952,3056.712,3544.397,4183.089,4155.423,5281.023,4738.131,4676.568
存货,102.427,151.362,193.505,288.287,265.689,462.562,671.523,582.707,536.799,568.984,398.385,459.575,717.851,835.758,1046.286,974.803,1497.414,2287.201,1793.774,1595.654,1828.98
应收贸易账款,,,,,,,,,,1231.419,1603.226,1916.209,1719.007,1953.303,2596.449,2760.306,3137.244,3809.438,4518.401,4596.824,4744.278
应收票据,,,,,,,,,,258.52,288.631,186.95,87.5,161.8,313.5,475.5,391,403.175,457,414.5,411
应收贸易账款及票据,101.526,187.959,234.383,526.912,522.755,727.056,1205.389,1035.877,1150.943,,,,,,,,,,,,
预付款项按金及其他应收款项,12.876,45.427,131.984,121.74,79.526,343.26,533.38,421.413,385.508,423.695,381.351,407.785,572.28,727.408,817.739,898.937,1442.576,1370.506,1111.845,1046.346,1092.885
可收回税项,0.286,0.074,,,,,,16.19,0.355,21.258,2.395,1.24,1.37,0.085,5.359,8.498,1.034,0.911,,,
其他投资-流动,,,,,,,,100,,450,100,,,,,,,,,,
结构性存款-流动,,,,,,,,,,,,,715,980,800,,,,,,
衍生金融工具-流动,,,,,,,,,,,,,,,,,,5.44,7.078,7.233,7.055
已抵押存款-流动,2.5,7.88,,6,,,521.669,557.211,715.203,746.159,605.825,798.77,56.526,205.48,717.034,437.297,33.347,546.918,861.722,590.26,227
定期存款-流动,,,,,,,,,,110,64,600,180,,,,,500.349,,,454
现金及现金等价物,14.409,22.216,215.018,2136.938,2497.635,2443.702,2068.163,3122.801,3563.387,3137.11,3607,2846.532,3832.272,3195.809,2969.504,3471.951,3929.792,3414.156,3294.627,2979.194,3457.11
流动资产合计,,,,,,3976.58,5000.124,5836.199,6352.195,6947.145,7050.813,7217.061,7881.806,8059.643,9265.871,9027.292,10432.407,12338.094,12044.447,11230.011,12222.308
应付贸易账款,,,,,,,,,,,,896.052,1027.714,878.686,1419.7,1478.866,2352.394,2721.809,2430.501,2095.441,1755.816
应付票据,,,,,,,,,,,,,,,,,,50,100,100,
应付贸易账款及票据,44.513,95.571,55.859,377.989,439.398,639.141,498.874,482.517,601.018,728.926,895.835,,,,,,,,,,
其他应付款项及应计费用,10.572,30.8,41.102,75.392,165.494,164.593,227.472,287.357,332.687,322.95,536.369,543.661,564.617,861.393,980.586,1051.972,1071,1425.863,1665.057,1661.818,1821.649
计息银行借贷-流动,89.25,197,116,124,,,492.027,510.882,1350.637,1221.662,1489.361,1501.581,830.865,1482.775,1086.338,642.335,405.08,2230.924,953.584,1161.249,840.502
租赁负债-流动,,,,,,,,,,,,,,,68.85,74.845,98.212,107.871,144.359,77.362,104.703
可换股债券-特步-流动,,,,,,,,,,,,,,,,,,,418.791,,452.016
衍生金融工具负债-流动,,,,,,,,,,,,,,,,,2.737,,74.805,72.982,49.517
递延补贴-流动,,,,,,,,,,,,,,0.577,0.577,0.577,0.577,0.577,0.577,0.577,0.577
应付税项,,,30.518,60.234,24.373,88.254,181.831,156.066,71.625,76.749,44.862,88.187,65.632,54.377,115.093,85.719,123.031,107.74,62.968,113.188,126.45
应付股息,,,129.455,,,,,,,,,,,,,,,,,,
应付董事款项,15.635,3.521,32.874,,,,,,,,,,,,,,,,,,
应付关联方款项,23.843,8.143,,,,,,,,,,,,,,,,,,,
流动负债合计,,,,,,891.988,1400.204,1436.822,2355.967,2350.287,2966.427,3029.481,2488.828,3277.808,3671.144,3334.314,4053.031,6644.784,5850.642,5282.617,5151.23
流动资产净值,50.211,79.883,369.082,2442.262,2736.34,3084.592,3599.92,4399.377,3996.228,4596.858,4084.386,4187.58,5392.978,4781.835,5594.727,5692.978,6379.376,5693.31,6193.805,5947.394,7071.078
资产总值减流动负债,132.117,187.367,497.719,2640.6,3011.348,3392.201,4094.964,5062.665,4950.809,5514.173,5147.625,5144.459,6444.88,5920.787,8651.439,9237.375,10562.465,9848.733,11474.828,10685.525,11747.646
计息银行借贷-非流动,,,,,,,,534.598,174.884,617.367,121.199,,1019.159,460.875,1268.527,1515.507,1375.082,192.94,1691.366,866.758,256.276
租赁负债-非流动,,,,,,,,,,,,,,,107.308,130.858,102.155,122.222,133.744,65.157,124.345
可换股债券-特步-非流动,,,,,,,,,,,,,,,,,341.048,392.356,,856.786,882.345
可换股债券-KSwiss-非流动,,,,,,,,,,,,,,,,,416.499,419.537,460.424,,
优先股,,,216.599,,,,,,,,,,,,,,,,,,
优先股衍生部分,,,1.324,,,,,,,,,,,,,,,,,,
衍生金融工具负债-非流动,,,,,,,,,,,,,,,,21.912,56.269,80.841,,,
递延税项负债,,,,2.824,27.268,,68.751,133.453,153.453,121.248,109.705,109.277,97.113,107.295,280.393,237.027,253.42,310.03,242.878,175.65,264.128
递延补贴-非流动,,,,,,,114.833,114.833,114.833,65.21,43.315,12.42,,21.651,21.074,20.495,19.918,19.341,19.183,18.606,18.029
其他非流动负债,,,,,,,,,,,1.693,,,,13.899,12.851,15.635,4.764,3.947,,
非流动负债合计,,,217.923,2.824,,,183.584,782.884,443.17,803.825,275.912,121.697,1116.272,589.821,1691.201,1938.65,2580.026,1542.031,2551.542,1982.957,1545.123
资产净值,132.117,187.367,279.796,2637.776,2984.08,,3911.38,4279.781,4507.639,4710.348,4871.713,5022.762,5328.608,5330.966,6960.238,7298.725,7982.439,8306.702,8923.286,8702.568,10202.523
股本,117.812,122.993,0.936,19.177,19.177,19.197,19.199,19.2,19.204,19.214,19.354,19.572,19.603,19.782,22.093,22.395,23.092,23.147,23.191,23.575,24.701
库存股,,,,,,,,,,,,,,,,,,,-282.991,-294.563,-133.128
可换股债券权益部分,,,,,,,,,,,,,,,,,,,26.46,85.848,101.998
储备,14.305,64.374,278.86,2618.599,2964.903,3333.136,3888.237,4255.162,4486.531,4681.241,4832.588,4933.876,5201.266,5306.497,6868.381,7200.938,7906.198,8221.01,9095.906,8887.708,10208.952
非控股权益,,,,,,,3.944,5.419,1.904,9.893,19.771,69.314,107.739,4.687,69.764,75.392,53.149,62.545,60.72,,
权益总值,132.117,187.367,279.796,2637.776,2984.08,3352.333,3911.38,4279.781,4507.639,4710.348,4871.713,5022.762,5328.608,5330.966,6960.238,7298.725,7982.439,8306.702,8923.286,8702.568,10202.523
