# 零售流水 / 折扣 / 渠道存货（特步国际 01368.HK）· 表外先行指标·非财报数字
# 来源：公司每季度「中国内地业务营运状况」自愿性公告（一手·巨潮 cninfo 直链见「来源公告日」列）
# ⚠️ 公司**只给定性区间**（高单位数/中双位数/七至七五折…），不给精确数值 —— 原样照录，不折算成数字
# ⚠️ 口径二：本表只覆盖**中国内地**业务，与利润表的集团口径（含海外）不同轴，不可直接对账
# ⚠️ 口径三：2022 年报口径为「零售存货周转」，2023 年起改称「渠道存货周转」；措辞变化已原样保留
# ⚠️ 未经审计（公告原文自陈「尚未经过本公司审计师审计或覆核」）
期间,特步主品牌-零售流水同比,特步主品牌-零售折扣,特步主品牌-渠道存货周转,索康尼-零售流水同比,来源公告日
2022Q4,高单位数下跌,约七折,,,2023-01-16
2022全年,中双位数增长,,约五个半月(口径为「零售存货周转」),,2023-01-16
2023Q1,约20%增长,七至七五折,,,2023-04-11
2023Q2,高双位数增长,约七五折,,,2023-07-19
2023H1,高双位数增长,,,,2023-07-19
2023Q3,高双位数增长,七至七五折,,,2023-10-16
2023Q4,超过30%增长,约七折,,,2024-01-09
2023全年,超过20%增长,,四个月至四个半月,,2024-01-09
2024Q1,高单位数增长,七至七五折,,,2024-04-18
2024Q2,10%增长,约七五折,,,2024-07-11
2024H1,高单位数增长,,,,2024-07-11
2024Q3,中单位数增长,约七五折,,超过50%增长,2024-10-23
2024Q4,高单位数增长,七至七五折,,约50%增长,2025-01-09
2024全年,高单位数增长,,约四个月,超过60%增长,2025-01-09
2025Q1,中单位数增长,七至七五折,,超过40%增长,2025-04-17
2025Q2,低单位数增长,七至七五折,,超过20%增长,2025-07-16
2025H1,中单位数增长,,四个月至四个半月,超过30%增长,2025-07-16
2025Q3,低单位数增长,七至七五折,四个月至四个半月,超过20%增长,2025-10-17
2025Q4,同比持平,七至七五折,,超过30%增长,2026-01-23
2025全年,低单位数增长,,约四个半月,超过30%增长,2026-01-23
2026Q1,低单位数增长,七至七五折,,超过20%增长,2026-04-21
2026Q2,中单位数下跌,七至七五折,,低单位数增长,2026-07-17
2026H1,低单位数下跌,,四个半至五个月,低双位数增长,2026-07-17
