科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
汽车玻璃收入,2888932685,3554025844,4095855769.0,5179529956.0,7568133954.0,8748340397.0,9514829117.0,10912029846,12439376697,13137756530,16145325933.0,,,18957337043.0,17942033181.0,21379623201.0,25591272963.0,29887354294.0,35711992929.0,41889226037.0
汽车玻璃成本,1832481075,2289386634,2713723680.0,3221998344.0,4897812366.0,5759751943.0,6238788876.0,6943570130,7832729038,8237716627,10069543726.0,,,12411825241.0,11757642229.0,14824470800.0,18002483558.0,20745955716.0,24943534919.0,28767636910.0
汽车玻璃毛利率(%),36.57,35.58,33.74,37.79,35.28,34.16,34.43,36.37,37.03,37.3,37.63,,,34.53,34.47,30.66,29.65,30.59,30.15,31.32
浮法玻璃收入,1643491890,2075186735,2292000802.0,1621972196.0,1825186243.0,1921532635.0,2271823948.0,2238927048,2129747849,2485240231,2729025698.0,,,3644797566.0,3491541713.0,4029400372.0,4536714592.0,5708192224.0,5960560140.0,6479743917.0
浮法玻璃成本,1366802921,1591353040,2007863436.0,1115782466.0,1230719216.0,1561156165.0,1842948856.0,1687198231,1526956611,1877414538,1889551191.0,,,2372599956.0,2150493545.0,2571070680.0,3329138613.0,4069450484.0,3812209771.0,3911243826.0
浮法玻璃毛利率(%),16.84,23.32,12.4,31.21,32.57,18.75,18.88,24.64,28.3,24.46,30.76,,,34.9,38.41,36.19,26.62,28.71,36.04,39.64
其他收入,,160832425,215521556.0,122202274.0,194431211.0,205221114.0,165357730.0,204356862,214754526,160815336,73550610.0,,,1564695603.0,1532921992.0,1612900461,2568104556.0,3276137257.0,4004143315,4735633472.0
其他成本,,130610072,145573964.0,90773773.0,120353514.0,116170605.0,95225167.0,133245935,142550055,92384142,27814144.0,,,1678243644.0,1361953967.0,1405097297,2050482326.0,2630732775.0,3014379757,3718471276.0
集团内部抵销收入,-648438314,-830809591,-987156831.0,-1017112497.0,-1222247837.0,-1322369638.0,-1881479161.0,-2079193222,-2127912207,-2511109145,-2657335337.0,,,-3401741957.0,-3325207614.0,-3760789965.0,-5045113310.0,-6221506877.0,-6966267705.0,-8007186332.0
主营合计收入,3883986261,4959235413,5616221296.0,5906591929.0,8365503571.0,9552724508.0,10070531634.0,11276120534,12655966865,13272702952,16290566904.0,,19883838974,20765088255.0,19641289272.0,23261134069.0,27650978801.0,32650176898.0,38710428679.0,45097417094.0
主营合计成本,2550845682,3180540155,3880004249.0,3411442086.0,5026637259.0,6114709075.0,6295483738.0,6684821074,7374323497,7696406162,9329573724.0,,11488667084,13060926884.0,11944882127.0,15039848812.0,18410110199.0,21310091980.0,24922427939.0,28498495232.0
主营合计毛利率(%),34.32,35.87,30.91,42.24,39.91,35.99,37.49,40.72,41.73,42.01,42.73,,42.22,37.1,39.18,35.34,33.42,34.73,35.62,36.81
国内收入,2771116952,3500825296,3898725594,4245223812,6004665134,6505695227,6739925446,7609307642,8350438760,8795959672,10674756150.0,,11571725502,10577010125.0,10659827809.0,12190320025.0,14816056746.0,17858477563.0,21155382723.0,24240607684.0
国外收入,1112869309,1458410117,1717495702,1661368117,2360838437,3047029281,3330606188,3666812892,4305528105,4476743280,5615810754.0,,8312113472,10188078130.0,8981461463.0,11070814044.0,12834922055.0,14791699335.0,17555045956.0,20856809410.0
国外收入占比(%),28.65,29.41,30.58,28.13,28.22,31.9,33.07,32.52,34.02,33.73,34.47,,41.8,49.06,45.73,47.59,46.42,45.3,45.35,46.25
国内成本,,,,,,,,,,4956181093,5896032276.0,,6348365851,6063317367.0,5905294229.0,6954170161.0,8948054824.0,11269928356.0,12889681542.0,14449843719.0
国外成本,,,,,,,,,,2740225069,3433541448.0,,5140301233,6997609517.0,6039587898.0,8085678651.0,9462055375.0,10040163624.0,12032746397.0,14048651513.0
国内毛利率(%),,,,,,,,,,43.65,44.77,,45.14,42.67,44.6,42.95,39.61,36.89,39.07,40.39
国外毛利率(%),,,,,,,,,,38.79,38.86,,38.16,31.32,32.75,26.96,26.28,32.12,31.46,32.64
