科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
营业总收入,3934615887.0,5165724714.0,5716965598.0,6079369191.0,8508037837.0,,,,12928181657.0,13573495055.0,16621336273.0,18715608755.0,20224985720.0,21103877523.0,19906593468.0,23603063361.0,28098754166.0,33160996641.0,39251657267.0,45787435563.0
营业收入,3934615887.0,5165724714.0,5716965598.0,6079369191.0,8508037837.0,9689410198.0,10247391495.0,11501209769.0,12928181657.0,13573495055.0,16621336273.0,18715608755.0,20224985720.0,21103877523.0,19906593468.0,23603063361.0,28098754166.0,33160996641.0,39251657267.0,45787435563.0
营业总成本,3272421970.0,4219511030.0,5446214632.0,4626879284.0,6532175575.0,,,,10376072640.0,10543228087.0,12826209019.0,15211853543.0,16104535918.0,17896220191.0,17101256103.0,20112994143.0,22491696073.0,26404683851.0,30408445554.0,34881835492.0
营业成本,2567116333.0,3296528210.0,3926338923.0,3522853470.0,5068869982.0,6146669406.0,6337915953.0,6739506330.0,7456555171.0,7814343237.0,9463313931.0,10712611816.0,11603054947.0,13197554393.0,12640913159.0,15129053236.0,18535445134.0,21424326140.0,25030877441.0,28722452918.0
税金及附加,183830.0,2690928.0,3125621.0,2507512.0,6726681.0,56865963.0,67787191.0,86169090.0,98136348.0,112453855.0,174265074.0,200263617.0,203072222.0,197816747.0,198182840.0,204629142.0,225341476.0,239896621.0,285987048.0,346423773.0
销售费用,288786743.0,353703415.0,420215230.0,410988218.0,621634518.0,743523855.0,778540137.0,876776071.0,982164821.0,1020584621.0,1184740033.0,1274308845.0,1467671276.0,1481567161.0,1051202141.0,1150992397.0,1350721298.0,1538783486.0,1180260909.0,1327765447.0
管理费用,206489060.0,347921552.0,376653614.0,483483172.0,661674141.0,802632567.0,995163549.0,1294180997.0,1538930152.0,1873364984.0,2392097806.0,2600820616.0,2063072209.0,2185363063.0,1901093252.0,1944179027.0,2142932036.0,2486049334.0,2888289768.0,3403051533.0
研发费用,,,,,,,,,,,,,887721987.0,813129835.0,815579258.0,997203019.0,1248592812.0,1403030121.0,1677751298.0,1913082175.0
财务费用,207581305.0,221894107.0,300577211.0,206335291.0,172637044.0,235598649.0,245042513.0,243803451.0,285435283.0,-289059545.0,-399432422.0,418737949.0,-120056723.0,20788992.0,494285453.0,686937322.0,-1011336683.0,-687401851.0,-654720910.0,-830940354.0
利息费用,,,,,,,,,,,,,366800496.0,432679520.0,354752403.0,318940791.0,288122259.0,288319603.0,288507082.0,321414072.0
利息收入,,,,,,,,,,,,,236034167.0,284421399.0,290289764.0,168837719.0,262733645.0,614002388.0,979192040.0,868835353.0
其他收益,,,,,,,,,,,,188116808.0,146750220.0,181754102.0,352820556.0,242337506.0,215071387.0,262917177.0,400415185.0,313086363.0
投资收益,7542683.0,15855197.0,10283599.0,20940242.0,16430220.0,16017053.0,21538576.0,25747772.0,31028937.0,23781843.0,41956332.0,23390958.0,693870981.0,82377957.0,70997066.0,62948150.0,-8241996.0,-5512634.0,-71969855.0,-38169787.0
其中:联营合营企业投资收益,7542683.0,15855197.0,10283599.0,20940242.0,16430220.0,16017053.0,21538576.0,25747772.0,31028937.0,5559310.0,-112916.0,-6016466.0,3743957.0,-5932899.0,11843754.0,26975045.0,20962737.0,10797721.0,-15801862.0,-21217420.0
公允价值变动收益,,,,,,-706169.0,1046869.0,-6820040.0,8462776.0,-2808871.0,2776702.0,-19118332.0,63893463.0,-35747594.0,-680484.0,-9396901.0,-2033177.0,-1655540.0,1941956.0,3233548.0
信用减值损失,,,,,,,,,,,,,-28131575.0,-20511657.0,-5986645.0,-5436372.0,-4092781.0,-17109861.0,-3562889.0,3034781.0
资产减值损失,2264699.0,-3227182.0,419304033.0,711621.0,633209.0,10326434.0,34188534.0,21629176.0,14850865.0,11540935.0,11224597.0,5110700.0,-22335530.0,-3939955.0,-30973964.0,-18976018.0,-140304975.0,-205314035.0,-108088278.0,-13790829.0
资产处置收益,,,,,,,,,,,-17315990.0,-26217990.0,-1279203.0,4347754.0,75117728.0,484341.0,-6083766.0,1647225.0,13102488.0,12395787.0
营业利润,669736600.0,962068881.0,281034565.0,1473430149.0,1992292482.0,1709104208.0,1811339063.0,2258072386.0,2591600730.0,3051239940.0,3822544298.0,3669926656.0,4973218158.0,3415937939.0,3266631622.0,3762029924.0,5661372785.0,6791285122.0,9075050320.0,11185389934.0
营业外收入,13934183.0,27090714.0,46279994.0,29970514.0,39309586.0,77292751.0,82084680.0,208443456.0,71480934.0,129935252.0,100892863.0,27172108.0,60687441.0,109494454.0,57628048.0,217974835.0,80855034.0,49843149.0,35905331.0,40312780.0
营业外支出,12555474.0,9568067.0,12425992.0,221107369.0,19771104.0,14066835.0,30840746.0,87475381.0,24233341.0,138450464.0,3811457.0,17376997.0,71545321.0,294294341.0,214664627.0,161162665.0,163122132.0,125106357.0,120136061.0,64020014.0
利润总额,671115309.0,979591528.0,314888567.0,1282293294.0,2011830964.0,1772330124.0,1862582997.0,2379040461.0,2638848323.0,3042724728.0,3919625704.0,3679721767.0,4962360278.0,3231138052.0,3109595043.0,3818842094.0,5579105687.0,6716021914.0,8990819590.0,11161682700.0
所得税费用,57155526.0,62380893.0,68836064.0,164264094.0,224073017.0,259723194.0,337942467.0,461923837.0,421567157.0,435226131.0,776909142.0,531479253.0,855187629.0,332955880.0,511144107.0,675861301.0,826310042.0,1086913641.0,1486781220.0,1844886206.0
净利润,613959783.0,917210635.0,246052503.0,1118029200.0,1787757947.0,1512606930.0,1524640530.0,1917116624.0,2217281166.0,2607498597.0,3142716562.0,3148242514.0,4107172649.0,2898182172.0,2598450936.0,3142980793.0,4752795645.0,5629108273.0,7504038370.0,9316796494.0
归母净利润,613959783.0,917210635.0,246052503.0,1118029200.0,1787757947.0,1512606930.0,1524770826.0,1917548483.0,2219748934.0,2605379627.0,3144227339.0,3148748043.0,4120487402.0,2898433273.0,2600776459.0,3146167091.0,4755595541.0,5629256054.0,7497976123.0,9312304150.0
少数股东损益,,,,,,,-130296.0,-431859.0,-2467768.0,2118970.0,-1510777.0,-505529.0,-13314753.0,-251101.0,-2325523.0,-3186298.0,-2799896.0,-147781.0,6062247.0,4492344.0
综合收益总额,,,,,1796556698.0,1531222088.0,1530607408.0,1871988285.0,1954693478.0,2589946213.0,3505121866.0,2852795629.0,4270107475.0,3060672065.0,2103454647.0,3086655280.0,5303937369.0,5685203614.0,7666913443.0,8912898748.0
归母综合收益总额,,,243768266.0,1116966342.0,1796556698.0,1531222088.0,1530737704.0,1872420144.0,1957161246.0,2587827243.0,3506632643.0,2853301158.0,4283422228.0,3060923166.0,2105780170.0,3089841578.0,5306737265.0,5685351395.0,7660851196.0,8908406404.0
基本每股收益(元/股),0.61,0.92,0.12,0.56,0.89,0.76,0.76,0.96,1.11,1.1,1.25,1.26,1.64,1.16,1.04,1.23,1.82,2.16,2.87,3.57
扣非归母净利润(摘要披露),605962308.0,897960012.0,204390284.0,1306338006.0,1767351758.0,1465292422.0,1483814676.0,1828765005.0,2175129790.0,2610571776.0,3069187169.0,3030258585.0,3467787870.0,2802907097.0,2303990333.0,2815935759.0,4665705551.0,5527467830.0,7445999659.0,9164684348.0
