公司,份额(%),年份,口径,来源类型,来源,采集日期,备注
福耀玻璃,34,2023,全球汽车玻璃(销量/收入口径未明·疑含OEM+ARG),二手·英文市场研究聚合,ResearchAndMarkets系转述(businesswire 2024-12-10)等,2026-08-30,与中文源家族2024锚点一致
福耀玻璃,34,2024,全球汽车玻璃(口径未明),二手·中文行业报告转载,QYResearch系报告(格隆汇转载)+雪球转述,2026-08-30,两源家族交叉一致的锚点
福耀玻璃,37,2025,全球汽车玻璃(口径未明),二手·雪球转述(疑源QYResearch2025),雪球用户帖,2026-08-30,⚠️未见报告原文·帖内含"将提升至45%"促销式外推·仅取当年值
福耀玻璃,33-38,2025,销量反推:自家汽玻销量169.18百万平米÷全球需求盘(轻型车产量~9200万辆×单车4-4.5平米+ARG增补15-25%),本库派生【推】,产销量.csv+年报引中汽协/OICA产量,2026-08-30,独立算术校验·与外部源34-37%量级一致·单车面积与ARG占比为行业通识假设
AGC旭硝子,23,2024,全球汽车玻璃,二手·英文市场研究聚合,同福耀2023行,2026-08-30,⚠️与中文源(16%/2025)显著分歧·疑口径差(OEM-only vs 含售后/定义范围)
AGC旭硝子,16,2025,全球汽车玻璃,二手·中文行业报告转载,QYResearch系(格隆汇),2026-08-30,同上分歧
NSG板硝子,18,FY2024,全球汽车玻璃,二手·英文市场研究聚合,同福耀2023行,2026-08-30,⚠️与中文源分歧
NSG板硝子,14,2025,全球汽车玻璃,二手·中文行业报告转载,QYResearch系(格隆汇),2026-08-30,同上
圣戈班,14,2024,全球汽车玻璃,二手·英文市场研究聚合,同福耀2023行,2026-08-30,两源家族此项接近
圣戈班,14.5,2025,全球汽车玻璃,二手·中文行业报告转载,QYResearch系(格隆汇),2026-08-30,
CR3(福耀+AGC+NSG),~60,2025,全球汽车玻璃,二手·中文行业报告转载,QYResearch系(格隆汇),2026-08-30,⚠️与英文源"CR4≈90%"打架·集中度结论取决于市场定义(是否含区域小厂/售后)
CR4(福耀+AGC+NSG+圣戈班),~90,2024,全球汽车玻璃(疑OEM配套口径),二手·英文市场研究聚合,同福耀2023行,2026-08-30,同上
福耀玻璃(历史参照),~20,2015,全球汽车玻璃,二手·中文行业报告转载,格隆汇十年对比数据(2015:AGC27.5/NSG21.1/圣戈班17.6),2026-08-30,十年格局变迁:福耀20→37·三家外资均降·仅作趋势参照
