科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
销售商品、提供劳务收到的现金,4571189654.0,6083899525.0,7055919499.0,7012474306.0,9043951213.0,10474145386.0,11148959139.0,12351390007.0,14075118462.0,14742618341.0,17281659057.0,20482066535.0,22728927626.0,22628355978.0,20384558374.0,24732625116.0,29140807061.0,31482964361.0,37770735435.0,45331193847.0
收到的税费返还,71892361.0,32306548.0,118295569.0,100059978.0,101535726.0,102425450.0,101245113.0,107599207.0,193404407.0,193685258.0,187711757.0,274447357.0,281901831.0,240853074.0,193527136.0,303234772.0,269276069.0,327691192.0,405196979.0,483701918.0
收到其他与经营活动有关的现金,71456790.0,68297593.0,60932014.0,78363714.0,30834651.0,71307741.0,94488679.0,71490020.0,78789941.0,112290050.0,190245311.0,340260960.0,537292015.0,674341156.0,784161138.0,588060384.0,551237577.0,753288481.0,1002006631.0,1230754549.0
经营活动现金流入小计,4714538805.0,6184503666.0,7235147082.0,7190897998.0,9176321590.0,10647878577.0,11344692931.0,12530479234.0,14347312810.0,15048593649.0,17659616125.0,21096774852.0,23548121472.0,23543550208.0,21362246648.0,25623920272.0,29961320707.0,32563944034.0,39177939045.0,47045650314.0
购买商品、接受劳务支付的现金,-3006944372.0,-4054315301.0,-4707147194.0,-4223344380.0,-5657090286.0,-7489023590.0,-6714398735.0,-7125052583.0,-8222829903.0,-8501814057.0,-9259037288.0,-10795682357.0,-11999820697.0,-11860432727.0,-9870163235.0,-13312665463.0,-16462825366.0,-16335379211.0,-20211197125.0,-21867713978.0
支付给职工及为职工支付的现金,-180485936.0,-293600693.0,-355278199.0,-371607568.0,-677628415.0,-936674251.0,-1153872277.0,-1432271383.0,-1690056107.0,-1977131002.0,-2870928129.0,-3373546340.0,-3835696147.0,-4472992794.0,-4008966085.0,-4456225249.0,-5094796381.0,-5990441810.0,-7010421644.0,-8206887873.0
支付的各项税费,-335203998.0,-406890579.0,-501815039.0,-574665717.0,-646964825.0,-655469398.0,-886772267.0,-1053689365.0,-1178630566.0,-1380505513.0,-1712607612.0,-1942764215.0,-1664451977.0,-1803160720.0,-1684037475.0,-1924319716.0,-2226889431.0,-2330286716.0,-3102334418.0,-4604897578.0
支付其他与经营活动有关的现金,-17638313.0,-57752350.0,-79321354.0,-70546666.0,-79558789.0,-104712477.0,-80081275.0,-81088555.0,-101794486.0,-174670051.0,-180068236.0,-188269889.0,-240291348.0,-280049136.0,-521317714.0,-253700203.0,-283767874.0,-283255407.0,-291798529.0,-311060333.0
经营活动现金流出小计,-3540272619.0,-4812558923.0,-5643561786.0,-5240164331.0,-7061242315.0,-9185879716.0,-8835124554.0,-9692101886.0,-11193311062.0,-12034120623.0,-14022641265.0,-16300262801.0,-17740260169.0,-18416635377.0,-16084484509.0,-19946910631.0,-24068279052.0,-24939363144.0,-30615751716.0,-34990559762.0
经营活动产生的现金流量净额,1174266186.0,1371944743.0,1591585296.0,1950733667.0,2115079275.0,1461998861.0,2509568377.0,2838377348.0,3154001748.0,3014473026.0,3636974860.0,4796512051.0,5807861303.0,5126914831.0,5277762139.0,5677009641.0,5893041655.0,7624580890.0,8562187329.0,12055090552.0
