科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
毛利率(%),34.76,36.18,31.32,42.05,40.42,36.56,38.15,41.4,42.32,42.43,43.07,42.76,42.63,37.46,36.5,35.9,34.03,35.39,36.23,37.27
净利率(%),15.6,17.76,4.3,18.39,21.01,15.61,14.88,16.67,17.15,19.21,18.91,16.82,20.31,13.73,13.05,13.32,16.91,16.98,19.12,20.35
归母净利率(%),15.6,17.76,4.3,18.39,21.01,15.61,14.88,16.67,17.17,19.19,18.92,16.82,20.37,13.73,13.06,13.33,16.92,16.98,19.1,20.34
"ROE(归母÷期末归母权益,%)",21.07,26.01,7.53,25.49,30.6,24.27,21.87,24.45,25.23,15.88,17.44,16.57,20.41,13.56,12.04,11.96,16.4,17.91,21.01,24.8
销售费用率(%),7.34,6.85,7.35,6.76,7.31,7.67,7.6,7.62,7.6,7.52,7.13,6.81,7.26,7.02,5.28,4.88,4.81,4.64,3.01,2.9
管理费用率(%),5.25,6.74,6.59,7.95,7.78,8.28,9.71,11.25,11.9,13.8,14.39,13.9,10.2,10.36,9.55,8.24,7.63,7.5,7.36,7.43
研发费用率(%),,,,,,,,,,,,,4.39,3.85,4.1,4.22,4.44,4.23,4.27,4.18
经营现金流/净利润(现金含量),1.913,1.496,6.468,1.745,1.183,0.967,1.646,1.481,1.422,1.156,1.157,1.524,1.414,1.769,2.031,1.806,1.24,1.354,1.141,1.294
销售收现/营收,1.162,1.178,1.234,1.153,1.063,1.081,1.088,1.074,1.089,1.086,1.04,1.094,1.124,1.072,1.024,1.048,1.037,0.949,0.962,0.99
capex/净利润(%),209.04,203.96,373.13,40.26,60.07,73.41,103.06,98.42,126.27,124.85,113.52,114.03,87.45,95.91,68.22,74.09,65.86,79.49,73.04,66.16
capex/经营现金流净额(%),109.3,136.36,57.68,23.07,50.77,75.95,62.61,66.47,88.77,108.0,98.09,74.85,61.84,54.21,33.59,41.02,53.12,58.69,64.01,51.13
"自由现金流(经营净额-capex,元)",-109158203.0,-498830468.0,673485953.0,1500630349.0,1041185996.0,351634087.0,938259657.0,951641989.0,354257554.0,-241068543.0,69413616.0,1206516975.0,2216120061.0,2347412569.0,3505219176.0,3348497777.0,2762788268.0,3149869791.0,3081315163.0,5891008343.0
应收账款/营收(%),15.3,15.11,13.38,19.24,18.46,15.63,17.02,17.85,18.83,20.35,21.88,19.86,17.77,16.38,18.76,18.27,18.71,21.5,20.78,18.52
(应收账款+应收票据+应收款项融资)/营收(%),17.31,17.13,15.0,20.33,20.72,21.27,22.44,23.77,23.04,24.55,27.12,24.78,21.28,20.19,25.4,23.15,23.49,26.57,27.75,25.85
资产负债率(%),61.62,62.73,64.97,51.54,44.71,48.97,46.51,46.21,47.84,33.88,39.6,40.05,41.46,44.96,43.81,41.29,42.9,44.53,43.58,46.4
"有息负债(短借+一年内+长借+应付债券,元)",3920535237.0,4907612321.0,5080840596.0,2020668513.0,1986987188.0,3833969341.0,2162923750.0,2584106820.0,4238461106.0,4719051468.0,6636568517.0,7897266506.0,8130135196.0,10808392948.0,9620147180.0,9891188214.0,11228681035.0,14128791714.0,14651559306.0,16511191080.0
货币资金/总资产(%),1.85,1.28,1.65,1.54,1.51,6.92,3.92,3.44,3.01,23.84,24.15,21.22,18.46,21.52,22.93,31.99,33.52,32.7,29.7,27.51
固定资产+在建/总资产(%),64.63,65.93,67.52,59.32,56.09,52.37,53.23,49.42,50.97,42.42,43.83,45.79,48.03,44.87,43.24,36.79,34.63,34.82,36.3,37.72
存货/总资产(%),13.44,14.29,12.5,14.06,15.88,15.49,14.63,12.87,12.85,10.05,9.33,9.38,9.4,8.45,8.54,9.66,10.64,9.08,9.44,9.7
存货周转天数,145.1,149.7,108.5,131.8,120.8,112.3,109.8,101.7,106.2,116.5,107.5,101.4,102.0,90.7,94.7,104.4,106.4,87.6,87.1,86.4
应收账款周转天数,55.8,55.2,48.8,70.2,67.4,57.1,62.1,65.2,68.7,74.3,79.9,72.5,64.9,59.8,68.5,66.7,68.3,78.5,75.9,67.6
应付账款周转天数,31.7,44.0,23.4,41.3,43.5,32.3,29.9,41.0,46.5,42.5,50.1,48.5,40.9,34.2,37.5,36.8,39.9,46.0,40.8,38.9
归母/净利润(%·少数股东leak),100.0,100.0,100.0,100.0,100.0,100.0,100.01,100.02,100.11,99.92,100.05,100.02,100.32,100.01,100.09,100.1,100.06,100.0,99.92,99.95
扣非归母净利润(元·摘要披露),605962308.0,897960012.0,204390284.0,1306338006.0,1767351758.0,1465292422.0,1483814676.0,1828765005.0,2175129790.0,2610571776.0,3069187169.0,3030258585.0,3467787870.0,2802907097.0,2303990333.0,2815935759.0,4665705551.0,5527467830.0,7445999659.0,9164684348.0
扣非/归母(%·非经常leak),98.7,97.9,83.07,116.84,98.86,96.87,97.31,95.37,97.99,100.2,97.61,96.24,84.16,96.7,88.59,89.5,98.11,98.19,99.31,98.41
分配股利利润偿息/归母(%·含息近似),33.88,59.94,337.19,19.07,26.97,85.75,65.47,63.1,56.19,65.81,64.73,67.04,80.16,79.7,85.33,72.4,61.14,63.89,49.53,78.55
"ROE(归母÷年均归母权益,%)",,28.48,7.24,29.21,34.96,25.06,23.1,25.89,26.68,20.67,18.26,17.0,21.03,13.95,12.11,13.14,17.2,18.63,22.34,25.43
(应收+预付)/总资产(%),9.04,9.32,8.67,14.34,16.55,13.46,14.41,15.63,16.1,11.85,12.68,12.34,11.06,9.48,10.17,10.16,10.82,13.15,13.38,12.59
