科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
货币资金,140495436.0,120930940.0,153853161.0,139130176.0,159722045.0,845083167.0,510907755.0,501349992.0,507161367.0,5918845168.0,7211178987.0,6728200042.0,6365973126.0,8356153735.0,8809985853.0,14327356262.0,17019655848.0,18518172689.0,18784564004.0,19273739706.0
交易性金融资产,,,,,,,340700.0,1637030.0,3686636.0,,1951267.0,105489404.0,387261777.0,860894383.0,300287671.0,6320181.0,7396158.0,5740618.0,7682574.0,10916122.0
衍生金融资产,,,,,,,,,,,,,47542362.0,85110.0,,,,,,
应收票据,78944433.0,104192178.0,92225922.0,65939229.0,192635983.0,546463188.0,556183346.0,680366362.0,544506008.0,569748367.0,871597857.0,921383461.0,710399926.0,20011631.0,19430381.0,38888270.0,204452983.0,367992386.0,812397864.0,433533713.0
应收账款,602030281.0,780759615.0,765125302.0,1169765926.0,1570234478.0,1514771398.0,1743726871.0,2052982306.0,2434768393.0,2762405078.0,3636343106.0,3716260518.0,3593707590.0,3457428686.0,3734495117.0,4311233501.0,5257513588.0,7128016386.0,8157067130.0,8477842251.0
应收款项融资,,,,,,,,,,,,,,784417775.0,1301612117.0,1114012365.0,1138128166.0,1314917637.0,1921465582.0,2922909334.0
预付款项,84581436.0,101280693.0,43670078.0,128201978.0,179083152.0,128644028.0,135674453.0,226367409.0,281696446.0,178812459.0,150956724.0,195521295.0,220126772.0,222501827.0,173525313.0,238959820.0,235934604.0,316529520.0,305455256.0,344054393.0
应收利息,,,,,,677590.0,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,
其他应收款,33223843.0,28621804.0,37420579.0,90277579.0,57137953.0,52572544.0,108193329.0,175256266.0,110756471.0,86561210.0,118430342.0,105412820.0,510753825.0,472000751.0,526506578.0,160746854.0,138098796.0,143819252.0,126106574.0,169788769.0
存货,1020715806.0,1351769768.0,1166902420.0,1272472482.0,1677730982.0,1891782422.0,1907387855.0,1877166823.0,2169035889.0,2494920809.0,2785865099.0,2974677451.0,3241739977.0,3280465303.0,3280989599.0,4327048485.0,5403360356.0,5143615319.0,5970614068.0,6799040799.0
持有待售资产,,,,,,,,,401652933.0,320467619.0,,,,,,,,,,
一年内到期的非流动资产,,7084370.0,7142436.0,8266390.0,10376557.0,7527378.0,14103754.0,18852737.0,14640695.0,14065004.0,,,190000000.0,,160000000.0,,,316416243.0,,
其他流动资产,,,,,,,,417039444.0,177028763.0,186051895.0,174699089.0,259548554.0,313634314.0,320404434.0,252804600.0,158536366.0,273366871.0,281151242.0,317730736.0,913594747.0
流动资产合计,1959991235.0,2494639368.0,2266339898.0,2874053760.0,3846921150.0,4987521715.0,4976518063.0,5951018369.0,6644933601.0,12531877609.0,14951022471.0,15006493545.0,15581139669.0,17774363635.0,18559637229.0,24683102104.0,29677907370.0,33536371292.0,36403083788.0,39345419834.0
可供出售金融资产,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,25279074.0,12752408.0,24452370.0,24805548.0,18823570.0,,,,190000000.0,,180000000.0,,461516243.0,316416243.0,28891321.0,30104757.0,31351699.0
长期股权投资,58677392.0,67086353.0,89775199.0,103855441.0,69125020.0,80242073.0,104267850.0,130015622.0,161044559.0,46449341.0,101536425.0,95519959.0,205738050.0,199805151.0,206748905.0,228823950.0,250040313.0,181538429.0,441494759.0,412927339.0
其他权益工具投资,,,,,,,,,,,,,,,58000000.0,69320755.0,77566743.0,91054345.0,82682735.0,88338256.0
固定资产,3936504024.0,5599471067.0,5433609270.0,4919231181.0,5182569846.0,5881226188.0,6001061462.0,5851281012.0,6618619593.0,7688519842.0,9267464872.0,11151786090.0,13629887296.0,14520366436.0,14260438910.0,14501764063.0,14445878801.0,14955242773.0,16449536181.0,18131699338.0
在建工程,972082341.0,638682001.0,867940097.0,450012186.0,744449813.0,513891220.0,941060931.0,1357819223.0,1982260342.0,2842566308.0,3821964355.0,3366783284.0,2936812592.0,2901032823.0,2354298463.0,1976816816.0,3133499992.0,4766144830.0,6509671375.0,8296777029.0
工程物资,853669.0,,,,,,,,,,,,,,,,,,,
使用权资产,,,,,,,,,,,,,,701329178.0,607068550.0,595392579.0,575442101.0,628448631.0,532127082.0,575777028.0
无形资产,461801864.0,464023831.0,462580015.0,480294533.0,481655267.0,453291658.0,598124022.0,841881777.0,991914463.0,1179236213.0,1148077027.0,1098130404.0,1219578721.0,1337282523.0,1270843245.0,1235091876.0,1245410813.0,1315862480.0,1600767546.0,1799644828.0
开发支出,,,,,,,,,,,,,,,,,,,,
商誉,74678326.0,74678326.0,74678326.0,74678326.0,74678326.0,74678326.0,74678326.0,74678326.0,74678326.0,74678326.0,74678326.0,74678326.0,153707174.0,154940513.0,154940513.0,154940513.0,154940513.0,154940513.0,153707174.0,153707174.0
长期待摊费用,88653300.0,84560603.0,98029506.0,85414182.0,102862657.0,128613125.0,207164766.0,208495372.0,212825299.0,258995035.0,307408555.0,438811527.0,510271130.0,538654362.0,431039005.0,445196175.0,484425603.0,550875230.0,675941213.0,738515053.0
递延所得税资产,41167594.0,39032955.0,40138579.0,38483006.0,51957839.0,68271180.0,113359884.0,153070256.0,189317865.0,204648718.0,193403942.0,280595644.0,252461078.0,518504986.0,520610364.0,432928880.0,405970299.0,421037651.0,375065926.0,488197108.0
其他非流动资产,,,,,,,,,,,289450.0,1210710.0,842960.0,,,,,,,
非流动资产合计,5634418510.0,6967535136.0,7066750992.0,6177247929.0,6720051176.0,7224666140.0,8064522789.0,8636065158.0,10230660447.0,12295093783.0,14914822952.0,16697515944.0,18909299001.0,21051915972.0,19863987955.0,20101791850.0,21089591421.0,23094036203.0,26851098748.0,30716934852.0
资产总计,7594409745.0,9462174504.0,9333090890.0,9051301689.0,10566972326.0,12212187855.0,13041040852.0,14587083527.0,16875594048.0,24826971392.0,29865845423.0,31704009489.0,34490438670.0,38826279607.0,38423625184.0,44784893954.0,50767498791.0,56630407495.0,63254182536.0,70062354686.0
短期借款,1102635237.0,1506212321.0,1070840596.0,229668513.0,1094987188.0,2026254546.0,1146422756.0,1260578056.0,2640902907.0,2636462068.0,4255037518.0,5379161092.0,5567436870.0,8491599785.0,6165804499.0,5925550792.0,6076527372.0,5413589161.0,4588583967.0,7609694417.0
交易性金融负债,,,,,,706169.0,,8116370.0,1703200.0,925435.0,,23190469.0,,,,,,,,
衍生金融负债,,,,,,,,,,,,,3077741.0,3795000.0,795244.0,,,,,
应付票据,363798073.0,401363648.0,455482741.0,476344402.0,699735536.0,195542194.0,378102073.0,484474421.0,566620138.0,460160232.0,613982362.0,977677867.0,1164568692.0,860739543.0,1166210433.0,1623267716.0,2128399828.0,2825386573.0,3007490592.0,4199931921.0
应付账款,222836522.0,397393888.0,251992477.0,398190634.0,603773402.0,544080773.0,519144896.0,756232456.0,949506479.0,909111745.0,1300220344.0,1423419251.0,1300781289.0,1236580062.0,1299794957.0,1524955089.0,2025309794.0,2697600166.0,2795604397.0,3058700675.0
预收款项,21395901.0,26381243.0,63442917.0,29854879.0,24213507.0,20582399.0,18808004.0,19320935.0,35239412.0,33985494.0,21435585.0,18007856.0,,,,,,,,
合同负债,,,,,,,,,,,,,594503112.0,695400166.0,756282114.0,863737090.0,931585408.0,979067305.0,807312590.0,718192991.0
应付职工薪酬,23600151.0,64401424.0,59519176.0,131239770.0,171852589.0,161412587.0,187838046.0,242310871.0,295326345.0,353759783.0,420291759.0,439505286.0,483015711.0,473972041.0,489357281.0,530495062.0,660389674.0,816372688.0,972229163.0,1183628752.0
应交税费,-3277059.0,-26142902.0,-29972178.0,63790869.0,41230350.0,101668809.0,129625575.0,222380954.0,341606487.0,335339211.0,558062870.0,313192643.0,449716675.0,344357096.0,302321505.0,319532528.0,404719169.0,546430527.0,600754415.0,880791935.0
应付利息,6030234.0,8838604.0,10982395.0,2769651.0,1825796.0,21217934.0,20670966.0,19943210.0,35932586.0,22642760.0,15286048.0,29257043.0,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,
其他应付款,124982794.0,155831449.0,171286254.0,226453295.0,351004108.0,533636079.0,673707357.0,808667171.0,853442702.0,1087807096.0,1090612474.0,1039849135.0,1177199622.0,1555660964.0,1376997551.0,1496548775.0,1681942320.0,1622250140.0,2226134441.0,2078458743.0
持有待售负债,,,,,,,,,21686062.0,9551912.0,,,,,,,,,,
一年内到期的非流动负债,216700000.0,316200000.0,851000000.0,50000000.0,60000000.0,685800000.0,136330000.0,406000000.0,385000000.0,1234589400.0,808000000.0,8500000.0,1315823251.0,1123793163.0,270557753.0,1627919125.0,2145153663.0,202102553.0,2850055339.0,5232452147.0
其他流动负债,,,,1307028222.0,803046211.0,520133214.0,1843096703.0,1265119146.0,309723880.0,,608604575.0,,300984971.0,,303131507.0,806775458.0,1306346479.0,,140768878.0,604338794.0
流动负债合计,2078701853.0,2850479675.0,2904574378.0,2915340235.0,3851668687.0,4811034704.0,5053746376.0,5493143590.0,6436690198.0,7084335136.0,9691533535.0,9651760642.0,12357107934.0,14785897820.0,12131252844.0,14718781635.0,17360373707.0,15102799113.0,17988933782.0,25566190375.0
长期借款,2601200000.0,3085200000.0,3159000000.0,1741000000.0,832000000.0,722440000.0,480670000.0,518000000.0,813000000.0,848000000.0,776000000.0,1711000000.0,1246875075.0,1193000000.0,1985000000.0,1138940000.0,3007000000.0,8513100000.0,7212920000.0,3669044516.0
应付债券,,,,,,399474795.0,399500994.0,399528764.0,399558199.0,,797530999.0,798605414.0,,,1198784928.0,1198778297.0,,,,
租赁负债,,,,,,,,,,,,,,571281590.0,510511192.0,507683371.0,476982049.0,407132248.0,343739268.0,378561402.0
长期应付款,,,,,,,,,,,,,,72490512.0,75694702.0,69424385.0,64473498.0,59287444.0,53855052.0,48164622.0
专项应付款,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,34486563.0,5032790.0
递延收益,,,,,,,,,349967062.0,386986443.0,481827522.0,461594918.0,536834206.0,673448373.0,735789390.0,677682302.0,671049135.0,725121670.0,819351754.0,964817398.0
递延所得税负债,,,,,1382259.0,2361076.0,7934104.0,63149052.0,73755266.0,92583381.0,80407573.0,75790241.0,159748849.0,161079790.0,195684830.0,179499673.0,199322274.0,411644693.0,704771184.0,1094688074.0
其他非流动负债,,,,8478600.0,39776242.0,45212263.0,123936486.0,267514110.0,,,,,,,,,,,410555755.0,783695119.0
非流动负债合计,2601200000.0,3085200000.0,3159000000.0,1749478600.0,873158501.0,1169488134.0,1012041584.0,1248191926.0,1636280527.0,1327569824.0,2135766094.0,3046990573.0,1943458130.0,2671300265.0,4701465042.0,3772008028.0,4418826956.0,10116286055.0,9579679576.0,6944003921.0
负债合计,4679901853.0,5935679675.0,6063574378.0,4664818835.0,4724827188.0,5980522838.0,6065787960.0,6741335516.0,8072970725.0,8411904960.0,11827299629.0,12698751215.0,14300566064.0,17457198085.0,16832717886.0,18490789663.0,21779200663.0,25219085168.0,27568613358.0,32510194296.0
股本,1001493166.0,1001493166.0,2002986332.0,2002986332.0,2002986332.0,2002986332.0,2002986332.0,2002986332.0,2002986332.0,2508617532.0,2508617532.0,2508617532.0,2508617532.0,2508617532.0,2508617532.0,2609743532.0,2609743532.0,2609743532.0,2609743532.0,2609743532.0
资本公积,198814917.0,199326198.0,199326198.0,199326198.0,199327007.0,199327007.0,209827007.0,209827007.0,209827007.0,6228932452.0,6228753097.0,6224133097.0,6223078157.0,6223078157.0,6222912435.0,9700750924.0,9700750924.0,9700750924.0,9700750924.0,9700750924.0
库存股,,,,,,,,,,,,,,,,,,,,
其他综合收益,19139634.0,23867538.0,21583301.0,20520443.0,29319194.0,47934352.0,53901230.0,8772891.0,-253814797.0,-271367181.0,91038123.0,-204408762.0,-41473936.0,121015957.0,-373980332.0,-430305845.0,120835879.0,176931220.0,339806293.0,-64091453.0
专项储备,,,,,,,,,,,,,,,,,,,,
盈余公积,239334225.0,296282445.0,406481096.0,440485348.0,570617968.0,670807200.0,774401477.0,909517516.0,1102137808.0,1343078789.0,1634319463.0,1912914559.0,2350361581.0,2688959735.0,2931419311.0,3180340261.0,3581885299.0,3931592517.0,4418068403.0,5020531741.0
未分配利润,1455725950.0,2005525482.0,639139585.0,1723164533.0,3039894637.0,3310610126.0,3930592142.0,4711531420.0,5737166896.0,6599365793.0,7570889309.0,8559579107.0,9150322858.0,9828694828.0,10305548562.0,11245487054.0,12989794025.0,15007163446.0,18625997091.0,20289530367.0
归母权益合计,2914507892.0,3526494829.0,3269516512.0,4386482854.0,5842145138.0,6231665017.0,6971708188.0,7842635166.0,8798303246.0,16408627385.0,18033617524.0,19000835533.0,20190906192.0,21370366209.0,21594517508.0,26306015926.0,29003009659.0,31426181639.0,35694366243.0,37556465111.0
少数股东权益,,,,,,,3544704.0,3112845.0,4320077.0,6439047.0,4928270.0,4422741.0,-1033586.0,-1284687.0,-3610210.0,-11911635.0,-14711531.0,-14859312.0,-8797065.0,-4304721.0
所有者权益合计,2914507892.0,3526494829.0,3269516512.0,4386482854.0,5842145138.0,6231665017.0,6975252892.0,7845748011.0,8802623323.0,16415066432.0,18038545794.0,19005258274.0,20189872606.0,21369081522.0,21590907298.0,26294104291.0,28988298128.0,31411322327.0,35685569178.0,37552160390.0
