# 单位: 百万美元 | 存货=财年末时点，折旧摊销/资本开支=财年全年 | as-reported | 行名前缀标指标，后缀标分部
分部,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024,FY2025,FY2026
存货·合计 Total,,,,,,,,,,,,,,,,,7489,7501
存货·NIKE品牌合计 NIKE Brand,,,,,,,,,,,,,,,,,7244,7496
存货·北美 North America,,,,,,,,,,,,,,,,,3198,3320
存货·EMEA 欧洲中东非洲,,,,,,,,,,,,,,,,,2042,2253
存货·大中华 Greater China,,,,,,,,,,,,,,,,,951,793
存货·亚太拉美 Asia Pacific & Latin America,,,,,,,,,,,,,,,,,905,964
存货·全球品牌部门 Global Brand Divisions,,,,,,,,,,,,,,,,,148,166
存货·Converse,,,,,,,,,,,,,,,,,272,171
存货·公司总部 Corporate,,,,,,,,,,,,,,,,,-27,-166
折旧摊销·合计 Total,335,324,335,373,,,606,649,706,747,705,721,744,717,703,796,775,747
折旧摊销·NIKE品牌合计 NIKE Brand,209,208,220,262,,,513,538,587,604,558,584,577,561,555,641,636,627
折旧摊销·北美 North America,64,65,70,78,,,121,133,140,160,149,148,130,124,128,152,157,145
折旧摊销·西欧 Western Europe,51,57,52,62,,,75,72,91,,,,,,,,,
折旧摊销·中东欧 Central & Eastern Europe,4,4,4,6,,,12,12,13,,,,,,,,,
折旧摊销·EMEA 欧洲中东非洲,,,,,,,,,,116,111,132,136,134,120,146,143,153
折旧摊销·大中华 Greater China,7,11,19,25,,,46,48,54,56,50,44,46,41,54,56,49,44
折旧摊销·日本 Japan,30,26,22,23,,,22,18,18,,,,,,,,,
折旧摊销·新兴市场 Emerging Markets,10,12,14,15,,,27,25,38,,,,,,,,,
折旧摊销·亚太拉美 Asia Pacific & Latin America,,,,,,,,,,55,53,46,43,42,42,51,50,54
折旧摊销·全球品牌部门 Global Brand Divisions,43,33,39,53,,,210,230,233,217,195,214,222,220,211,236,237,231
折旧摊销·其他业务(FY2011-2014) Other Businesses,38,46,44,45,,,,,,,,,,,,,,
折旧摊销·Converse,,,,,,,18,27,28,33,31,25,26,22,17,17,14,8
折旧摊销·公司总部 Corporate,88,70,71,66,,,75,84,91,110,116,112,141,134,131,138,125,112
资本开支·合计 Total,456,335,432,597,,,,,,,,,,,,,,
资本开支·NIKE品牌合计 NIKE Brand,294,241,276,454,,,,,,,,,,,,,,
资本开支·北美 North America,99,45,79,131,,,,,,,,,,,,,,
资本开支·西欧 Western Europe,70,59,75,93,,,,,,,,,,,,,,
资本开支·中东欧 Central & Eastern Europe,7,4,5,20,,,,,,,,,,,,,,
资本开支·大中华 Greater China,59,80,43,38,,,,,,,,,,,,,,
资本开支·日本 Japan,10,12,9,14,,,,,,,,,,,,,,
资本开支·新兴市场 Emerging Markets,12,11,21,27,,,,,,,,,,,,,,
资本开支·全球品牌部门 Global Brand Divisions,37,30,44,131,,,,,,,,,,,,,,
资本开支·其他业务(FY2011-2014) Other Businesses,90,52,38,34,,,,,,,,,,,,,,
资本开支·公司总部 Corporate,72,42,118,109,,,,,,,,,,,,,,
