# 单位: 百万美元 | 分部利润口径 = EBIT(税息前利润)，NIKE 不披露分部净利 | 「全球品牌部门」与「公司总部」为**净成本中心**故常年为负 | as-reported | 地区口径断点同 分部营收.csv
分部,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024,FY2025,FY2026
合计 Total,1947,2523,2848,2986,3269,3577,4233,4642,4945,4379,4850,,,,,,,
NIKE品牌合计 NIKE Brand,3095,3118,3285,3561,3990,4090,4817,5328,5192,5525,6357,,,,,,5740,5855
北美 North America,1429,1538,1750,2007,2534,3075,3645,3763,3875,3600,3925,2899,5089,5114,5454,5822,4735,5376
西欧 Western Europe,939,856,721,597,640,855,1277,1434,1203,,,,,,,,,
中东欧 Central & Eastern Europe,394,253,233,234,259,279,247,289,244,,,,,,,,,
EMEA 欧洲中东非洲,,,,,,,,,,1587,1995,1541,2435,3293,3531,3388,2575,2417
大中华 Greater China,575,637,777,911,809,816,993,1372,1507,1807,2376,2490,3243,2365,2283,2309,1602,1278
日本 Japan,205,180,114,136,133,131,100,174,224,,,,,,,,,
新兴市场 Emerging Markets,364,521,688,853,1011,955,818,892,816,,,,,,,,,
亚太拉美 Asia Pacific & Latin America,,,,,,,,,,1189,1323,1184,1530,1896,1932,1885,1527,1387
全球品牌部门 Global Brand Divisions,-811,-867,-998,-1177,-1396,-2021,-2263,-2596,-2677,-2658,-3262,-3468,-3656,-4262,-4841,-4720,-4699,-4603
其他业务(FY2011-2014) Other Businesses,-193,299,334,341,456,,,,,,,,,,,,,
Converse,,,,,,496,517,487,477,310,303,297,543,669,676,474,240,18
公司总部 Corporate,-955,-894,-771,-916,-1177,-1009,-1101,-1173,-724,-1456,-1810,-1967,-2261,-2219,-2840,-2619,-2202,-2023
