# 单位: 百万美元 | 🔴 **老口径**: 美国 / 欧洲(FY2002 起改称 EMEA) / 亚太 / 美洲 / 其他品牌 —— 与 分部营收.csv 的 FY2011 起口径(6 区或 4 区)**不是一回事，不可拼接**。利润口径 FY1998-2001 叫 Contribution Profit、FY2002-2009 叫 Pre-tax Income(均为税前、已扣总部费用前) | FY2010 的分部附注未解析到(R 轨已覆盖 FY2009-2010，见 分部营收.csv) | as-reported
分部,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010
营收·美国 United States,5201.6,5139.4,4723.7,4732.1,4819,4916,4658.4,4793.7,5129.3,5722.5,6107.1,6378,6542.9,
营收·欧洲/EMEA Europe (FY2002起含中东非洲),1789.8,2096.1,2255.8,2350.9,2584.8,2731.5,3241.7,3834.4,4281.6,4326.6,4723.3,5620.4,5512.2,
营收·亚太 Asia Pacific,1241.9,1253.9,844.5,955.1,1110,1211.7,1358.8,1613.4,1897.3,2053.8,2283.4,2881.7,3322,
营收·美洲(除美国) Americas,449.2,599,507.1,550.2,539.1,568.1,527,624.8,695.8,904.9,952.5,1154.1,1284.7,
营收·其他品牌 Other brands,504,464.7,445.8,406.8,435.9,465.7,911.1,1386.8,1735.7,1947.1,2259.6,2592.8,2514.3,
利润·美国 United States,1411.7,978.8,882.3,949.8,919.6,977.6,957.5,1015.1,1125.8,1244.5,1300.3,1391.9,1337.9,
利润·欧洲/EMEA Europe (FY2002起含中东非洲),254.5,281.2,338.4,410.6,386.3,445.4,533,750.7,917.5,960.7,1000.7,1266.2,1316.9,
利润·亚太 Asia Pacific,227.4,-26.8,78.8,156,206.1,238.7,295,354.9,399.8,412.5,483.7,692.6,853.4,
利润·美洲(除美国) Americas,74.3,110.6,57.6,75.8,81.6,92.9,96.3,101.9,117.6,172.6,187.4,239.3,274.1,
利润·其他品牌 Other brands,34.7,-13.1,22.4,74.5,41.4,20,18.9,75.3,153.9,151.6,303.7,336.4,,
利润·公司总部 Corporate,-655.1,-617.7,-589.3,-702.5,-713.6,-757.3,-777.7,-847.9,-854.8,-800.3,-1075.9,-1423.5,,
资本开支·美国 United States,,,48.5,29,45.2,33.4,27.1,29.9,54.8,59.8,67.3,138.4,95.2,
资本开支·欧洲/EMEA Europe (FY2002起含中东非洲),90,121,87.7,46.1,26.2,27.2,29.2,28.9,38.8,73.6,94.9,69,77.7,
资本开支·亚太 Asia Pacific,69.7,103.5,43.7,269.7,52.9,22.1,26.2,19.9,22,16.8,20.7,42.4,74.8,
资本开支·美洲(除美国) Americas,6.4,12.6,12.5,4.8,5.1,4.8,3.5,5.8,6.8,6.9,5.3,8.6,8.7,
资本开支·其他品牌 Other brands,33.4,22,30,32.4,26.3,76.3,23.7,25.2,31.3,33.2,36,61.5,89.6,
资本开支·公司总部 Corporate,,,161.7,146.8,161.9,115.2,76.2,104.2,103.4,143.4,89.3,129.3,109.7,
折旧·美国 United States,,,22.8,50.8,51.2,51.2,49.9,49,49,68.8,45.4,49.2,61.4,
折旧·欧洲/EMEA Europe (FY2002起含中东非洲),,,41,39.9,38.9,35.2,38.9,43.6,45.2,46.9,47.4,64.8,55.4,
折旧·亚太 Asia Pacific,,,20.8,19.4,20.5,38.4,38.5,38.5,28.3,28.4,25.2,31.1,43.6,
折旧·美洲(除美国) Americas,,,6.4,7.1,6.3,5.3,4.5,3.9,4,6.4,6.1,6.7,6.5,
折旧·其他品牌 Other brands,,,33.9,23.7,23.5,22.4,25.4,22.2,28.5,29,28.2,28.1,37.5,
折旧·公司总部 Corporate,,,73.3,47.1,57,71,82.1,94.9,102.2,102.5,117.4,123.7,130.6,
