# 单位: 百万美元 | 财年截至 5 月 31 日 | as-reported | 🔴 地区口径 FY2018 起从 6 区并成 4 区(西欧+中东欧→EMEA、日本+新兴市场→亚太拉美)，FY2017 与 FY2018 之间不可直接连 | 非 NIKE 品牌 FY2011-2014 叫「其他业务」(含 Cole Haan/Umbro/Hurley)、FY2015 起才是纯 Converse | 空=该年该口径不存在
分部,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024,FY2025,FY2026
合计 Total,19176,19014,20862,24128,25313,27799,30601,32376,34350,36397,39117,37403,44538,46710,51217,51362,46309,46398
NIKE品牌合计 NIKE Brand,16757,16509,18104,21072,22881,26112,28701,30507,32233,34485,37218,35568,42293,44436,48763,49322,44714,45222
北美 North America,6778,6696,7578,8839,10387,12299,13740,14764,15216,14855,15902,14484,17179,18353,21608,21396,19572,20511
西欧 Western Europe,4139,3892,3810,4144,4128,4979,5709,5884,6211,,,,,,,,,
中东欧 Central & Eastern Europe,1247,993,1031,1200,1287,1387,1417,1431,1487,,,,,,,,,
EMEA 欧洲中东非洲,,,,,,,,,,9242,9812,9347,11456,12479,13418,13607,12257,12572
大中华 Greater China,1743,1742,2060,2539,2453,2602,3067,3785,4237,5134,6208,6679,8290,7547,7248,7545,6586,5847
日本 Japan,926,882,766,829,791,771,755,869,1014,,,,,,,,,
新兴市场 Emerging Markets,1828,2199,2736,3410,3718,3949,3898,3701,3995,,,,,,,,,
亚太拉美 Asia Pacific & Latin America,,,,,,,,,,5166,5254,5028,5343,5955,6431,6729,6251,6243
全球品牌部门 Global Brand Divisions,96,105,123,111,117,125,115,73,73,88,42,30,25,102,58,45,48,49
其他业务(FY2011-2014) Other Businesses,2419,2530,2747,3095,2500,,,,,,,,,,,,,
Converse,,,,,,1684,1982,1955,2042,1886,1906,1846,2205,2346,2427,2082,1692,1174
公司总部 Corporate,,-25,11,-39,-68,3,-82,-86,75,26,-7,-11,40,-72,27,-42,-97,2
