# 单位: 百万美元(US$ mn)，EPS 为美元/股、股数为百万股 | 财年截至 5 月 31 日 | as-reported(各财年取自家 10-K 当年列) | 费用为正 | EPS/股数是该次申报的拆股基准、不可跨年直接比(见 财务比率.csv 拆股归一列) | 空=该期财报无此科目
科目,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024,FY2025,FY2026
数据来源,L1995比较列,L1995比较列,L1995自身,L1996自身,L1997自身,L1998自身,L1999自身,L2000自身,L2001自身,L2002自身,L2003自身,L2004自身,L2005自身,L2006自身,L2007自身,L2008自身,L2009自身,L2010自身,R2011自身,R2012自身,R2013自身,R2014自身,R2015自身,R2016自身,R2017自身,R2018自身,R2019自身,R2020自身,R2021自身,R2022自身,R2023自身,R2024自身,R2025自身,R2026自身
营业收入 Revenues,3931,3789.7,4760.8,6470.6,9186.5,9553.1,8776.9,8995.1,9488.8,9893,10697,12253.1,13739.7,14954.9,16325.9,18627,19176.1,19014,20862,24128,25313,27799,30601,32376,34350,36397,39117,37403,44538,46710,51217,51362,46309,46398
营业成本 Cost of sales,2387,2301.4,2865.3,3906.7,5503,6065.5,5493.5,5403.8,5784.9,6004.7,6313.6,7001.4,7624.3,8367.9,9165.4,10239.6,10571.7,10213.6,11354,13657,14279,15353,16534,17405,19038,20441,21643,21162,24576,25231,28925,28475,26519,26487
毛利 Gross profit,,,,,,,,,,,4383.4,5251.7,6115.4,6587,7160.5,8387.4,8604.4,8800.4,9508,10471,11034,12446,14067,14971,15312,15956,17474,16241,19962,21479,22292,22887,19790,19911
  需求创造费用 Demand creation expense,,,,,,,,,,,,,,,,,,,2448,2711,2745,3031,3213,3278,3341,3577,3753,3592,3114,3850,4060,4285,4689,4754
  运营管理费用 Operating overhead expense,,,,,,,,,,,,,,,,,,,4245,4720,5035,5735,6679,7191,7222,7934,8949,9534,9911,10954,12317,12291,11399,11360
销售及管理费用合计 Total selling and administrative expense,922.3,974.1,1209.8,1588.6,2303.7,2623.8,2426.6,2606.4,2689.7,2820.4,3137.6,3702,4221.7,4477.8,5028.7,5953.7,6149.6,6326.4,6693,7431,7780,8766,9892,10469,10563,11511,12702,13126,13025,14804,16377,16576,16088,16114
总成本及费用(仅FY1995-2001版式) Total costs and expenses,3336.5,3299.1,4111,5571.5,7891.3,8900.1,8030.8,8075.9,8567.4,8875.7,,,,,,,,,,,,,,,,,,,,,,,,
重组费用 Restructuring charges,,,,,,129.9,45.1,-2.5,,,,,,,,,195,,,,,,,,,,,,,,,,,
商誉减值 Goodwill impairment,,,,,,,,,,,,,,,,,199.3,,,,,,,,,,,,,,,,,
