# 单位: 比率为倍数(1=100%)、天数为天、金额为百万美元、EPS 为美元/股；空 = 所需分项该年不可得。**全部为派生值**，年报不直接给。
# 分母口径写在行名里。ROE/ROA 用期初期末平均净资产/总资产，故 FY1993(无期初数)为空。EBIT 为派生(税前+利息费用净额)，与分部表里 NIKE 自己披露的 EBIT 口径一致但不逐年等同。
# 🔴【复权】三行已按本库自证的拆股链折算到 FY2026 股本口径，跨年比每股数据请用这三行，**不要用 利润表.csv 的 as-reported EPS/股数**。
科目,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024,FY2025,FY2026
毛利(派生·FY2002前财报未印此行) Gross profit(mn),1544.0,1488.3,1895.5,2563.9,3683.5,3487.6,3283.4,3591.3,3703.9,3888.3,4383.4,5251.7,6115.4,6587.0,7160.5,8387.4,8604.4,8800.4,9508.0,10471.0,11034.0,12446.0,14067.0,14971.0,15312.0,15956.0,17474.0,16241.0,19962.0,21479.0,22292.0,22887.0,19790.0,19911.0
毛利率 Gross margin,0.3928,0.3927,0.3981,0.3962,0.401,0.3651,0.3741,0.3993,0.3903,0.393,0.4098,0.4286,0.4451,0.4405,0.4386,0.4503,0.4487,0.4628,0.4558,0.434,0.4359,0.4477,0.4597,0.4624,0.4458,0.4384,0.4467,0.4342,0.4482,0.4598,0.4352,0.4456,0.4273,0.4291
需求创造(营销)费用率 Demand creation / revenue,,,,,,,,,,,,,,,,,,,0.1173,0.1124,0.1084,0.109,0.105,0.1012,0.0973,0.0983,0.0959,0.096,0.0699,0.0824,0.0793,0.0834,0.1013,0.1025
运营管理费用率 Operating overhead / revenue,,,,,,,,,,,,,,,,,,,0.2035,0.1956,0.1989,0.2063,0.2183,0.2221,0.2102,0.218,0.2288,0.2549,0.2225,0.2345,0.2405,0.2393,0.2462,0.2448
销售及管理费用率 SG&A / revenue,0.2346,0.257,0.2541,0.2455,0.2508,0.2747,0.2765,0.2898,0.2835,0.2851,0.2933,0.3021,0.3073,0.2994,0.308,0.3196,0.3207,0.3327,0.3208,0.308,0.3074,0.3153,0.3233,0.3234,0.3075,0.3163,0.3247,0.3509,0.2924,0.3169,0.3198,0.3227,0.3474,0.3473
EBIT(派生=税前+利息费用净额) EBIT(mn),620.2,505.9,674.1,938.6,1347.5,713.0,790.2,964.2,980.1,1064.9,1165.9,1475.0,1864.6,2104.8,2132.7,2425.8,1947.0,2523.2,2848.0,2986.0,3269.0,3577.0,4233.0,4642.0,4945.0,4379.0,4850.0,2976.0,6923.0,6856.0,6195.0,6539.0,3778.0,3850.0
EBIT利润率 EBIT margin,0.1578,0.1335,0.1416,0.1451,0.1467,0.0746,0.09,0.1072,0.1033,0.1076,0.109,0.1204,0.1357,0.1407,0.1306,0.1302,0.1015,0.1327,0.1365,0.1238,0.1291,0.1287,0.1383,0.1434,0.144,0.1203,0.124,0.0796,0.1554,0.1468,0.121,0.1273,0.0816,0.083
净利率 Net margin,0.0929,0.0788,0.084,0.0855,0.0866,0.0418,0.0514,0.0644,0.0621,0.067,0.0443,0.0772,0.0882,0.0931,0.0914,0.1011,0.0775,0.1003,0.1022,0.0921,0.0982,0.0969,0.107,0.1161,0.1234,0.0531,0.103,0.0679,0.1286,0.1294,0.099,0.111,0.0695,0.067
实际所得税率 Effective tax rate,0.386,0.3909,0.385,0.3847,0.3856,0.3881,0.395,0.37,0.36,0.3431,0.341,0.3479,0.3485,0.35,0.322,0.2475,0.2401,0.2424,0.25,0.2548,0.2469,0.2401,0.2216,0.1867,0.1322,0.5531,0.1608,0.1205,0.1402,0.091,0.1824,0.1493,0.1714,0.2031
ROE(净利/平均净资产) Return on equity,,,0.2157,0.2517,0.2849,0.1245,0.1369,0.179,0.1779,0.1809,0.1211,0.2156,0.2324,0.2334,0.2241,0.2536,0.18,0.2067,0.2177,0.2198,0.2308,0.245,0.2782,0.3012,0.3438,0.174,0.4274,0.297,0.5501,0.4311,0.3463,0.4009,0.2329,0.2214
ROA(净利/平均总资产) Return on assets,,,0.1449,0.156,0.1709,0.0743,0.0848,0.1043,0.101,0.1082,0.0721,0.1295,0.1452,0.1492,0.1451,0.1628,0.1157,0.1378,0.145,0.1459,0.1504,0.1489,0.1629,0.1749,0.1899,0.0844,0.1742,0.0922,0.1658,0.1549,0.1302,0.1507,0.0862,0.0829
现金含量 经营现金流/净利,0.7268,1.9294,0.6377,0.5965,0.406,1.295,2.1289,1.3122,1.1133,1.6305,1.9354,1.6015,1.2964,1.1982,1.2596,1.0281,1.1678,1.6595,0.8495,0.8543,1.2181,1.1151,1.4299,0.8234,0.8585,2.5634,1.4651,0.9787,1.1624,0.8581,1.1521,1.3033,1.1488,0.9228
capex/净利 Capex / net income,0.2658,0.3189,0.3855,0.3912,0.5854,1.266,0.8509,0.7251,0.5386,0.4264,0.3922,0.2262,0.2122,0.2397,0.2102,0.2385,0.3065,0.1757,0.2025,0.2686,0.2559,0.3268,0.2942,0.304,0.2606,0.5318,0.2777,0.4277,0.1214,0.1254,0.1911,0.1425,0.1336,0.2201
