# 单位: 百万美元(比率为%) | 来源 = 各年 10-K 的「Selected Financial Data」八年摘要表 | 🔴 **FY1988-FY1992 是本库这 5 年的唯一数据源** —— EDGAR 上 NIKE 最早的申报是 1995-01-17 的 10-Q，那 5 年没有自家 10-K、三表也捎不回来 | FY1993 起的年份与 利润表.csv / 资产负债表.csv 重叠，已做交叉核(S8) | ⚠️ 不收股价行(老版式印 `80-5/8` 分数报价，数值解析必错)
分部,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998
营业收入 Revenues,1203.44,1710.8,2235.24,3003.61,3405.21,3930.98,3789.67,4760.83,6470.62,9186.54,9553.1
毛利 Gross margin,400.06,635.972,851.072,1153.08,1316.12,1543.99,1488.25,1895.55,2563.88,3683.55,3487.6
毛利率% Gross margin %,33.2,37.2,38.1,38.4,38.7,39.3,39.3,39.8,39.6,40.1,36.5
净利润 Net income,101.695,167.047,242.958,287.046,329.218,365.016,298.794,399.664,553.19,795.822,399.6
经营现金流 Cash flow from operations,19.019,169.441,127.075,11.122,435.838,265.292,576.463,254.913,339.672,323.12,517.5
货币资金 Cash and equivalents,75.357,85.749,90.449,119.804,260.05,291.284,518.816,216.071,262.117,445.421,108.6
存货 Inventories,198.47,222.924,309.476,586.594,471.202,592.986,470.023,629.742,931.151,1338.64,1396.6
营运资本 Working capital,295.937,419.599,561.642,662.645,964.291,1165.2,1208.44,938.393,1259.88,1964,1828.8
总资产 Total assets,707.901,824.216,1093.36,1707.24,1871.67,2186.27,2373.82,3142.74,3951.63,5361.21,5397.4
长期债务 Long-term debt,30.306,34.051,25.941,29.992,69.476,15.033,12.364,10.565,9.584,296.02,379.4
股东权益 Common shareholders' equity,408.567,558.597,781.012,1029.58,1328.49,1642.82,1740.95,1964.69,2431.4,3155.84,3261.6
地区营收·美国 United States,900.417,1362.15,1755.5,2141.46,2270.88,2528.85,2432.68,2997.86,3964.66,5529.13,5452.5
地区营收·欧洲 Europe,233.402,241.38,334.275,664.747,919.763,1085.68,927.269,980.444,1334.34,1833.72,2143.7
地区营收·亚太 Asia/Pacific,21.058,32.027,29.332,56.238,75.732,178.196,283.421,515.652,735.094,1245.22,1255.7
地区营收·加拿大拉美及其他,48.563,75.248,116.141,141.164,138.836,138.257,146.294,266.874,436.529,578.468,701.2

# 各财年取自哪一份 10-K 的摘要表：
财年,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998
来源申报,FY199610-K,FY199610-K,FY199610-K,FY199610-K,FY199610-K,FY199610-K,FY199610-K,FY199610-K,FY199610-K,FY199710-K,FY199810-K
