"# 单位: 人民币百万元, 费用/流出=负数; EPS为元/股, 回购为港元。真源: report/腾讯控股/腾讯控股-2026-Q2.pdf(截至2026-06-30止三个月及六个月业绩公布·2026-08-12披露·核数师ISRE2410审阅未经审计); Q1 2026列已核对2026-Q1公告一致、H1 2025列已核对2025-Q2公告一致(零重述)、2025-12-31经审核列已与年度资产负债表.csv逐项断言一致。中期数据不并入年度序列(年度CSV覆盖2001-2025)。勾稽校验见 _build_interim_2026.py(全部通过才写出); 完整中期报告(H1)刊发后如有差异以其为准。"

【利润表·中期】,Q2 2025,Q1 2026,Q2 2026,H1 2025,H1 2026
收入-增值服务,91368,,98414,183501,194524
收入-营销服务,35762,,43565,67615,81736
收入-金融科技及企业服务,55536,,60286,110443,120171
收入-其他,1838,,2520,2967,4812
收入合计,184504,196458,204785,364526,401243
收入成本,-79491,-85193,-86352,-159020,-171545
毛利,105013,111265,118433,205506,229698
销售及市场推广开支,-9410,-11343,-11869,-17276,-23212
一般及行政开支,-31921,-33800,-38808,-65585,-72608
其他收益/(亏损)净额,-3578,1253,-480,-4975,773
经营盈利,60104,67375,67276,117670,134651
投资收益/(亏损)净额及其他,2638,1928,11184,4045,13112
利息收入,4121,4025,4202,7869,8227
财务成本,-3941,-2979,-2979,-7801,-5958
分占联营公司及合营公司盈利/(亏损)净额,4473,3620,-9993,9054,-6373
除税前盈利,67395,73969,69690,130837,143659
所得税开支,-11351,-14577,-11713,-25068,-26290
期内盈利,56044,59392,57977,105769,117369
归母(本公司权益持有人应占),55628,58093,56022,103449,114115
非控制性权益应占,416,1299,1955,2320,3254
每股基本盈利(元),6.115,6.431,6.207,11.367,12.639
每股摊薄盈利(元),5.996,6.302,6.104,11.126,12.417
Non-IFRS经营盈利,69248,75627,75636,138568,151263
Non-IFRS归母,63052,67905,68415,124381,136320
Non-IFRS每股基本盈利(元),6.931,7.517,7.581,13.667,15.098
Non-IFRS每股摊薄盈利(元),6.793,7.364,7.433,13.377,14.799
加权平均股数-基本(百万股),9097,,9025,9101,9029
加权平均股数-摊薄(百万股),9247,,9153,9253,9163

【全面收益表·中期】,Q2 2025,Q2 2026,H1 2025,H1 2026
期内盈利,56044,57977,105769,117369
其他全面收益(除税净额)合计,70900,1885,100999,-81507
其中:FVOCI公允价值变动(不重分类),67681,15355,94042,-50763
其中:外币折算差额(两项合计),3555,-13821,6219,-30591
期内全面收益总额,126944,59862,206768,35862
全面收益-归母,122756,58716,198614,36040
全面收益-非控,4188,1146,8154,-178

【分部收入·中期】,Q2 2025,Q2 2026,H1 2025,H1 2026
收入-增值服务,91368,98414,183501,194524
收入-营销服务,35762,43565,67615,81736
收入-金融科技及企业服务,55536,60286,110443,120171
收入-其他,1838,2520,2967,4812
收入-合计,184504,204785,364526,401243
毛利-增值服务,55223,62926,110134,123053
毛利-营销服务,20585,24969,38279,45959
毛利-金融科技及企业服务,28952,31422,56549,62598
毛利-其他,253,-884,544,-1912
毛利-合计,105013,118433,205506,229698
收入成本内折旧-增值服务,1451,1647,2768,3162
收入成本内折旧-营销服务,2112,2228,3812,4242
收入成本内折旧-金融科技及企业服务,1705,2455,3520,4620
收入成本内折旧-其他,8,949,19,1909
收入成本内折旧-合计,5276,7279,10119,13933
收入成本内摊销-增值服务,4439,3611,9162,8171
收入成本内摊销-营销服务,2230,1861,4479,3969
收入成本内摊销-金融科技及企业服务,35,34,70,69
收入成本内摊销-其他,649,471,957,1120
收入成本内摊销-合计,7353,5977,14668,13329

【资产负债表】,2025-12-31(经审核),2026-06-30(未经审核)
物业、设备及器材,149905,198909
土地使用权,22339,21961
使用权资产,17367,17724
在建工程,9670,7089
投资物业,950,965
无形资产,205999,206064
于联营公司的投资,342409,323674
于合营公司的投资,6303,6232
FVPL金融资产(非流动),207157,219882
FVOCI金融资产(非流动),356640,315581
预付款项、按金及其他资产(非流动),24540,91203
其他金融资产(非流动),1327,2409
递延所得税资产,28618,31553
定期存款(非流动),70302,52724
非流动资产合计,1443526,1495970
存货,530,685
应收账款,49930,55606
预付款项、按金及其他资产(流动),111270,137449
其他金融资产(流动),4201,3051
FVPL金融资产(流动),35929,28041
FVOCI金融资产(流动),8781,9658
定期存款(流动),236801,214275
受限制现金,6977,7729
现金及现金等价物,141041,206930
流动资产合计,595460,663424
资产总额,2038986,2159394
股本,0,0
股本溢价,63796,73692
库存股,-3450,-2180
股份奖励计划所持股份,-7124,-8315
其他储备,90494,5893
保留盈利,1010436,1066763
归母权益合计,1154152,1135853
非控制性权益,86913,86660
权益总额,1241065,1222513
借款(非流动),208369,212650
应付票据(非流动),126204,154021
长期应付款项,10544,12252
其他金融负债(非流动),2879,4403
递延所得税负债,21684,22581
租赁负债(非流动),13280,13366
递延收入(非流动),2210,2127
非流动负债合计,385170,421400
应付账款,121127,175579
其他应付款项及预提费用,96496,88586
借款(流动),42618,86292
应付票据(流动),10542,0
流动所得税负债,18558,16878
其他税项负债,3723,4324
其他金融负债(流动),3992,4647
租赁负债(流动),5386,5499
递延收入(流动),110309,133676
流动负债合计,412751,515481
负债总额,797921,936881
权益及负债总额,2038986,2159394

【现金流量表·半年】,H1 2025,H1 2026
经营活动所得现金流量净额,151265,154061
投资活动耗用现金流量净额,-72407,-74724
融资活动耗用现金流量净额,-30111,-9469
现金及现金等价物增加净额,48747,69868
期初的现金及现金等价物,132519,141041
现金及现金等价物的汇兑(亏损)/收益,791,-3979
期末的现金及现金等价物,182057,206930

【其他财务资料·中期】,Q2 2025,Q1 2026,Q2 2026,H1 2025,H1 2026
EBITDA,79467,84167,85776,153284,169943
经调整EBITDA,85122,89617,91372,166681,180989
利息及相关开支,3541,3134,3212,6927,6346
现金净额(期末),74592,146860,58191,74592,58191
资本开支,19107,31936,52784,46583,84720
EBITDA调节-其他(收益)/亏损净额(不含折摊),3578,-1312,442,4975,-870
EBITDA调节-物业设备器材及投资物业折旧,6076,8334,9553,11371,17887
EBITDA调节-使用权资产折旧,1575,1567,1608,3070,3175
EBITDA调节-无形资产及土地使用权摊销,8134,8203,6897,16198,15100
EBITDA调节-按权益结算股份酬金,5655,5450,5596,13397,11046
Non-IFRS分占联营合营盈利,6348,7123,6359,13988,13482

【净现金构成】,2026-03-31,2026-06-30
现金及现金等价物,217770,206930
定期存款及其他(含资金管理用高流动性理财),315895,304224
借款,-258995,-298942
应付票据,-127810,-154021
现金净额,146860,58191

【按性质划分的开支·中期】,Q2 2025,Q2 2026,H1 2025,H1 2026
交易成本,33057,34090,67080,69743
雇员福利开支,30899,32105,64979,64518
内容成本(不含无形摊销),16803,19045,32939,36067
技术基础设施运营成本(不含折旧),7546,15212,14268,25862
物业设备器材/投资物业/使用权资产折旧,7651,11161,14441,21062
推广及广告费,6693,9191,11783,17907
无形资产摊销,8092,6826,16120,14964
研发开支(注3b),20251,27278,39161,49820
股份酬金开支(注3b·费用口径),7361,6579,17461,13113
媒体内容摊销(注3c),7410,6075,14782,13477
收购产生的无形资产摊销(注3c),1614,1602,3129,3180

【投资收益净额及其他拆解·中期】,Q2 2025,Q2 2026,H1 2025,H1 2026
