"# 单位: 人民币百万元(2001-2012 財报原单位为千元,已÷1000;2013 起财报原单位即百万)。来源: 招股说明书会计师报告(2001-2003)+上市至今全部年报(2004-2025)逐行解析,见 _extract/*.json 与 _build_from_pdf.py。空格 = 该年无此科目。 每股数据不入本表(见年报)。"
科目,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
营业收入,49.076,263.107,734.957,1143.533,1426.395,2800.441,3820.923,7154.544,12439.96,19646.031,28496.072,43893.711,60437,78932,102863,151938,237760,312694,377289,482064,560118,554552,609015,660257,751766
营业成本,-18.044,-71.674,-229.548,-416.216,-469.869,-817.062,-1117.557,-2170.421,-3889.468,-6320.2,-9928.308,-18207.36,-27778,-30873,-41631,-67439,-120835,-170574,-209756,-260532,-314174,-315806,-315906,-311011,-329173
毛利,31.032,191.433,505.409,727.317,956.526,1983.379,2703.366,4984.123,8550.492,13325.831,18567.764,25686.351,32659,48059,61232,84499,116925,142120,167533,221532,245944,238746,293109,349246,422593
利息收入,,,,,,,,,136.014,255.922,468.99,835.671,1314,1676,2327,2619,3940,4569,6314,6957,6650,8592,13808,16004,16909
其他收益净额,-0.082,-0.242,-1.226,11.039,73.145,83.195,69.212,112.205,-58.213,38.056,420.803,-283.9,904,2759,1886,3594,20140,16714,19689,57131,149467,124293,4701,8002,-3177
投资收益净额及其他,,,,,,,,,,,,,,,,,,,,,,,-6090,4187,10168
销售及市场推广开支,-4.312,-19.437,-55.967,-108.482,-197.627,-293.247,-297.439,-518.147,-581.468,-945.37,-1920.853,-2993.437,-5695,-7797,-7993,-12136,-17652,-24233,-21396,-33758,-40594,-29229,-34211,-36388,-41727
一般及行政开支,-16.297,-28.86,-112.011,-170.05,-347.685,-610.022,-840.113,-1332.207,-2026.347,-2836.226,-5283.154,-7765.272,-9988,-14155,-16825,-22459,-33051,-41522,-53446,-67625,-89847,-106696,-103525,-112761,-136127
经营盈利,10.341,142.894,336.205,459.824,484.359,1163.305,1635.026,3245.974,6020.478,9838.213,12253.55,15479.413,19194,30542,40627,56117,90302,97648,118694,184237,271620,235706,160074,208099,241562
财务成本净额,-0.125,0.871,2.004,9.412,-47.304,-46.534,-100.192,-140.732,-1.953,-0.838,35.505,-347.518,-84,-1182,-1618,-1955,-2908,-4669,-7613,-7887,-7114,-9352,-12268,-11981,-15130
分占联营合营盈亏,,,,,,,-0.331,-0.347,22.206,3.399,-165.731,-26.494,-42,-347,-2793,-2522,821,1487,-1681,3672,-16444,-16129,5800,25176,23740
除税前盈利,10.216,143.765,338.209,469.236,437.055,1116.771,1534.503,3104.895,6040.731,9913.133,12099.069,15051.015,19281,29013,36216,51640,88215,94466,109400,180022,248062,210225,161324,241485,277249
所得税开支,,-3.058,-16.013,-22.534,48.307,-52.971,33.505,-289.245,-819.12,-1797.924,-1874.238,-2266.163,-3718,-5125,-7108,-10193,-15744,-14482,-13512,-19897,-20252,-21516,-43276,-45018,-47448
年度盈利,10.216,140.707,322.196,446.702,485.362,1063.8,1568.008,2815.65,5221.611,8115.209,10224.831,12784.852,15563,23888,29108,41447,72471,79984,95888,160125,227810,188709,118048,196467,229801
归母净利,,,,,,,1566.02,2784.577,5155.646,8053.625,10203.083,12731.871,15502,23810,28806,41095,71510,78719,93310,159847,224822,188243,115216,194073,224842
非控制性权益损益,,,,,,,1.988,31.073,65.965,61.584,21.748,52.981,61,78,302,352,961,1265,2578,278,2988,466,2832,2394,4959
