"# 单位: 人民币百万元(2001-2012 財报原单位为千元,已÷1000;2013 起财报原单位即百万)。来源: 招股说明书会计师报告(2001-2003)+上市至今全部年报(2004-2025)逐行解析,见 _extract/*.json 与 _build_from_pdf.py。空格 = 该年无此科目。 capex=购建固定资产/在建工程/投资物业主行,购买无形资产单列。"
科目,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
经营活动现金流净额,20.756,91.759,352.409,-207.576,993.506,1507.458,1535.704,3579.627,8398.365,12319.293,13358.107,19429.457,24374,32711,45431,65518,106140,106443,148590,194119,175186,146091,221962,258521,303052
投资活动现金流净额,-11.061,-95.147,-23.888,-995.156,-10.551,-862.729,-434.247,-2514.533,-5024.795,-12014.997,-15354.758,-16270.208,-19134,-28388,-63605,-70923,-96392,-151913,-116170,-181955,-178549,-104871,-125161,-122187,-205732
融资活动现金流净额,8.119,8.919,-48.189,1736.987,-247.039,-352.426,78.809,-869.94,-397.11,4112.146,4373.024,-2385.978,1708,18350,18528,31443,26598,35380,1672,13647,21620,-59953,-82573,-176494,-87155
现金及现金等价物净增加,17.814,5.531,280.332,534.255,735.916,292.303,1180.266,195.154,2976.46,4416.442,2376.373,773.271,6948,22673,354,26038,36346,-10090,34092,25811,18257,-18733,14228,-40160,10165
汇率影响,,,,,-19.713,-24.027,-75.829,-75.983,-0.692,-51.881,-172.49,-2.013,-103,-188,371,2426,-2551,2207,1085,-6004,-3089,7506,1353,359,-1643
年初现金,21.909,39.723,45.254,325.586,859.841,1576.044,1844.32,2948.757,3067.928,6043.696,10408.257,12612.14,13383,20228,42713,43438,71902,105697,97814,132991,152798,167966,156739,172320,132519
年末现金,39.723,45.254,325.586,859.841,1576.044,1844.32,2948.757,3067.928,6043.696,10408.257,12612.14,13383.398,20228,42713,43438,71902,105697,97814,132991,152798,167966,156739,172320,132519,141041
capex(购建固定资产等),-11.456,-28.156,-59.459,-90.536,-255.984,-313.714,-566.781,-1333.008,-788.824,-1488.22,-4046.246,-3656.886,-4788,-4296,-5440,-8399,-12108,-19743,-22766,-34070,-29302,-22679,-21008,-62927,-87482
购买无形资产,,,,,-8.118,-23.718,-197.165,-71.368,-31.95,-114.638,-788.375,-869.011,-1200,-2320,-4620,-8849,-19850,-31877,-29866,-27182,-31159,-27645,-26042,-26394,-25399
已付股息(股东),,,-10.334,-28.79,-132.181,-145.402,-210.211,-257.803,-554.604,-639.264,-838.29,-1107.889,-1468,-1761,-2640,-3699,-5052,-6776,-8315,-10339,-12503,-12952,-20983,-28859,-37535
已付股息(非控股),,,,,,,,,-32.088,-66.723,-56.531,-117.483,-73,-158,-549,-907,-946,-620,-1138,-1079,-1403,-2165,-805,-2385,-2372
回购股份支付,,,,0.0,-123.086,-241.078,-107.254,-387.586,-74.57,-310.222,-1047.033,-20.232,-1325,-61,0,,,-783,-1046,0,-2170,-29307,-43767,-102331,-73312
