"# 派生自三表 CSV(通用底 scripts/derived.py + 腾讯定制层,本脚本为唯一写者)。比率为小数(0.5=50%),周转为天。港股无扣非披露线,扣非行 n/a;2001-2006 报表无归属拆分行(无重大 NCI),归母按年度盈利计。"
指标,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
毛利率 Gross margin,0.6323,0.7276,0.6877,0.636,0.6706,0.7082,0.7075,0.6966,0.6873,0.6783,0.6516,0.5852,0.5404,0.6089,0.5953,0.5561,0.4918,0.4545,0.444,0.4595,0.4391,0.4305,0.4813,0.529,0.5621
净利率 Net margin,0.2082,0.5348,0.4384,0.3906,0.3403,0.3799,0.4104,0.3935,0.4197,0.4131,0.3588,0.2913,0.2575,0.3026,0.283,0.2728,0.3048,0.2558,0.2542,0.3322,0.4067,0.3403,0.1938,0.2976,0.3057
销售费用率 S&D exp ratio,0.0879,0.0739,0.0762,0.0949,0.1385,0.1047,0.0778,0.0724,0.0467,0.0481,0.0674,0.0682,0.0942,0.0988,0.0777,0.0799,0.0742,0.0775,0.0567,0.07,0.0725,0.0527,0.0562,0.0551,0.0555
管理/行政费用率 Admin exp ratio,0.3321,0.1097,0.1524,0.1487,0.2438,0.2178,0.2199,0.1862,0.1629,0.1444,0.1854,0.1769,0.1653,0.1793,0.1636,0.1478,0.139,0.1328,0.1417,0.1403,0.1604,0.1924,0.17,0.1708,0.1811
ROE(期末) Return on year-end equity,,,,,,,0.3021,0.3966,0.4233,0.3702,0.3585,0.3083,0.2675,0.2976,0.24,0.2353,0.2793,0.2433,0.2156,0.2271,0.2788,0.2609,0.1425,0.1993,0.1948
ROE(年均) Return on avg equity,,,,,,,,0.4563,0.5371,0.4746,0.4063,0.365,0.3124,0.3452,0.288,0.2789,0.3321,0.2716,0.2468,0.2812,0.2977,0.2464,0.1506,0.2178,0.2113
经营现金流/净利 OCF/Net profit,2.0317,0.6521,1.0938,-0.4647,2.0469,1.4171,0.9794,1.2713,1.6084,1.518,1.3064,1.5197,1.5662,1.3693,1.5608,1.5808,1.4646,1.3308,1.5496,1.2123,0.769,0.7742,1.8803,1.3158,1.3188
Capex/净利 Capex/Net profit,1.1214,0.2001,0.1845,0.2027,0.5274,0.2949,0.3615,0.4734,0.1511,0.1834,0.3957,0.286,0.3077,0.1798,0.1869,0.2026,0.1671,0.2468,0.2374,0.2128,0.1286,0.1202,0.178,0.3203,0.3807
应收/营收 AR/Revenue,0.1732,0.2246,0.1357,0.1685,0.1562,0.1426,0.1402,0.1375,0.0988,0.0873,0.0709,0.0536,0.0489,0.0581,0.0686,0.0668,0.0696,0.0909,0.095,0.0933,0.0881,0.082,0.0765,0.073,0.0664
存货/营收 Inventory/Revenue,,,,,0.0019,0.0009,0.0004,0.0008,,,,0.0129,0.0229,0.0031,0.0022,0.0017,0.0012,0.001,0.0019,0.0017,0.0019,0.0042,0.0007,0.0007,0.0007
