"# 单位: 人民币百万元(2001-2012 財报原单位为千元,已÷1000;2013 起财报原单位即百万)。来源: 招股说明书会计师报告(2001-2003)+上市至今全部年报(2004-2025)逐行解析,见 _extract/*.json 与 _build_from_pdf.py。空格 = 该年无此科目。 流动/非流动双现科目(借款/应付票据/租赁负债/递延收入/FVPL/定期存款等)为两段合计。"
科目,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
物业设备及器材,16.868,38.851,80.139,142.08,365.047,549.109,839.256,1165.048,2517.202,3292.828,5884.952,7402.766,8693,7918,9973,13900,23597,35091,46824,59843,61914,53978,53232,80185,149905
在建工程,,,,,,14.462,112.232,875.897,105.771,386.943,158.656,533.691,2041,3830,4248,4674,3163,4879,3935,4939,5923,9229,13583,12302,9670
投资物业,,,,,,,66.414,64.981,68.025,37.229,21.871,21.674,0,268,292,854,800,725,855,583,517,559,570,801,950
土地使用权,,,,,,10.018,36.796,36.046,35.296,229.89,230.915,794.439,871,751,2293,5174,5111,7106,15609,16091,17728,18046,17179,23117,22339
使用权资产,,,,,,,,,,,,,,,,,,,10847,12929,20468,22524,20464,17679,17367
无形资产,,,,,21.432,155.587,670.692,370.314,268.713,572.981,3779.976,4719.075,4103,9304,13439,36467,40266,56650,128860,159437,171376,161802,177727,196127,205999
于联营公司的投资,,,,,,,,302.712,477.622,1070.633,4338.075,7310.266,12170,51131,60171,70042,113779,219215,213614,297609,316574,246043,253696,290343,342409
于联营公司可赎回工具的投资,,,,,,,,,,,,,,2941,6230,9627,22976,0,,,,,,,
于合营公司的投资,,,,,,,,,,,61.903,35.409,9,63,544,630,7826,8575,8280,7649,6614,6672,7969,7072,6303
可供出售金融资产,,,,,36.073,56.44,63.605,86.18,153.462,4126.878,4343.602,5632.59,12515,13277,44339,83806,127218,0,,,,,,,
持有至到期投资,,,,167.374,244.581,234.261,73.046,68.346,341.41,0.0,,,,,,,,,,,,,,,
以公允价值计量计入损益的金融资产(FVPL),,,,,,,,,,,,,,,,,,97877,135936,172537,202757,234048,226048,214567,243086
以公允价值计量计入其他全面收益的金融资产(FVOCI),,,,,,,,,,,,,,,,,,43519,81721,213091,250257,185247,213951,305705,365421
其他金融资产,,,,,,,,,,,,,,,1198,3409,5624,2032,375,1137,3010,8265,8476,5826,5528
预付款项按金及其他资产,0.369,2.945,35.872,50.347,32.57,113.768,130.406,502.694,453.948,933.302,4494.786,,6661,9013,16877,21481,28283,40024,51282,64951,102567,113437,116850,143872,135810
