# 贵州茅台 中期财务档案 · 2026中报增量 (2026-08-15披露·未经审计) · 一手PDF逐行提取+勾稽校验
# 数据源: 贵州茅台-2026-H1.pdf / 贵州茅台-2026-Q1.pdf / 贵州茅台-2025-H1.pdf (report/贵州茅台/)
# 口径: 金额单位=元(分部=万元·与年报MD&A一致); Q2派生 = H1累计 − Q1累计; 空 = 该期未提取或无披露
# 年度序列真源在 利润表/资产负债表/现金流量表.csv (2000-2025); 本文件只存中期档案·不与年度表混排
项目,单位,2025-Q1,2025-Q2派生,2025-H1,2026-Q1,2026-Q2派生,2026-H1,备注
营业总收入,元,,,91093762553.97,,,92278072083.21,总收入=营业收入+财司利息收入
营业收入,元,50600957885.78,38788396531.06,89389354416.84,53909252220.51,36794008743.97,90703260964.48,
利息收入_财司,元,,,1704408137.13,,,1574811118.73,
营业总成本,元,,,28353948643.16,,,30946044878.08,
营业成本,元,,,7777491083.93,,,9473762565.88,
税金及附加,元,,,13942384581.48,,,14682159453.47,
销售费用,元,,,3260462949.46,,,3206308341.53,
管理费用,元,,,3694704172.74,,,3635355263.82,
研发费用,元,,,73901545.96,,,114926219.60,
财务费用,元,,,-486644673.87,,,-243237716.96,
其他收益,元,,,22518010.95,,,23554465.99,
投资收益,元,,,59165.27,,,1013870.58,
公允价值变动收益,元,,,1758003.31,,,22082651.62,
营业利润,元,,,62768973374.37,,,61411291686.27,
利润总额,元,37031453649.79,25746547117.03,62778000766.82,37543249644.02,23895169533.27,61438419177.29,
所得税费用,元,,,15791319317.58,,,15405088610.51,
净利润,元,,,46986681449.24,,,46033330566.78,
归母净利润,元,26847474238.76,18555488059.34,45402962298.10,27242512886.45,17274367535.41,44516880421.86,
少数股东损益,元,,,1583719151.14,,,1516450144.92,
扣非归母净利润,元,26849883702.90,18540363920.92,45390247623.82,27239985194.41,17224222451.60,44464207646.01,
基本EPS,元/股,21.38,,36.18,21.76,,35.57,
加权平均ROE,%,10.92,,17.89,10.57,,16.75,
经营现金流净额,元,8809195646.38,4309865384.95,13119061031.33,26909891269.13,43780858849.93,70690750119.06,2026H1 +438.8%主因财司吸收集团存款增加+不可随时支取同业存款减少(公司自述)
销售商品提供劳务收到的现金,元,,,95086614960.23,,,98421697395.39,
购建固定资产等支付的现金,元,,,1595995809.23,,,832142752.28,
分配股利利润或偿付利息支付的现金,元,,,34671161737.19,,,35044145842.75,
支付其他与筹资活动有关的现金_回购,元,,,5221651894.59,,,2900151959.37,第二轮回购截至2026-06-30累计2188614股/支付29.999亿元(不含交易费·方案上限30亿顶格)/均价约1370.7元/已全部注销
投资现金流净额,元,,,-314350963.69,,,25640543520.60,
筹资现金流净额,元,,,-39892813631.78,,,-37944297802.12,
期末现金及等价物,元,,,142885262656.67,,,184811095482.62,
货币资金(期末),元,,,51644880716.93,,,53518798979.08,"2025年末 51,690,610,946.50"
拆出资金_财司(期末),元,,,126350827693.10,,,141084158124.01,"2025年末 99,096,188,059.75·财司存放同业·其中受限233.16亿(注25)"
应收账款(期末),元,,,37961242.39,,,570895.04,"2025年末 2,609,048.49·公司自述: i茅台线上平台应收货款减少"
存货(期末),元,,,54971731959.60,,,61317208371.30,"2025年末 61,427,421,796.18"
合同负债(期末),元,,,5506895535.57,,,3177561597.07,"2025年末 8,006,739,780.94·公司自述: 市场化改革·销售模式改变·预收货款政策相应调整(较年初-60.31%)"
其他流动负债(期末),元,,,705743183.05,,,384394900.26,"2025年末 994,959,710.24·经销商预付货款减少·待转销项税相应减少"
吸收存款及同业存放_财司(期末),元,,,20634003830.54,,,25426316668.17,"2025年末 18,038,383,776.30"
应付职工薪酬(期末),元,,,426482191.26,,,375947883.69,"2025年末 5,523,447,166.50·支付上年年终绩效工资(季节性)"
预付款项(期末),元,,,,,,16190168.54,"2025年末 6,637,314.31·广告费预付增加(公司自述)·'垃圾筐'三科目之一·合计仍≈1.2亿可忽略"
其他应收款(期末),元,,,49933643.11,,,47328677.41,"2025年末 36,281,302.94·市场人员借款增加(公司自述)"
其他流动资产(期末),元,,,,,,60066044.49,"2025年末 51,027,010.56·'垃圾筐'三科目合计≈1.2亿·占营收<0.15%"
归母净资产(期末),元,,,,,,251253594419.50,"2025年末 244,637,811,032.18"
总资产(期末),元,,,,,,309050784569.31,"2025年末 303,834,844,021.44"
股本_股(期末),股,,,,,,1250081601.00,"2025年末 1,252,270,215.00·第二轮回购2188614股已注销"
库存股(期末),元,,,5201943467.85,,,0.0,"2025年末 120,112,601.53·期末清零=回购股份全部注销完毕"
