# 贵州茅台 分红回购历史 · 单位: 各字段自明; 数据源见文末; ⏳待补 = 需读年报补充
# 命名口径: "年度末次" = 年报披露的当年利润分配方案(次年 4-6 月实施); "中期分红" = 报告期中(半年)的特别分红
# 2024 起分红政策变更: 董事会决议 2024-2026 三年度现金分红比例 ≥ 归母净利 75%
年度,每10股派现元-末次含税,年度末次分红总额-亿元,中期分红总额-亿元,分红率占归母%,回购金额-亿元,回购股数-股,是否注销,数据源
2016,67.87,85.26,-,51.0%,0,-,-,2016年报P1(共分配8525814468.60元/归母16718362734.16)
2017,⏳待补,⏳待补,-,⏳待补,0,-,-,读2017年报P2或2018年报权益变动
2018,⏳待补,⏳待补,-,⏳待补,0,-,-,读2018年报P2待补
2019,⏳待补,⏳待补,-,⏳待补,0,-,-,读2019年报P2待补
2020,192.93,242.42,-,51.9%,0,-,-,推算·待2020年报P2独立核
2021,216.75,272.28,-,51.9%,0,-,-,2021年报P1(共分配27228087315.00元/归母52460144378.16)
2022,⏳待补,⏳待补,-,51.9%(推算),0,-,-,读2022年报P2利润分配方案
2023,308.76,387.86,-,51.9%,0,-,-,2023年报P2(共派发38786363272.80元/归母74734071550.75)
2024,276.24,346.71,~300,~75%,0,-,-,2024年报P2(共派发34671299522.40元)+2024年中期特别分红公告
2025,28.024,350.33,~300,~79%(650.33亿),60.0,3927585,是,2025年报P2(共派发35032568759.73元·调整后)+2026-06事实编年+2025回购注销
2026,⏳待补,⏳待补,⏳中期分红待董事会另行公告(股东会06-12已授权"一年两度分红"·中报无预案),⏳,30.0,2188614,是,2026中报十七-1(第二轮回购顶格完成: 累计2188614股/支付29.999亿·不含交易费/价格上限1863.67元/均价约1370.7元/已于中登上海注销·股本降至1250081601)
# 注:
# 1. 2024 年度末次每 10 股 276.24 元 属年度合并方案(不含中期分红); 2024 中期特别分红另有约 300 亿(2024 下半年发放)
# 2. 2025 年度首次实施"一年两度分红": 中期 + 末次分开披露; 末次每 10 股 27.993 元(调整前) → 28.02423 元(调整后·回购注销 3927585 股后维持总额不变)
# 3. 2025 首次实施回购并注销 60 亿元 / 3,927,585 股; 第二轮回购(2025-11-28股东大会通过·区间15-30亿)于2026-H1顶格完成30亿/2,188,614股并全部注销(2026中报十七-1)
# 4. 现金流量表"分配股利利润或偿付利息支付现金"是实际支付数据(可能滞后一年·含少数股东股利); 见 现金流量表.csv 对应行
# 5. 分红率 = 年度分配总额 / 当年归母净利润; 归母净利数据源自 利润表.csv
