"# 单位: 人民币元, 26 年 2000-2025, 来源: 一手年报 PDF"
科目,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
一、营业总收入,1114000813.26,1618046660.31,1834898294.90,2401017934.93,3009793519.92,3930515237.61,4903375765.41,7237430747.12,8241685564.11,9669999065.39,11633283740.18,18402355207.30,26455335152.99,31070596222.23,32217213741.08,33446859045.58,40155084412.93,61062756866.16,77199384110.22,88854337488.76,97993240501.21,109464278563.89,127553959355.97,150560330316.45,174144069958.25,172054171890.91
  营业收入,1114000813.26,1618046660.31,1834898294.90,2401017934.93,3009793519.92,3930515237.61,4903375765.41,7237430747.12,8241685564.11,9669999065.39,11633283740.18,18402355207.30,26455335152.99,30921801316.60,31573928530.94,32659583725.28,38862189993.84,58217861314.17,73638872388.03,85429573467.25,94915380916.72,106190154843.76,124099843771.99,147693604994.14,170899152276.34,168838102514.79
  利息收入,,,,,,,,,,,,,,148673987.03,643085210.14,786545320.30,1292722909.66,2844310646.33,3559634363.70,3424471568.68,3077859584.49,3274123720.13,3454115583.98,2866725322.31,3244917681.91,3216069376.12
二、营业总成本,,,,,,,2418028449.44,2713904695.32,2852622959.08,3595688001.93,4472846560.68,6069573782.22,7627698585.34,9282061270.23,10117335755.93,11291736359.61,15889459243.51,22122749332.71,25866030564.04,29812253033.37,31305130587.56,34776902467.47,39748309616.85,46960889468.54,54523971452.57,57370818034.33
  营业成本,196863443.99,287538468.11,340556444.79,477388129.86,535056248.95,687106816.68,786540172.92,871643568.33,799713319.24,950672855.27,1052931591.61,1551233976.06,2044306468.76,2193920307.99,2338550532.33,2538337449.06,3410104085.97,5940436371.97,6522921833.77,7430013945.12,8154001476.28,8983377809.96,10093468616.63,11867273851.78,13789482367.98,14892277570.91
  利息支出,,,,,,,,,,,,,,35507483.16,59217289.10,74159619.28,122961049.54,135187797.06,136317779.84,145752825.87,111128537.31,173897197.98,105584206.24,113500129.93,105127802.03,175775959.12
  手续费及佣金支出,,,,,,,,,,,,,,,76550.76,62172.83,73593.72,75378.00,124387.35,73178.40,105888.96,115082.12,143141.51,68578.57,94078.17,103597.22
  税金及附加(消费税等),199224062.88,317884849.44,320110065.32,308189009.56,324855608.17,530245028.46,574890772.15,604078928.41,681761604.71,940508549.66,1577013104.90,2477391798.01,2572644755.42,2790747889.49,2788994436.05,3449170637.40,6508926343.26,8404214470.69,11288926846.97,12733292400.79,13886517290.78,15304469070.03,18495818534.22,22234175898.60,26926161474.99,27354227684.88
  销售费用,134826000.83,228319500.78,308176458.60,365256375.50,376522300.75,475939394.33,584906379.04,560385186.98,532024659.80,621284334.75,676531662.09,720327727.89,1224553444.02,1858132722.71,1674733451.06,1484961519.21,1681052022.90,2986068544.99,2572076872.16,3278990982.26,2547745650.75,2737326434.78,3297724190.94,4648613585.82,5639300059.49,7253499600.68
  管理费用,129669631.27,181060278.22,238541225.22,291880260.69,311563047.89,350685099.47,495951616.18,723155575.20,941174062.44,1217158463.04,1346014202.04,1673872427.75,2204190581.13,2834740716.00,3378499544.59,3812852076.19,4187189840.42,4701795567.31,5325940762.24,6167982844.22,6789844289.39,8450274065.03,9012191073.94,9729389252.31,9315650060.38,8320061659.66
  研发费用,,,,,,,,,,,,,,,,,,18747252.83,21953605.93,48688841.05,50398036.33,61923213.59,135185680.40,157371873.01,218375472.87,190112246.58
  财务费用,6680065.67,-5742353.49,-17461501.87,-16050225.99,-25993795.54,-32264593.95,-25310578.80,-44743824.95,-102500765.33,-133636115.78,-176577024.91,-350751496.92,-420975922.49,-429074364.68,-123168793.84,-67266800.97,-33175188.52,-55722346.19,-3521209.23,7458015.66,-234610582.44,-934523406.02,-1391805826.72,-1789503701.48,-1470219863.34,-815240284.72
  资产减值损失(旧准则期),,,,,,,1050087.95,-614738.65,450078.22,-300085.01,-3066975.05,-2500650.57,2979258.50,-2004032.30,432745.88,-540313.39,,,,,,,,,,
加:其他收益,31789.00,68667.00,117934.00,601388.00,0,0,,,,,,,,,,,,,9634135.00,18768906.58,13138152.69,20515911.19,24505353.83,34644873.86,21229466.81,28531529.30
加:投资收益,0,0,0,0,315063.71,427953.60,1769450.00,1814950.00,1322250.00,1209447.26,469050.00,3383000.00,3103250.00,3010000.00,3095265.75,3869172.90,,,,,305631.46,58255937.39,63840000.00,34025967.82,9130340.37,561176.14
加:公允价值变动收益,,,,,,,,,,,,,,,,,,,,-14018472.46,4897994.43,-2244726.29,,3151962.50,60980724.35,76162597.66
加:信用减值损失,,,,,,,,,,,,,,,,,,,,-5313489.80,-71371809.85,-13022441.19,-14686546.25,37871293.26,-23248436.03,17234379.37
加:资产处置收益,,,,,,,,,,,,,,,,,,,,-32123.57,,,213235.69,-479736.97,388852.05,3106625.19
三、营业利润,445756350.27,610141665.91,648207284.29,975438404.24,1487791992.12,1918852457.58,2487116765.97,4525341001.80,5390384855.03,6075520510.72,7160906229.50,12336164425.08,18830739817.65,21791544952.00,22102973250.90,22158991962.87,24265625169.42,38940007533.45,51342987681.18,59041489276.14,66635079882.38,74750880777.52,87879521782.39,103708655208.38,119688579453.23,114808950164.24
加:营业外收入,17635.96,72208.04,137822.00,1392334.71,3601893.97,1762887.90,1149619.55,2917186.44,6282035.79,6247977.00,5307144.91,7181584.54,6756532.19,32763249.14,6562552.18,4823183.32,8553926.06,12201990.51,11619526.11,9454451.03,11051136.71,68989219.74,70852285.40,86779655.95,70936575.97,74947039.70
  加:补贴收入(旧准则期),31789.00,68667.00,117934.00,601388.00,0,0,,,,,,,,,,,,,,,,,,,,
减:营业外支出,960375.10,3004334.70,10611.88,137513.69,1036434.99,796935.44,200533.55,6233172.31,11366252.66,1228603.08,3796643.04,8685535.82,137005880.68,391947775.17,227193365.75,162100184.85,316298138.37,212137381.36,527003759.82,268391929.45,449189027.42,291838102.50,248884319.61,132881174.52,120937834.74,128635598.86
四、利润总额,444845400.13,607278206.25,648452428.40,977294613.26,1490672514.81,1920246363.64,2488065851.97,4522025015.93,5385300638.16,6080539884.64,7162416731.37,12334660473.80,18700490469.16,21432360425.97,21882342437.33,22001714961.34,23957880957.11,38740072142.60,50827603447.47,58782551797.72,66196941991.11,74528031894.76,87701489748.18,103662553689.81,119638578194.46,114755261605.08
减:所得税费用,189560588.75,264912397.48,256481479.52,368541117.20,636500339.35,751124237.93,871690651.90,1555972506.98,1384541295.05,1527650940.64,1822655234.40,3084336666.18,4692039766.99,5467460544.92,5612970927.51,5546718336.12,6027237847.23,9733648906.60,12997985690.66,14812551005.21,16673612108.71,18807501938.30,22325449790.30,26141077412.01,30303850168.56,29444936771.41
五、净利润,255284811.38,342365808.77,391970948.88,608753496.07,854172175.46,1169122125.71,1616375200.07,2966052508.95,4000759343.11,4552888944.00,5339761496.97,9250323807.62,14008450702.17,15964899881.05,16269371509.83,16454996625.22,17930643109.88,29006423236.00,37829617756.81,43970000792.51,49523329882.40,55720529956.46,65376039957.88,77521476277.80,89334728025.90,85310324833.67
  归母净利润,249558877.77,328290723.14,376183499.47,586747838.28,820553997.19,1118541629.37,1544812417.93,2830831594.36,3799480558.51,4312446124.73,5051194218.26,8763145910.23,13308079612.88,15136639784.35,15349804322.27,15503090276.38,16718362734.16,27079360255.74,35203625263.22,41206471014.43,46697285429.81,52460144378.16,62717467870.12,74734071550.75,86228146421.62,82320067101.68
  少数股东损益,5725933.61,14075085.63,15787449.41,22005657.79,33618178.27,50580496.34,71562782.14,135220914.59,201278784.60,240442819.27,288567278.71,487177897.39,700371089.29,828260096.70,919567187.56,951906348.84,1212280375.72,1927062980.26,2625992493.59,2763529778.08,2826044452.59,3260385578.30,2658572087.76,2787404727.05,3106581604.28,2990257731.99
基本每股收益(元/股),1.35,1.59,1.37,1.94,2.09,2.37,1.64,3.00,4.03,4.57,4.87,8.44,12.82,14.58,12.22,12.34,13.31,21.56,28.02,32.80,37.17,41.76,49.93,59.49,68.64,65.66
