# 贵州茅台 基酒产能 · 单位: 吨; 数据源: 各年报第三节"经营情况分析"
# 备注: 茅台确定性根源 —— 基酒需陈 5 年才可勾兑出品, 当年基酒产量决定 5 年后可销售的茅台酒量
# 茅台镇 7.5 平方公里核心产区受贵州省立法保护(2010 条例), 产能不可无限扩张
# 库存按年报披露口径: 仅拆成品酒 vs 半成品酒(含基酒), 不分茅台酒/系列酒
年度,茅台酒基酒产量,系列酒基酒产量,茅台酒销量,系列酒销量,成品酒库存,半成品酒含基酒库存,数据源
2016,39312.53,20575.44,22917.66,14026.70,16168.33,236337.83,2016年报第三节
2017,42828.59,20959.02,30205.52,29902.84,13309.48,222689.39,2017年报第三节
2018,49671.69,20545.06,32463.95,29774.46,14409.19,222118.11,2018年报第三节
2019,49922.71,25122.02,34562.46,30082.84,11311.61,230356.74,2019年报第三节
2020,50235.17,24925.37,34312.53,29743.35,8314.11,240921.41,2020年报第三节
2021,56472.25,28248.92,36261.31,30177.38,10282.35,250463.82,2021年报第三节
2022,56810.44,35075.39,37901.39,30274.93,12495.28,264127.89,2022年报第三节
2023,57204.11,42937.04,42109.50,31164.54,13985.07,279804.96,2023年报第三节
2024,56271.99,48112.51,46412.95,36919.81,17760.00,292248.02,2024年报第三节
2025,58473.16,57650.57,46750.66,38353.48,24770.35,315207.51,2025年报第三节
# 关键洞察:
# 1. 茅台酒基酒产量 2016-2025 稳定在 3.9-5.8 万吨区间, 受产区物理约束
# 2. 系列酒基酒产量翻近 3 倍(2.06→5.77 万吨), 扩张主要在系列酒
# 3. 成品酒库存从 1.6 万吨(2016)→2.5 万吨(2025), 10 年增 54% → 需交叉看终端动销
# 4. 半成品酒(含基酒)库存从 23.6→31.5 万吨, 升值资产持续增厚
# 5. 实际产量持续超设计产能(茅台酒超约30%), 因工艺特点次年释放新增产能
