"# 单位: 人民币元, 流出/减项=负数, 净额/汇率按报表符号, 26 年 2000-2025"
科目,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
销售商品、提供劳务收到的现金,,1800399443.09,,3057788375.35,,4976668595.34,6161614576.12,7437754281.34,11275230701.85,11756243820.83,14938581885.61,23659131281.08,28912367684.82,33233870603.65,33384835714.04,37083071835.58,61012964102.54,64421479343.02,84268695732.62,94980138631.64,107024384560.17,119320536796.65,140691678592.00,163699909417.62,182645203339.89,183990403487.80
客户存款和同业存放款项净增加额,,,,,,,,,,,,,,2773189099.54,1183261609.65,2011171589.94,4811196033.00,-316204577.99,1010398131.22,-437417306.80,3189100199.87,7511166145.93,-8916033228.67,-810223002.76,11060205782.10,-5099271966.87
收取利息、手续费及佣金的现金,,,,,,,,,,,,,,120698483.40,620022974.87,766016183.29,1265842778.44,2722025536.31,3444983166.57,3667633965.97,3075945383.34,3145747032.91,3247615476.04,3018786023.42,3122827833.43,2525372050.12
收到的税费返还,,1846053.69,,81417405.40,,50557133.43,,,,,181031.15,,,,,,,,,,,,33191912.56,1500047.04,,
收到其他与经营活动有关的现金,,44381149.12,,44909156.74,,16087755.58,42844942.47,95684682.11,242355759.12,185888008.21,138196684.26,181674213.04,387671188.51,585366816.43,299729378.90,153647241.24,189142723.95,542162210.47,621558368.29,1234081863.41,221421226.63,1643536862.48,2759244311.88,2346196470.63,3258097705.14,4712295194.89
经营活动现金流入小计,,1846626645.90,,3184114937.49,,5043313484.35,6204459518.59,7533438963.45,11517586460.97,11942131829.04,15076959601.02,23840805494.12,29300038873.33,36713125003.02,35487849677.46,40013906850.05,67279145637.93,67369462511.81,89345635398.70,99444437154.22,113510851370.01,131620986837.97,137815874923.81,168256168955.95,200086334660.56,186128798765.94
购买商品、接受劳务支付的现金,,-594708128.39,,-638529865.40,,-950764775.72,-807104098.32,-1098306968.33,-1214717814.83,-1557075938.70,-1669804222.04,-2353687717.48,-2707393653.33,-3152308925.47,-2838028404.97,-2967732630.37,-2773020403.27,-4875768504.16,-5298518032.55,-5521948744.75,-7230646129.19,-7745959630.90,-8357859151.03,-11029476036.21,-10824874163.03,-11450143940.22
客户贷款及垫款净增加额,,,,,,,,,,,,,,-91447500.00,59847500.00,11600000.00,-42393350.80,28353350.80,-3000000.00,-13000000.00,-2978755728.00,-484244272.00,723778672.00,-2051930316.19,262376929.65,-848113545.25
存放中央银行和同业款项净增加额,,,,,,,,,,,,,,-3193267094.01,501778611.56,848231824.96,-2340362436.74,-8727170068.53,-920713957.76,4503181198.43,2506406682.56,-559089326.28,-13037761321.90,1570003429.01,-4585245646.29,12847265866.72
拆入资金净增加额,,,,,,,,,,,,,,,,,,,,-200000000.00,-200000000.00,400000000.00,,2500000000.00,-400000000.00,-900000000.00
