"# 派生比率: 从一手三表计算, 比率为小数(如 0.9153 = 91.53%), 26 年 2000-2025"
科目,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
毛利率 (营业总收入-营业成本)/营业总收入,0.823282,0.822293,0.814400,0.801173,0.822228,0.825187,0.839592,0.879565,0.902967,0.901688,0.909490,0.915705,0.922726,0.929389,0.927413,0.924108,0.915077,0.902716,0.915506,0.916380,0.916790,0.917933,0.920869,0.921179,0.920816,0.913444
毛利率 (营业收入-营业成本)/营业收入,0.823282,0.822293,0.814400,0.801173,0.822228,0.825187,0.839592,0.879565,0.902967,0.901688,0.909490,0.915705,0.922726,0.929049,0.925934,0.922279,0.912251,0.897962,0.911420,0.913028,0.914092,0.915403,0.918667,0.919649,0.919312,0.911796
净利率 归母净利/营业总收入,0.224020,0.202893,0.205016,0.244375,0.272628,0.284579,0.315051,0.391138,0.461008,0.445961,0.434202,0.476197,0.503040,0.487169,0.476447,0.463514,0.416345,0.443468,0.456009,0.463753,0.476536,0.479244,0.491694,0.496373,0.495154,0.478454
税金及附加/营业收入 (消费税负担率),0.178837,0.196462,0.174457,0.128358,0.107933,0.134905,0.117244,0.083466,0.082721,0.097260,0.135560,0.134624,0.097245,0.090252,0.088332,0.105610,0.167487,0.144358,0.153301,0.149050,0.146304,0.144123,0.149040,0.150543,0.157556,0.162015
销售费用率 销售费用/营业收入,0.121029,0.141108,0.167953,0.152126,0.125099,0.121088,0.119286,0.077429,0.064553,0.064249,0.058155,0.039143,0.046288,0.060091,0.053042,0.045468,0.043257,0.051291,0.034928,0.038382,0.026842,0.025778,0.026573,0.031475,0.032998,0.042961
管理费用率 管理费用/营业收入,0.116400,0.111901,0.130002,0.121565,0.103516,0.089221,0.101145,0.099919,0.114197,0.125870,0.115704,0.090960,0.083317,0.091675,0.107003,0.116745,0.107745,0.080762,0.072325,0.072200,0.071536,0.079577,0.072620,0.065875,0.054510,0.049278
研发费用率 研发费用/营业收入,,,,,,,,,,,,,,,,,,0.000322,0.000298,0.000570,0.000531,0.000583,0.001089,0.001066,0.001278,0.001126
ROE(期末) 归母净利/期末归母权益,0.564076,0.129712,0.131891,0.170609,0.196816,0.219671,0.254776,0.343793,0.337895,0.298109,0.274540,0.350650,0.389699,0.355135,0.287286,0.242516,0.229351,0.296106,0.311982,0.302966,0.289465,0.276777,0.317589,0.346523,0.369910,0.336498
ROE(年均) 归母净利/年均归母权益,,0.220823,0.139763,0.186525,0.215700,0.241558,0.276964,0.395989,0.390117,0.335461,0.307393,0.403925,0.450047,0.394328,0.319612,0.264205,0.244385,0.329542,0.344643,0.331177,0.314108,0.299036,0.324105,0.361778,0.384283,0.344620
现金含量 经营现金流/净利润,,0.123503,,1.55,1.14,1.45,1.31,0.587752,1.31,0.927749,1.16,1.10,0.851008,0.792678,0.776460,1.06,2.09,0.763729,1.09,1.03,1.04,1.15,0.561346,0.859030,1.04,0.721158
收现比 销售收现/营业收入,,1.11,,1.27,,1.27,1.26,1.03,1.37,1.22,1.28,1.29,1.09,1.07,1.06,1.14,1.57,1.11,1.14,1.11,1.13,1.12,1.13,1.11,1.07,1.09
Capex/净利润 (维持利润所需资本比),,0.968822,,0.550109,,0.462607,0.456246,0.260433,0.252636,0.297965,0.324343,0.236157,0.300669,0.338602,0.272356,0.125279,0.056840,0.038785,0.042473,0.071614,0.042198,0.061176,0.081170,0.033794,0.052373,0.036661
应收/营业收入,0.042985,0.028862,0.023291,0.011448,0.010392,0.011115,0.013939,0.006412,0.004225,0.002212,0.000108,0.000121,0.000674,0.000030,0.000136,0.000007,0.00,0.00,0.00,0.00,0.00,0.00,0.000169,0.000409,0.000111,0.000015
存货/营业收入,0.459903,0.485999,0.586742,0.506038,0.562743,0.473360,0.403988,0.318458,0.377904,0.433531,0.479153,0.390554,0.365360,0.382798,0.474517,0.551547,0.530651,0.378878,0.319219,0.295974,0.304156,0.314477,0.312848,0.314402,0.317985,0.363824
