"# 单位: 人民币元, 资产负债权益全部正数, 库存股按正数存储(计算权益时减), 26 年 2000-2025"
科目,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
货币资金,460983583.46,1956436570.10,1780307690.64,2340047386.85,2898327418.85,3891989433.53,4474221148.33,4722706300.02,8093721891.16,9743152155.24,12888393889.29,18254690162.04,22061999850.17,25185009331.68,27710717680.21,36800749895.06,66854962118.22,87868869913.34,112074791420.06,13251817237.85,36091090060.90,51810243607.11,58274318733.23,69070136376.12,59295822956.89,51690610946.50
拆出资金,,,,,,,,,,,,,,,,,390000000.00,,,117377810563.27,118199586541.06,135067287778.03,116172711554.59,105553836462.58,127187293298.17,99096188059.75
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,400712059.93,248513280.00,
应收票据,2500000.00,11740000.00,37016763.10,46540363.60,115374909.92,159665200.08,185653838.47,101046224.00,170612609.00,380760283.20,204811101.20,252101396.08,204079117.80,296084005.00,1847838617.83,8578935406.82,817627172.00,1221706039.00,563739710.00,1463000645.08,1532728979.67,,105453212.00,13933440.00,1984407967.50,
应收账款,47884805.68,46700450.37,42735776.91,27486075.27,31277360.66,43685990.33,68347002.70,46407153.34,34825094.84,21386314.28,1254599.91,2225396.48,17818147.27,927222.79,4306161.24,230768.89,,,,,,,20937144.00,60373410.41,18974192.75,2609048.49
应收款项融资,,,,,,,,,,,,,,,,,,,,,,,,,,4457064160.16
预付款项,15247081.70,3011768.40,6120132.50,6176790.79,4744646.40,12385914.41,3144616.20,6825624.62,741638536.34,1203126087.16,1529868837.52,1861027424.03,3872870407.89,4304579299.68,2864210404.28,1477734859.90,1046100696.92,790807322.07,1182378508.06,1549477339.41,898436259.15,389109841.28,897377162.27,34585111.79,26975033.20,6637314.31
应收利息(独立列示·2019后并入其他应收),,,,,,,,3584400.00,2783550.00,1912600.00,42728425.34,225182760.05,264612813.22,188599147.23,80602922.33,85347051.47,140904856.88,,,,,,,,,
应收补贴款(旧准则期),1807921.64,8996282.41,3267745.14,254708.21,,,,,,,,,,,,,,,,,,,,,,
其他应收款,9792294.12,33320706.81,45195662.66,119865787.90,29172976.86,51244124.02,56675997.40,86114253.52,82601388.17,96001483.15,59101891.63,47287488.89,137968684.11,119574188.82,80888920.58,48219018.75,77227565.37,272782079.24,393890493.12,76540490.99,34488582.19,33158974.32,31818622.84,27502107.30,29955673.47,36281302.94
买入返售金融资产,,,,,,,,,,,,,,,,,,,,,,,,3504849885.05,7220310691.10,8879708146.97
存货,512332818.61,786368826.81,1076612588.52,1215006621.05,1693741195.11,1860549625.24,1980903106.21,2304818947.92,3114567813.33,4192246440.36,5574126083.42,7187117552.86,9665727593.42,11836810239.03,14982364367.85,18013297022.70,20622251825.55,22057481376.46,23506950842.22,25284920806.33,28869087678.06,33394365084.83,38824374236.24,46435185061.53,54343285157.47,61427421796.18
一年内到期的非流动资产,,,,,,,,,,17000000.00,,,,,,,,,,,,,2123601333.33,,1210959803.42,26871114612.71
其他流动资产,,,,,,,,,,,,,,,,,231474570.63,37539231.49,140084334.11,20904926.15,26736855.91,71527560.74,160843674.42,71403906.57,160176582.69,51027010.56
流动资产合计,1069969911.36,2869925290.70,2991256359.47,3756029033.92,4772638507.80,6019520287.61,6768945709.31,7271502903.42,12240750882.84,15655585363.39,20300284828.31,27829632180.43,36225076613.88,41931583434.23,47570929074.32,65004514023.59,90180548805.57,112249185961.60,137861835307.57,159024472009.08,185652154956.94,220765692846.31,216611435672.92,225172517821.28,251726674636.66,252518662398.57
发放贷款和垫款,,,,,,,,,,,,,,90527500.00,30810000.00,19500000.00,60833517.03,33150000.00,36075000.00,48750000.00,2953036834.80,3425175000.00,4134744407.92,2130818189.27,2381228475.45,1553536744.78
债权投资,,,,,,,,,,,,,,,,,,,,,20143397.78,170468623.71,380685319.09,5323002071.02,1515174439.92,1113032405.66
其他债权投资,,,,,,,,,,,,,,,,,,,,,,,,,,3496539016.41
长期股权投资,,,,,,,,,,,,,,,,,,,,,,,,,,147181873.67
可供出售/其他非流动金融资产,,,,,,,,,,,,,,,4000000.00,29000000.00,29000000.00,29000000.00,29000000.00,319770404.05,9830052.91,,,4002439902.57,4028978995.56,4105141593.22
持有至到期投资,,,,,,,42769450.00,58000000.00,42000000.00,10000000.00,60000000.00,60000000.00,50000000.00,50000000.00,60000000.00,0,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,5242431.75,5335046.99,4138545.33,7625167.83,3108042.56
固定资产(净额·2000-2015 含旧准则期),180320389.09,414239895.73,470098687.69,440813831.83,715522677.42,981382035.50,1222898569.38,1826983364.36,2190171911.89,3168725156.29,4191851111.97,5426012349.61,6807333231.09,8523256960.11,10375757771.59,11415953189.72,14453177439.34,15244096632.02,15248556585.02,15144182726.19,16225082847.29,17472173182.85,19742622547.86,19909280655.97,21871446747.14,22488122304.35
在建工程,5776136.63,162048784.65,442903497.33,721652502.10,776047024.87,909890443.63,989033918.02,994453165.72,582860996.70,193956334.39,263458445.10,251446326.43,392672323.95,456328292.13,3421774448.02,4895150716.51,2745579995.68,2016405005.77,1954322968.68,2518938271.72,2447444843.03,2321988541.82,2208329892.95,2137464700.45,2149619937.05,2471886030.58
使用权资产,,,,,,,,,,,,,,,,,,,,,,362785970.23,402551533.46,314205484.56,410594173.53,221738227.51
无形资产,,,,,,57074911.58,256943698.66,249274093.40,445207595.72,465550825.17,452317235.72,808425512.33,862615899.20,3563308110.51,3582623682.24,3582462431.04,3531740625.60,3458622239.38,3499175374.52,4728027345.70,4817170981.91,6208358330.24,7083177226.45,8572267313.84,8850205831.00,8685618688.56
开发支出,,,,,,,,,,,,,,,,,,,,,,,190536632.60,218015555.49,98522878.42,117009982.85
长期待摊费用,,,,,,60377239.58,68664033.57,12477325.46,10146520.77,21469624.81,18701578.16,13805361.44,10177029.43,8048744.96,5408286.83,198603537.81,188118776.51,177859674.54,168414678.77,158284338.19,147721526.43,139342455.82,146455346.90,160058930.14,152105949.85,135324580.08
递延所得税资产,,,,,,,170093497.96,52849560.43,176680977.54,225420802.14,278437938.97,502628950.53,643656913.32,825372524.65,821601105.71,1155336074.14,1745539120.68,1401797361.77,1049294821.45,1099946947.57,1123225086.37,2237206443.84,3594952468.88,4645887425.10,5520006868.83,6602469151.22
其他非流动资产,,,,,,,,,,,,,,,,,,,,,,2059761333.33,,109563497.23,232395817.46,175472981.42
非流动资产合计,198886333.54,593463444.28,939648707.25,1200336776.93,1601014475.77,2038076176.98,2801847870.11,3209968937.03,3513436953.51,4114037784.33,5287295112.38,7071236794.98,8773132339.58,13522567242.82,18302236150.31,21296949399.18,22753989474.84,22360930913.48,21984839428.44,24017900033.42,27743655570.52,34402502313.59,37889390423.10,47527142270.97,47217905282.04,51316181622.87
资产总计,1268856244.90,3463388734.98,3930905066.72,4956365810.85,6373652983.57,8057596464.59,9570793579.42,10481471840.45,15754187836.35,19769623147.72,25587579940.69,34900868975.41,44998208953.46,55454150677.05,65873165224.63,86301463422.77,112934538280.41,134610116875.08,159846674736.01,183042372042.50,213395810527.46,255168195159.90,254500826096.02,272699660092.25,298944579918.70,303834844021.44
短期借款,129000000.00,0,,,,,,,,,,,,,,0,,,,,,,,,,
应付账款,29849878.67,10084988.04,24208759.65,40004706.01,35782831.86,30329177.02,41247749.99,59681964.50,121289073.57,139121352.45,232013104.28,172343585.06,345280977.68,284748288.89,707534647.54,880976072.09,1040608203.18,992055910.47,1178296416.59,1513676611.44,1342267668.12,2009832495.56,2408371053.69,3093091103.67,3514969230.31,4007309049.87
合同负债/预收款项,385340199.56,306147007.77,452516762.87,745368392.50,1036893726.13,1543198286.97,2141468768.67,1125288196.26,2936266375.10,3516423880.20,4738570750.16,7026648776.80,5091386269.55,3045113586.10,1476233096.09,8261582073.04,17541082237.01,14429106902.38,13576516813.44,13740329698.82,13321549147.69,12718465288.02,15471920924.98,14125755802.29,9592453014.66,8006739780.94
吸收存款及同业存放,,,,,,,,,,,,,,2773189099.54,3956450709.19,5967622299.13,10778818332.13,10462613754.14,11473011885.36,11048756010.02,14241859949.77,21763575647.32,12874043355.42,12034492909.95,23102858820.97,18038383776.30
应付职工薪酬,,10173700.00,41000000.00,25370546.71,30274723.96,47634039.32,109191195.98,54596365.24,361007478.77,463948636.85,500258690.69,577522908.06,269657755.58,260284491.74,988643842.56,975477747.06,1628507252.03,1901644193.64,2034514658.91,2445071026.57,2981125503.86,3677845718.53,4782311242.41,5401921213.77,5824371399.07,5523447166.50
应交税费,163768961.56,237655974.44,321444089.32,415165509.58,592839376.01,910874634.37,811005431.92,407747376.15,256300257.23,140524984.34,419882954.10,788080887.25,2430093461.38,3311880890.49,2105178165.87,2515516156.83,4272289194.57,7726135741.90,10771075966.85,8755949266.98,8919821015.58,11979802144.01,6896555423.83,6949663893.87,7717686541.38,7697169830.69
其他应付款,105580857.90,176692131.93,127453900.02,213109026.89,396044896.52,269348761.11,300028402.49,423495209.82,575906355.73,710831237.05,818880550.55,916123206.95,1389984092.02,1604688158.14,1231886240.35,1423139205.93,1724638571.44,3063362897.47,3404771072.33,3589516599.01,3257245259.42,4124404781.29,4543842833.87,5213133685.87,5429006700.86,5298261266.22
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,104319886.87,109351155.28,57054879.48,111951112.20,44206237.05
其他流动负债,,,,,,,,,,,,,,,,,,,,,1609801368.51,1535976293.22,1979272808.90,1822498012.30,1222693799.51,994959710.24
流动负债合计,825076621.86,925757031.17,1056171094.03,1485541719.92,2156645236.84,2895201383.07,3402941549.05,2112616070.01,4250769540.40,5108057753.51,7028190246.07,9480719364.12,9526402556.21,11307288403.79,10543844383.51,20051723001.48,37020425425.69,38574919400.00,42438186813.48,41093299212.84,45673669912.95,57914222254.82,49065668798.38,48697611501.20,56515990618.96,49610476817.81
长期应付款/专项应付款,,,,300000.00,300000.00,0,,,,10000000.00,10000000.00,16770000.00,17770000.00,17770000.00,17770000.00,15570000.00,15570000.00,15570000.00,,,,,,,,
租赁负债,,,,,,,,,,,,,,,,,,,,,,296466199.74,334447942.79,266636234.04,313906415.76,189504942.77
递延所得税负债,,,,,,,,,,,,,,,,,,,,72692601.01,1457513.23,,162628090.99,78943062.19,103367763.38,75608351.79
非流动负债合计,,,,300000.00,300000.00,0,,,,10000000.00,10000000.00,16770000.00,17770000.00,17770000.00,17770000.00,15570000.00,15570000.00,15570000.00,,72692601.01,1457513.23,296466199.74,497076033.78,345579296.23,417274179.14,265113294.56
负债合计,825076621.86,925757031.17,1056171094.03,1485841719.92,2156945236.84,2895201383.07,3402941549.05,2112616070.01,4250769540.40,5118057753.51,7038190246.07,9497489364.12,9544172556.21,11325058403.79,10561614383.51,20067293001.48,37035995425.69,38590489400.00,42438186813.48,41165991813.85,45675127426.18,58210688454.56,49562744832.16,49043190797.43,56933264798.10,49875590112.37
实收资本,185000000.00,250000000.00,275000000.00,275000000.00,393250000.00,471900000.00,943800000.00,943800000.00,943800000.00,943800000.00,943800000.00,1038180000.00,1038180000.00,1038180000.00,1141998000.00,1256197800.00,1256197800.00,1256197800.00,1256197800.00,1256197800.00,1256197800.00,1256197800.00,1256197800.00,1256197800.00,1256197800.00,1252270215.00
资本公积,88432681.62,2039189510.54,2014320830.54,2014484980.54,1923937320.54,1846119450.61,1374449260.61,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1374964415.72,1577095.18
减:库存股(正数),,,,,,,,,,,,,,,,,,,,,,,,,,120112601.53
其他综合收益,,,,,,,,,,,,,,,-619043.99,-13034075.47,-11240841.56,-7401576.40,-7065725.70,-7198721.79,-5331367.75,-13017880.78,-10776907.33,-6061727.51,-9916224.69,-5778843.62
盈余公积,63435431.12,163612517.12,275187832.04,424392228.41,648560928.30,967252340.82,620731198.51,838320965.63,1001133829.72,1585666147.40,2176754189.47,2640916373.35,3036434460.46,4220803927.18,5249407234.62,6210524497.54,7135649963.12,8215595509.69,13444221244.84,16595699037.02,20174922608.93,25142832818.16,32520123399.97,38998763095.13,46635793479.39,50543176610.94
一般风险准备,,,,,,,,,,,,,,13296286.27,98594502.17,218146303.43,420758409.36,600859229.62,788302643.63,898349936.77,927577822.67,1061529724.00,1061529724.00,1061529724.00,1061529724.00,1061529724.00
未分配利润,105552620.23,78113637.14,287721821.69,634515263.59,1006775560.89,1665055777.74,3124438547.34,5077020374.58,7924671271.03,10561552279.69,13903255455.61,19937119181.96,28700075247.50,35974971858.64,45566057337.37,54878964497.77,62717808036.61,80011307450.33,95981943953.56,115892337407.39,137594403807.99,160716861920.19,161278002807.10,172983178300.09,182787415205.05,191905148832.21
归母权益合计,442420723.97,2530915664.80,2852230484.27,3439142472.54,4169148809.73,5091897569.17,6063419006.46,8234105755.93,11244569516.47,14465982842.81,18398774060.80,24991179971.03,34149654123.68,42622216487.81,53430402446.09,63925978438.99,72894137783.25,91451522828.96,112838564332.05,136010349875.11,161322735087.56,189539368797.29,197480041239.46,215668571607.43,233105984399.47,244637811032.18
少数股东权益,1358890.07,6716039.01,22503488.42,31381618.39,47558937.00,70497512.35,104433023.91,134750014.51,258848779.48,185582551.40,150615633.82,412199640.26,1304382273.57,1506875785.45,1881148395.03,2308191982.30,3004405071.47,4568104646.12,4569923590.48,5866030353.54,6397948013.72,7418137908.05,7458040024.40,7987897687.39,8905330721.13,9321442876.89
所有者权益合计,443779614.04,2537631703.81,2874733972.69,3470524090.93,4216707746.73,5162395081.52,6167852030.37,8368855770.44,11503418295.95,14651565394.21,18549389694.62,25403379611.29,35454036397.25,44129092273.26,55311550841.12,66234170421.29,75898542854.72,96019627475.08,117408487922.53,141876380228.65,167720683101.28,196957506705.34,204938081263.86,223656469294.82,242011315120.60,253959253909.07
