项目,2021,2022,2023,2024,2025
境内水电营收(亿元),487.52,435.99,690.46,744.79,756.62
境外隐含营收(亿元)[=主营-境内水电],58.88,72.42,87.94,98.06,103.23
主营业务收入(亿元),546.4,508.41,778.4,842.85,859.85
其他业务收入(亿元),10.06,12.2,2.71,2.07,2.57
营业收入合计(亿元),556.46,520.6,781.12,844.92,862.42
境内水电成本(亿元),165.64,169.01,269.48,279.21,258.82
境内水电毛利率(%),66.0,61.2,61.0,62.5,65.8
主营业务毛利率(%),62.4,57.5,57.8,59.2,61.7
主营业务收入占合计(%),98.2,97.7,99.7,99.8,99.7
境外隐含占主营(%),10.8,14.2,11.3,11.6,12.0
数据单位,亿元(人民币),亿元(人民币),亿元(人民币),亿元(人民币),亿元(人民币)
附注61页码,p.169 (2021年报),p.180 (2022年报) [原口径，不含云川],p.199 (2023年报) [含云川],p.186 (2025年报上期=2024),p.186 (2025年报)
境内水电页码,p.17 (2021年报),p.18 (2022年报),p.18 (2023年报),p.17 (2024年报),p.18 (2025年报)

--- 说明 ---
1. 境外隐含营收=主营业务收入−境内水电营收，为推算值，非年报直接列示
2. 境内水电含：三峡、葛洲坝、溪洛渡、向家坝、乌东德、白鹤滩六库
3. 境外主要为：秘鲁Luz del Sur(配电)及新能源子公司；2024起新增秘鲁风电(三姐妹/马科纳)
4. 2022年原口径(不含云川)，2023年起含云川追溯，两年口径不连续，比较需注意
5. 2022年追溯后主营=686.74亿，合计=688.63亿(来自2023年报上期)
6. 长江电力不披露报告分部(附注：分部信息=不适用，单一报告主体)
7. 境内水电数据来自MD&A「报告期内电量、收入及成本情况」表
