科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
营业总收入,7049156165.69,8735391685.41,8807092497.47,11015033923.14,21880246303.77,20700377511.27,25781971164.74,22697637374.02,26897792646.45,24239072675.51,48939388714.62,50146848575.09,51213965746.52,49874086874.95,57783367039.83,55646253991.83,52060482557.85,78111573265.75,84491870566.52,86241940222.2
营业收入,7049156165.69,8735391685.41,8807092497.47,11015033923.14,21880246303.77,20700377511.27,25781971164.74,22697637374.02,26897792646.45,24239072675.51,48939388714.62,50146848575.09,51213965746.52,49874086874.95,57783367039.83,55646253991.83,52060482557.85,78111573265.75,84491870566.52,86241940222.2
营业总成本,,,,7096163906.65,13455072693.1,13431444454.28,15348766845.2,14356302488.14,14414802011.57,13555767336.39,27930753521.54,27470583726.11,27290622111.5,25959547802.9,28776077425.53,28577669866.81,29011909646.66,49445205037.45,50268818794.54,48766372374.15
营业成本,2090246041.52,2649839477.74,3411160683.31,4615913961.88,8335441015.94,8421964094.83,9358595845.79,9534640937.56,9925854761.8,9798465517.46,19237995018.65,19453733721.49,19005155553.67,18697294123.93,21149454266.44,21113077634.36,22232888528.67,32942554525.43,34528346186.67,33057840034.77
税金及附加,109166006.6,134002744.04,140590936.86,194962678.73,343884425.81,337837904.03,489695963.02,403232176.21,501123970.62,515858488.5,1073661566.84,1056013345.97,1288501782.23,1168814152.25,1192929347.63,1163620190.6,1071970761.28,1601621053.93,1968013144.28,3318838177.83
销售费用,1565333.27,2188336.27,1435538.3,7598509.38,10556620.56,10448937.2,8321752.36,7357565.45,7480819.44,4661225.11,8087389.77,19125791.6,25031690.5,27792136.69,115417318.42,150419652.08,165177033.72,192385627.7,188142529.94,234079316.4
管理费用,252785560.55,309688486.8,315638633.41,423907497.92,459138588.93,430446568.89,559105905.03,542481061.64,534126074.66,512157396.87,825185989.22,840437293.46,800645932.82,813629745.43,1292798651.45,1359765980.97,1360283180.14,1363314584.28,1562254125.03,1617349026.38
研发费用,,,,,,,,,,,,,42489564.24,41066919.32,39568009.51,39416834.88,89655150.76,788922297.3,890719278.34,1166892834.72
财务费用,707201967.86,865544709.62,901765868.32,1851571423.25,4305086271.59,4224411738.1,4634057813.84,3787181195.38,3404472516.95,2849691296.8,6679348670.32,5896659769.17,5853945835.19,5210950725.28,4985909832.08,4751369573.92,4091934992.09,12556406948.81,11131343530.28,9371372984.05
利息费用,,,,,,,,,,,,,5922238642.38,5200957545.39,5166955172.6,4802658407.18,4274748808.5,12738346150.84,11327295992.21,9508718717.67
利息收入,,,,,,,,,,,,,75978656.86,71556891.3,100213191.69,117069848.87,167046500.76,239117604.62,204614382.09,148748619.61
其他收益,,,,,,,,,,,,2290638487.36,718125034.37,2606789.45,5886834.66,3874035.47,3152980.56,5195377.86,6617497.4,19576677.6
投资收益,870032171.63,2094768034.1,439191751.1,1109740543.05,357905466.01,1116515809.05,1018258561.61,1361482318.32,1065876003.69,2211001759.55,1334188678.05,2311700052.64,2707047532.57,3074753621.99,4052756076.57,5425670105.27,4600135961.66,4750167222.45,5257616386.94,4958543639.59
对联营合营企业投资收益,32667676.94,511867821.98,48858537.96,427607513.14,104630131.73,548043346.73,630159907.5,846060945.11,723546184.88,1033282895.34,970291705.05,1142841155.81,1448835963.6,2077234391.59,3182977402.41,2801782313.06,3534235036.26,4231318849.65,4356080236.09,4616346514.82
公允价值变动收益,-11667360.56,,,-19541.89,-167058.11,40800.0,2600.0,-1600.0,0.0,77390.0,-66123492.0,-164323157.23,36493396.71,-26947041.04,-172887058.21,335482723.94,-385326649.11,-162878350.58,211841059.71,1677224276.91
