科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
销售商品、提供劳务收到的现金,14959320540.75,17071830717.07,22452647041.96,24711767769.51,25369522411.53,24658977802.39,30535202648.07,26507219988.82,30934580303.26,28286619195.24,57256635482.06,58277210212.78,60109682551.25,56423104095.88,65699895013.35,62861271803.49,58947811679.22,96235638511.89,94910070204.68,100209596636.52
收到的税费返还,619805757.55,742223752.83,725449252.56,810591465.93,1846780565.23,1719639030.76,2135704708.55,1995021463.32,1880688022.24,2045261247.21,2870679180.56,2290638487.36,598288870.92,,,,6152331.77,4285513.8,5496922.7,97650.0
收到其他与经营活动有关的现金,20765196.33,39950110.72,32655009.21,81841875.36,23842333.2,78586922.09,34125140.38,499425988.29,270001860.32,68395686.37,234185536.21,145752628.57,132341239.42,196076781.07,528865293.99,701153868.69,478846159.95,586942968.83,584335658.49,553043300.05
经营活动现金流入小计,15599891494.63,17854004580.62,23210751303.73,25604201110.8,27240145309.96,26457203755.24,32705032497.0,29001667440.43,33085270185.82,30400276128.82,60361500198.83,60713601328.71,60840312661.59,56619180876.95,66228760307.34,63562425672.18,59432810170.94,96826866994.52,95499902785.87,100762737586.57
购买商品、接受劳务支付的现金,6838575905.49,8570263901.45,12950035707.82,13118656293.52,2492081270.2,2220742199.42,2435407895.87,2119793239.23,2391783453.94,2412339634.8,6138261726.5,5587330639.12,5415244449.06,4970935679.15,9499436962.27,11095390713.22,9757585888.03,12512870985.71,13309731883.77,14327553334.02
支付给职工及为职工支付的现金,300035388.08,405584819.64,443672744.91,772790038.89,903901445.38,1070561095.74,1241061196.53,1388183797.04,1540726214.27,1593857002.34,1733924945.78,1781023829.38,1550359853.36,1681923377.15,2610978872.63,2803197556.38,3118714783.07,3346294697.71,3561463812.22,3988336983.09
支付的各项税费,3360689111.46,3800943414.91,3091228439.56,3308304203.82,6268293002.88,6615039959.22,7210856037.96,7209874090.28,7703356459.13,8515300599.19,13262996901.53,13288208533.14,13430690798.93,12971173075.6,12180759493.47,13123193534.72,14722677273.15,14759789231.64,17521925470.26,20160836248.88
支付其他与经营活动有关的现金,109598437.51,153263718.39,132620303.3,215229898.46,249867276.13,1100829222.86,356910962.1,192397380.05,150510889.07,161813997.39,236485430.72,363873260.58,707351145.43,530729174.77,900720578.57,808182134.6,921099996.57,1489191637.71,1458313335.4,1723085450.17
经营活动现金流出小计,10608898842.54,12930055854.39,16617557195.59,17414980434.69,9914142994.59,11007172477.24,11244236092.46,10910248506.6,11786377016.41,12683311233.72,21371669004.53,21020436262.22,21103646246.78,20154761306.67,25191895906.94,27829963938.92,28520077940.82,32108146552.77,35851434501.65,40199812016.16
经营活动产生的现金流量净额,4990992652.09,4923948726.23,6593194108.14,8189220676.11,17326002315.37,15450031278.0,21460796404.54,18091418933.83,21298893169.41,17716964895.1,38989831194.3,39693165066.49,39736666414.81,36464419570.28,41036864400.4,35732461733.26,30912732230.12,64718720441.75,59648468284.22,60562925570.41
