科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
毛利率(%),70.35,69.67,61.27,58.09,61.9,59.31,63.7,57.99,63.1,59.58,60.69,61.21,62.89,62.51,63.4,62.06,57.29,57.83,59.13,61.67
净利率(%),51.29,61.5,44.63,41.93,37.59,37.2,40.15,39.97,43.98,47.53,42.78,44.42,44.21,43.24,45.87,47.6,41.58,35.79,38.97,40.52
归母净利率(%),51.29,61.5,44.63,41.92,37.59,37.2,40.15,39.96,43.98,47.53,42.46,44.39,44.15,43.2,45.51,47.21,40.93,34.87,38.46,40.01
"ROE(归母÷归母权益,%)",12.5,13.02,10.46,7.46,12.43,11.28,13.82,11.6,13.73,12.61,16.21,16.48,15.9,14.41,15.28,14.51,11.49,13.53,15.45,15.59
财务费用/营收(%·高杠杆),10.03,9.91,10.24,16.81,19.68,20.41,17.97,16.69,12.66,11.76,13.65,11.76,11.43,10.45,8.63,8.54,7.86,16.07,13.17,10.87
税金及附加/营收(%),1.55,1.53,1.6,1.77,1.57,1.63,1.9,1.78,1.86,2.13,2.19,2.11,2.52,2.34,2.06,2.09,2.06,2.05,2.33,3.85
投资收益/利润总额(%·参股贡献),16.17,27.59,8.47,18.5,3.29,11.05,7.5,11.61,6.92,14.81,5.3,8.67,10.02,11.55,12.49,16.74,17.48,14.66,13.53,11.88
对联营合营投资收益/利润总额(%),0.61,6.74,0.94,7.13,0.96,5.42,4.64,7.21,4.7,6.92,3.86,4.29,5.36,7.8,9.81,8.64,13.43,13.05,11.21,11.06
营业外收入/利润总额(%·政策补偿),11.81,9.8,13.99,16.29,19.46,17.05,15.75,17.56,12.33,13.73,11.57,0.0,0.04,0.11,0.16,0.09,0.01,0.25,0.01,0.08
经营现金流/净利润(现金含量),1.381,0.917,1.677,1.773,2.106,2.006,2.073,1.994,1.8,1.538,1.862,1.782,1.755,1.691,1.548,1.349,1.428,2.315,1.811,1.733
capex/净利润(%),-6.42,-197.14,-3.42,-511.26,-139.95,-101.67,-39.29,-8.5,-7.19,-4.0,-10.76,-11.48,-13.77,-12.6,-13.69,-13.12,-22.5,-43.76,-43.79,-52.9
capex/经营现金流(%),-4.65,-215.1,-2.04,-288.37,-66.44,-50.68,-18.95,-4.26,-3.99,-2.6,-5.78,-6.44,-7.85,-7.45,-8.84,-9.72,-15.76,-18.9,-24.18,-30.53
资产负债率(%),39.29,35.86,34.94,61.78,57.98,56.91,51.76,47.74,41.4,35.66,57.0,54.74,51.71,49.4,46.1,42.08,40.19,62.88,60.79,58.27
有息负债/总资产(%),29.95,29.24,28.31,51.86,55.52,55.34,41.92,39.5,34.45,31.32,29.6,31.45,29.87,31.1,30.21,30.49,33.97,55.0,52.45,51.41
归母/净利润(%·少数股东leak),100.0,100.0,100.0,99.96,99.99,99.99,99.99,99.99,100.0,100.0,99.25,99.94,99.86,99.89,99.21,99.2,98.43,97.43,98.68,98.72
固定资产/总资产(%),70.12,65.7,70.06,87.42,86.21,86.93,87.19,86.68,84.42,83.7,87.58,83.4,80.51,76.33,69.86,66.57,64.58,77.79,76.04,74.49
长期股权投资/总资产(%),2.78,9.44,11.53,4.57,4.85,4.56,5.72,5.88,6.59,7.86,4.38,5.4,7.27,13.58,15.24,18.48,20.52,12.53,12.95,13.4
应收账款/营收(%),15.81,11.5,17.58,11.68,6.16,6.32,5.61,6.2,6.75,6.8,6.36,6.41,5.13,5.9,6.32,6.77,8.44,10.9,11.04,8.41
分配股利利润偿息/归母(%·含息近似分红率),-58.84,-56.07,-95.8,-81.7,-96.04,-109.19,-85.1,-103.71,-68.36,-79.47,-83.47,-88.01,-83.79,-86.54,-73.36,-76.15,-105.79,-130.96,-97.35,-99.1
