科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
货币资金,2523168579.41,2798395702.9,2470511389.32,2114161995.11,1900554737.06,3755934348.99,1548164052.27,2263824278.48,3113736735.76,3855882291.2,3379074909.02,5201453446.62,5336881040.54,7323452880.02,9231213791.79,9929980061.69,9302181506.57,7778439308.63,6555341578.63,4585856068.06
交易性金融资产,,,,1001976848.11,1739200.0,1780000.0,1782600.0,,,,,,,,,,,,,
应收票据,85000000.0,919000000.0,,1127980059.96,1194272979.06,755812800.0,161014934.0,,,,,,,,,,,,,
应收账款,1114355979.03,1004407556.99,1548683396.61,1286103701.07,1348817479.63,1309061934.0,1446769674.42,1406423880.07,1816250436.4,1648153422.24,3110657083.26,3213100306.64,2626073799.8,2944436813.72,3650048602.74,3768258804.36,4396341092.97,8510343962.88,9326624055.45,7251847539.23
应收款项融资,,,,,,,,,,,,,,,,,,,,
预付款项,24380939.58,18928892.43,28271274.3,33631159.51,4943598.46,16399134.9,74252974.17,19007190.34,9113703.48,7000399.48,34519815.24,30042910.75,10236070.68,14453284.98,48859512.5,93606544.48,65664625.3,77013625.36,87364481.2,193198601.5
其他应收款,15596876.75,3360683.83,1446557.53,19443246.02,15659290.86,1301617395.8,996594443.4,627677594.49,377995765.55,61932323.95,665944648.98,194463126.77,79980202.1,68071011.56,497300115.36,628719306.5,834628652.38,301159472.92,322992759.32,344774687.24
存货,175305547.45,180474066.16,203074616.97,274181751.61,312617483.08,331504152.59,422332878.03,450957055.5,427754155.45,402135272.59,438880908.13,257031170.41,219192463.11,222400775.52,282060444.83,470031320.31,453397486.64,586548003.46,641979948.58,836598890.26
其他流动资产,,,,,1600060240.0,,,,,,1338292967.04,1054153686.4,1208912001.01,459771956.64,948456661.57,3032334387.33,249852773.42,408563789.48,255680295.5,576004883.36
流动资产合计,3937807922.22,4924566902.31,5319379768.82,5857492347.69,6559663717.22,7858520238.34,4650911556.29,5058244190.24,5855320796.64,6094577364.02,9075069221.83,10187179278.29,9484945377.24,11035146722.44,14675612128.79,17923455064.88,15302344281.72,17694530450.82,17189983118.68,13788280669.65
