# 阿迪达斯 合并利润表（IFRS/IAS）｜单位：€ 百万（1994-1999 由 DM 按 1 EUR=1.95583 DM 折算）｜空=该期财报无此科目(非 0)｜真源：report/阿迪达斯/*.pdf
科目,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
营业收入,1634.3,1789.6,2407.9,3424.8,5065.4,5353.9,5834.8,6112.3,6523.4,6266.8,6478.1,6635.6,10084,10299,10799,10381,11990,13344,14883,14492,14534,16915,19291,21218,21915,23640,19844,21234,22511,21427,23683,24811
营业成本,1050.8,1079.3,1448.4,1988.3,2941.6,3001.9,3306.9,3511.2,3704.3,3453.1,3419.9,3438.6,5589,5417,5543,5669,6260,7000,7780,7352,7610,8748,9912,10514,10552,11347,9990,10469,11867,11244,11658,12006
毛利,583.5,710.4,959.5,1436.5,2123.9,2352.1,2527.9,2601.2,2819.2,2813.7,3058.2,3197.1,4495,4882,5256,4712,5730,6344,7103,7140,6924,8168,9379,10703,11363,12293,9855,10765,10644,10184,12026,12804
特许权及佣金收入,49.6,51.3,49.5,43.6,44.7,34.7,43.1,42.1,46.0,42.2,43.2,47.2,90,102,89,86,100,93,105,104,102,119,109,115,129,154,83,86,112,83,81,81
销售管理及一般费用,516.0,559.9,743.6,1088.2,1654.4,1807.3,2012.3,2036.5,2245.4,2228.1,2376.3,2425.3,,,,,,,,,,,,,,,,,,,,
折旧摊销,21.6,26.3,31.8,41.0,92.8,63.3,78.8,90.0,97.1,95.5,101.8,111.5,,,,,,,,,,,,,,,,,,,,
其他经营损益净额,,,,,,,,,,,,,3704,4035,,,,,,,,,,,,,,,,,,
其他经营收益,,,,,,,,,,,,,,,103,100,110,98,127,143,138,96,266,133,48,56,42,28,173,71,174,41
其他经营费用,,,,,,,,,,,,,,,4378,4390,5046,5524,6150,6133,6203,7289,8263,8882,9172,9843,9229,8892,10260,10070,10945,10871
营销及销售点费用,,,,,,,,,,,,,,,,,,,,,,,,,3001,3042,2573,2547,2763,2528,2841,3079
分销及销售费用,,,,,,,,,,,,,,,,,,,,,,,,,4450,4997,4962,4782,5601,5547,5936,5877
一般及管理费用,,,,,,,,,,,,,,,,,,,,,,,,,1576,1652,1461,1481,1651,1839,2138,1885
杂项费用,,,,,,,,,,,,,,,,,,,,,,,,,105,134,119,76,182,137,44,23
应收及合同资产减值损失净额,,,,,,,,,,,,,,,,,,,,,,,,,41,18,114,6,63,19,-15,7
商誉摊销,,,,,,39.0,39.5,40.4,45.4,44.8,46.4,,,,,,,,,,,,,,,,,,,,,
商誉减值损失,,,,,,,,,,,,,,,,,,,265,52,78,34,0,,,,,,,,,
经营利润,46.0,124.2,184.2,307.3,376.8,481.5,436.8,474.8,476.6,490.0,580.2,707.5,881,949,1070,508,894,1011,920,1202,883,1059,1491,2070,2368,2660,751,1986,669,268,1337,2056
财务收益,,,,,,,,,,,,41.6,39,36,37,19,25,31,36,26,19,46,28,46,57,64,29,19,39,79,101,74
财务费用,,,,,,,,,,,,93.7,197,170,203,169,113,115,105,94,67,67,74,93,47,166,204,153,320,282,317,310
财务费用净额,18.5,24.0,6.4,15.9,114.7,83.9,94.0,101.9,87.1,49.2,56.8,,,,,,,,,,,,,,,,,,,,,
