# 阿迪达斯 合并现金流量表（IFRS/IAS）｜单位：€ 百万（1994-1999 由 DM 按 1 EUR=1.95583 DM 折算）｜空=该期财报无此科目(非 0)｜真源：report/阿迪达斯/*.pdf
科目,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
税前利润,77.1,151.4,227.2,346.1,318.9,398.2,346.6,376.3,390.1,438.2,520.2,655.3,723,815,904,358,806,927,851,1134,835,1039,1444,2023,2378,2558,575,1852,388,65,1121,1820
折旧摊销,22.0,26.9,33.0,41.7,113.6,119.2,132.7,148.0,159.5,155.2,162.4,128.5,217,215,234,299,270,305,676,371,406,429,394,530,576,1099,1180,1145,1245,1245,1208,1154
利息收入,-3.7,-4.8,-4.7,-7.3,-6.3,-7.7,-13.0,-12.1,-8.8,-8.7,-13.9,-36.4,-37,-27,-37,-16,-23,-30,-35,-25,-17,-20,-21,-25,-24,-50,-33,-33,-25,-41,-57,-58
利息费用,19.5,24.2,22.0,24.4,90.7,84.9,108.5,107.8,81.6,67.9,71.3,73.8,184,166,178,138,112,108,97,73,62,65,70,65,42,160,181,111,138,162,221,227
营运资本变动前经营利润,116.6,198.1,269.3,408.1,510.6,575.0,578.0,631.3,681.3,672.8,793.7,763.3,1165,1139,1205,822,1144,1237,1430,1542,1267,1527,1859,2534,2808,3767,2144,3135,1966,1514,2453,3190
已付利息,-19.7,-23.9,-24.6,-23.4,-86.8,-84.8,-105.3,-110.4,-79.1,-60.2,-71.0,-67.6,-158,-161,-176,-131,-111,-113,-90,-68,-59,-55,-46,-65,-40,-156,-157,-111,-140,-163,-217,-220
已付所得税,-13.5,-21.2,-23.3,-70.5,-117.4,-152.0,-145.0,-112.0,-167.6,-120.3,-206.0,-159.4,-297,-255,-346,-262,-235,-314,-380,-394,-284,-386,-439,-556,-815,-692,-404,-444,-424,-307,-236,-399
经营活动现金流净额_持续经营,,,,,,,,,,,,379.9,762,,,,,,,,694,1086,1348,1641,2666,2828,1489,2873,-458,2630,,
经营活动现金流净额_终止经营,,,,,,,,,,,,-27.8,0,,,,,,,,7,3,-1,6,-20,-9,-3,320,-85,0,,
经营活动现金流净额,58.5,67.0,102.5,39.8,119.9,328.4,-10.4,384.1,534.1,651.0,573.3,352.1,762,780,497,1198,894,792,942,634,701,1090,1348,1648,2646,2819,1486,3192,-543,2630,2910,751
购置物业厂房及设备,-20.4,-29.9,-37.8,-46.4,-97.0,-101.3,-124.8,-159.7,-114.1,-109.7,-116.8,-187.5,-202,-230,-316,-195,-227,-318,-376,-427,-499,-464,-586,-678,-611,-598,-379,-494,-504,-363,-419,-363
投资活动现金流净额,-27.1,-72.6,-57.3,-548.1,-781.6,-133.2,-120.4,-176.9,-324.9,-238.0,-359.9,439.6,-2988,-285,-444,-162,-330,-566,-217,-243,-537,-591,-614,-680,-636,-925,-115,-424,495,-450,-356,-404
支付股东股利,,,-5.8,-25.5,-38.3,-38.3,-41.7,-41.7,-41.7,-45.4,-45.5,-59.6,-66,-85,-99,-97,-73,-167,-209,-282,-314,-303,-320,-405,-528,-664,0,-585,-610,-125,-125,-357
回购库存股,,,,,,,,,,,,,,,-409,,,,,,-300,-301,-218,-85,-1000,-809,-257,-1000,-2500,0,0,0
股本发行所得,,,,,,,,,,,,638.9,,,,,,,,,,,,,,,,,,,,
租赁负债偿还,,,,,,,,,,,,,,,,,,,,,,,,,,-597,-611,-572,-631,-603,-656,-643
融资活动现金流净额,-32.3,7.6,-23.5,503.0,681.5,-180.6,165.0,-229.0,-206.8,-273.8,-205.3,514.4,1035,-510,-106,-512,-238,-491,42,-439,-118,-691,-553,-769,-951,-2273,479,-2991,-2963,-1425,-1559,-1103
恶性通胀影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,,
汇率影响,-0.9,-0.8,0.3,-5.2,-0.4,2.7,1.4,2.2,-11.5,-17.1,-1.6,22.9,-23,-1,2,7,55,15,-3,-35,50,-126,-35,-111,-29,-30,-75,57,-19,-40,29,-82
现金净变动,-1.7,1.1,22.1,-10.4,19.3,17.3,35.6,-19.7,-9.0,122.0,6.5,1328.9,-1214,-16,-51,531,381,-250,764,-83,96,-318,145,88,1031,-410,1774,-165,-3031,633,1024,-838
期初现金,21.5,19.8,20.9,42.9,32.5,51.8,69.1,104.7,85.0,67.5,189.5,196.0,1525,311,295,244,775,1156,906,1670,1587,1683,1365,1510,1598,2629,2220,3994,3828,798,1431,2455
期末现金,19.8,20.9,42.9,32.5,51.8,69.1,104.7,85.0,76.0,189.5,196.0,1524.9,311,295,244,775,1156,906,1670,1587,1683,1365,1510,1598,2629,2220,3994,3828,798,1431,2455,1617
数据来源,1996年报P43(1994列),1996年报P43(1995列),1996年报P43,1997年报P33,1998年报P39(第1列),1999年报P44,2000年报P64-65,2002年报P115(比较列),2002年报P115,2003年报P123,2004年报P129,2005年报P126-127,2006年报P147,2007年报P154-155,2008年报P154-155,2009年报P169,2010年报P187,2011年报04.5,2012年报04.5,2013年报04.5,2014年报P194,2015年报,2016年报,2017年报P155-156,2018年报P153-154(已付利息改列融资),2019年报P139-140(首次适用 IFRS16),2020年报P199-200,2021年报P217-218,2022年报P188-190,2023年报P194-196,2024年报P363-364,2025年报P314
