# 单位：比率为倍数(1=100%)、天数为天、金额为 € 百万、EPS 为 €/股；空 = 所需分项该年不可得。**全部为派生值**，年报不直接给。
# 分母口径写在行名里。ROE/ROA 用期初期末平均，故 1994(无期初)为空；1994-1997 年报未单列应收账款（与其他流动资产合并），故 DSO 等自 1999 起。
# 🔴 跨年读之前必看 README「口径断点清单」：2005/2016-17/2021 三次业务剥离令营收口径收窄；2019 首次适用 IFRS 16；2018 已付利息改列融资活动；2006-06 一拆四（每股数据请用【复权】两行）。
科目,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
毛利率 Gross margin,0.357,0.397,0.3985,0.4194,0.4193,0.4393,0.4332,0.4256,0.4322,0.449,0.4721,0.4818,0.4458,0.474,0.4867,0.4539,0.4779,0.4754,0.4773,0.4927,0.4764,0.4829,0.4862,0.5044,0.5185,0.52,0.4966,0.507,0.4728,0.4753,0.5078,0.5161
经营利润率 Operating margin,0.0281,0.0694,0.0765,0.0897,0.0744,0.0899,0.0749,0.0777,0.0731,0.0782,0.0896,0.1066,0.0874,0.0921,0.0991,0.0489,0.0746,0.0758,0.0618,0.0829,0.0608,0.0626,0.0773,0.0976,0.1081,0.1125,0.0378,0.0935,0.0297,0.0125,0.0565,0.0829
净利率(归母/营收) Net margin,0.0367,0.07,0.0667,0.0694,-0.0325,0.0425,0.0311,0.0341,0.035,0.0415,0.0485,0.0577,0.0479,0.0535,0.0594,0.0236,0.0473,0.0503,0.0353,0.0543,0.0337,0.0375,0.0527,0.0517,0.0777,0.0836,0.0218,0.0997,0.0272,-0.0035,0.0323,0.054
实际所得税率 Effective tax rate,0.2036,0.1446,0.2403,0.2745,0.3296,0.3842,0.4028,0.3904,0.3791,0.3804,0.3781,0.3371,0.314,0.319,0.2876,0.3156,0.2953,0.2772,0.3843,0.3034,0.3246,0.3397,0.295,0.3302,0.2813,0.2502,0.2539,0.1944,0.3454,1.9077,0.2649,0.2434
营销及销售点费用率 Marketing & POS / revenue,,,,,,,,,,,,,,,,,,,,,,,,,0.1369,0.1287,0.1297,0.1199,0.1227,0.118,0.12,0.1241
分销及销售费用率 Distribution & selling / revenue,,,,,,,,,,,,,,,,,,,,,,,,,0.2031,0.2114,0.2501,0.2252,0.2488,0.2589,0.2506,0.2369
一般及管理费用率 G&A / revenue,,,,,,,,,,,,,,,,,,,,,,,,,0.0719,0.0699,0.0736,0.0697,0.0733,0.0858,0.0903,0.076
ROE(归母净利/平均归母权益) Return on equity,,,0.4242,0.4121,-0.285,0.3984,0.243,0.2279,0.2181,0.2134,0.2106,0.1775,0.1753,0.1883,0.2003,0.0685,0.1352,0.135,0.099,0.1458,0.0882,0.1123,0.1676,0.1698,0.2654,0.3,0.0652,0.3029,0.0978,-0.0157,0.1519,0.2382
ROA(合并净利/平均总资产) Return on assets,,,0.1595,0.1455,0.0792,0.0722,0.0544,0.0559,0.0574,0.0643,0.0751,0.0767,0.0702,0.0665,0.0721,0.0266,0.0583,0.0609,0.0455,0.068,0.0413,0.0497,0.0715,0.0741,0.1131,0.1089,0.0212,0.0999,0.0301,-0.0007,0.043,0.0677
归母/合并净利 Attributable to shareholders / net income,0.9756,0.9668,0.9305,0.9466,-0.7694,0.9286,0.8778,0.9089,0.9435,0.958,0.9713,0.9803,0.9738,0.9928,0.9969,1.0,0.9982,1.0015,1.0038,0.9962,0.9879,0.9906,0.9971,0.9973,0.9988,0.9995,0.9752,0.9805,0.9592,5.3571,0.9183,0.9675
持续经营净利/合并净利 Continuing ops / net income,,,,,,,,,,,,1.1127,1.0,,,,,,,,1.1371,1.0719,0.999,1.2309,1.0029,0.9702,0.9684,0.6914,0.3981,4.1429,0.9904,0.9942
现金含量 经营现金流/合并净利,0.9512,0.5174,0.5939,0.1585,0.5608,1.3393,-0.0502,1.6744,2.2043,2.3978,1.7722,0.9019,1.5363,1.4054,0.7717,4.8898,1.5739,1.1821,1.7977,0.8025,1.4133,1.7031,1.3216,1.4982,1.5528,1.4259,3.3544,1.4791,-0.8511,-187.8571,3.4976,0.5422
现金含量 经营现金流/归母净利,0.975,0.5351,0.6382,0.1674,-0.7289,1.4422,-0.0572,1.8422,2.3364,2.5029,1.8246,0.92,1.5776,1.4156,0.7741,4.8898,1.5767,1.1803,1.7909,0.8056,1.4306,1.7192,1.3255,1.5023,1.5546,1.4266,3.4398,1.5085,-0.8873,-35.0667,3.8089,0.5604
应收账款增速−营收增速(pp) ΔAR% − ΔRev%,,,,,,23.1593,0.7186,5.8433,-3.5739,-12.8995,-6.0506,-10.2206,-5.3057,0.9775,6.4543,-8.1367,1.1555,-8.8932,-12.6463,9.7954,7.2834,-11.0894,-6.6773,-4.7618,1.1643,0.6895,-9.5806,4.4195,10.2619,-19.8188,16.0714,4.3958
应收账款周转天数 DSO,,,,,,62.5332,67.7478,71.2497,71.2246,68.9544,59.7637,55.3116,43.0696,50.9278,52.1018,53.6723,47.1243,46.1447,41.6306,44.0383,47.1506,43.103,40.1971,38.8344,39.4147,38.9318,42.0935,35.4704,38.136,37.7742,33.282,37.1238
存货周转天数 DIO,,,124.4009,126.4365,111.4071,122.7873,129.0949,133.429,121.3448,124.3797,123.7461,126.6025,92.6378,109.0216,119.3181,111.5796,104.6605,119.9546,116.5373,127.0947,123.7451,117.6403,126.6011,129.4025,123.4366,121.1091,154.9515,146.5369,153.511,170.3918,148.9368,164.4871
应付账款周转天数 DPO,,,57.1919,56.9997,44.955,52.4051,56.2969,60.3967,63.9585,66.6346,63.1831,67.7117,46.8936,53.9381,68.0548,76.7472,83.3786,93.3357,86.2301,89.7358,83.384,76.6884,83.2224,77.6068,73.9374,80.466,93.0403,81.6535,80.0004,84.1409,84.0959,91.2956
现金转换周期 CCC = DSO+DIO−DPO,,,,,,132.9153,140.5458,144.282,128.6109,126.6995,120.3267,114.2024,88.8138,106.0113,103.3651,88.5048,68.4062,72.7636,71.9377,81.3971,87.5117,84.0549,83.5758,90.6301,88.9138,79.5749,104.0046,100.3538,111.6466,124.0251,98.1229,110.3153
capex(购置PP&E)/合并净利 Capex / net income,0.3317,0.2309,0.219,0.1848,0.4537,0.4131,0.6029,0.6962,0.4709,0.4041,0.3611,0.4803,0.4073,0.4144,0.4907,0.7959,0.3996,0.4746,0.7176,0.5405,1.006,0.725,0.5745,0.6164,0.3586,0.3025,0.8555,0.2289,0.79,-25.9286,0.5036,0.2621
capex/经营现金流 Capex / OCF,0.3487,0.4463,0.3688,1.1658,0.809,0.3085,-12.0,0.4158,0.2136,0.1685,0.2037,0.5325,0.2651,0.2949,0.6358,0.1628,0.2539,0.4015,0.3992,0.6735,0.7118,0.4257,0.4347,0.4114,0.2309,0.2121,0.255,0.1548,-0.9282,0.138,0.144,0.4834
capex/营收 Capex / revenue,0.0125,0.0167,0.0157,0.0135,0.0191,0.0189,0.0214,0.0261,0.0175,0.0175,0.018,0.0283,0.02,0.0223,0.0293,0.0188,0.0189,0.0238,0.0253,0.0295,0.0343,0.0274,0.0304,0.032,0.0279,0.0253,0.0191,0.0233,0.0224,0.0169,0.0177,0.0146
自由现金流 FCF = 经营现金流 − capex(€mn),38.1,37.1,64.7,-6.6,22.9,227.1,-135.2,224.4,420.0,541.3,456.5,164.6,560.0,550.0,181.0,1003.0,667.0,474.0,566.0,207.0,202.0,626.0,762.0,970.0,2035.0,2221.0,1107.0,2698.0,-1047.0,2267.0,2491.0,388.0
折旧摊销/营收 D&A / revenue,0.0135,0.015,0.0137,0.0122,0.0224,0.0223,0.0227,0.0242,0.0245,0.0248,0.0251,0.0194,0.0215,0.0209,0.0217,0.0288,0.0225,0.0229,0.0454,0.0256,0.0279,0.0254,0.0204,0.025,0.0263,0.0465,0.0595,0.0539,0.0553,0.0581,0.051,0.0465
现金及短期金融资产/总资产,,0.023,0.0342,0.0148,0.0162,0.0193,0.0261,0.0203,0.0178,0.0666,0.1027,0.2758,0.0414,0.0458,0.0404,0.0958,0.1308,0.1205,0.1661,0.1404,0.1359,0.1027,0.0998,0.1104,0.1688,0.1215,0.1897,0.1729,0.0393,0.0813,0.1189,0.0798
存货/总资产,,0.4743,0.4431,0.374,0.304,0.2914,0.322,0.3044,0.2793,0.2778,0.261,0.2139,0.1918,0.1957,0.2093,0.1657,0.1996,0.2181,0.2134,0.2271,0.2034,0.2333,0.248,0.2542,0.2207,0.1975,0.2089,0.1811,0.2943,0.2511,0.2415,0.2878
应收账款/总资产,,,,,0.2501,0.2879,0.282,0.2996,0.3034,0.2567,0.2363,0.1678,0.1689,0.1753,0.1704,0.161,0.157,0.15,0.1449,0.156,0.1567,0.1536,0.145,0.1594,0.1549,0.1269,0.0927,0.0983,0.1246,0.1058,0.1168,0.13
固定资产/总资产,,0.1118,0.0982,0.0639,0.0792,0.0792,0.0772,0.0903,0.0859,0.0823,0.0831,0.0738,0.0822,0.0843,0.0929,0.0815,0.0805,0.0846,0.094,0.1067,0.1171,0.1228,0.1262,0.1377,0.1433,0.1151,0.1025,0.1019,0.1123,0.1197,0.1033,0.0974
使用权资产/总资产,,,,,,,,,,,,,,,,,,,,,,,,,,0.1417,0.1154,0.1161,0.1313,0.1247,0.1345,0.1286
商誉/总资产,,,,,0.2098,0.1772,0.1496,0.1387,0.1499,0.1411,0.1293,0.0759,0.1809,0.1725,0.1572,0.1665,0.1449,0.1388,0.1099,0.1038,0.0941,0.1043,0.093,0.084,0.0797,0.0608,0.0574,0.0555,0.0621,0.0687,0.0617,0.0594
递延所得税资产/总资产,,,,,0.0351,0.0374,0.0326,0.0354,0.0398,0.0426,0.0362,0.0339,0.0396,0.0378,0.0361,0.0464,0.0478,0.0433,0.0453,0.0419,0.0465,0.0477,0.0482,0.0434,0.0417,0.0529,0.0586,0.0571,0.0599,0.0754,0.0616,0.0532
商标+其他无形/总资产,,,,0.0547,0.017,0.0205,0.0193,0.0218,0.0271,0.0248,0.0218,0.0159,0.2001,0.1784,0.1672,0.1692,0.1497,0.1461,0.1417,0.1365,0.1284,0.1361,0.1217,0.1007,0.0666,0.0563,0.0476,0.0159,0.0211,0.0245,0.0206,0.0219
资产负债率 Liabilities / assets,,0.664,0.6131,0.6756,0.8435,0.7928,0.7748,0.7435,0.7332,0.6627,0.6257,0.5283,0.6615,0.6356,0.6433,0.5745,0.5646,0.5315,0.5459,0.5275,0.5476,0.5767,0.5747,0.5569,0.5924,0.6587,0.6822,0.646,0.7364,0.7267,0.716,0.6977
有息负债(不含租赁负债)(€mn),,229.1,240.7,779.6,1707.8,1661.5,1896.8,1765.8,1574.0,1225.4,1048.6,1035.1,2578.0,2146.0,2573.0,1767.0,1610.0,1280.0,1487.0,1334.0,1872.0,1829.0,1618.0,1120.0,1675.0,1638.0,3168.0,2495.0,3473.0,2979.0,2485.0,2641.0
有息负债(含租赁负债)(€mn),,229.1,240.7,779.6,1707.8,1661.5,1896.8,1765.8,1574.0,1225.4,1048.6,1035.1,2578.0,2146.0,2573.0,1767.0,1610.0,1280.0,1487.0,1334.0,1872.0,1829.0,1618.0,1120.0,1675.0,4770.0,5890.0,5331.0,6459.0,5563.0,5587.0,5554.0
净现金(现金+短期金融资产−有息负债不含租赁)(€mn),,-208.2,-197.8,-747.1,-1656.0,-1592.4,-1792.1,-1680.8,-1498.0,-946.5,-593.7,550.7,-2231.0,-1765.0,-2188.0,-917.0,-221.0,91.0,448.0,294.0,-184.0,-459.0,-103.0,483.0,960.0,874.0,826.0,1333.0,-2675.0,-1514.0,-30.0,-1024.0
有息负债(不含租赁)/归母权益 Debt / equity,,0.7771,0.5205,1.1279,3.687,2.4434,2.3265,1.7404,1.4555,0.9038,0.6439,0.3857,0.9116,0.7099,0.7599,0.4686,0.3488,0.2403,0.2804,0.243,0.3329,0.3228,0.25,0.1736,0.2627,0.241,0.4909,0.3318,0.6959,0.6504,0.4538,0.4572
流动比率 Current ratio,,1.3108,1.3872,1.0075,0.8623,1.8755,2.0355,2.0652,2.0469,2.0667,1.7987,2.4389,1.7906,1.7036,1.3536,1.5815,1.5046,1.5032,1.5722,1.4491,1.6782,1.3977,1.3135,1.3742,1.4359,1.249,1.3769,1.5554,1.2674,1.2196,1.2409,1.317
已付股息(€mn),,,5.8,25.5,38.3,38.3,41.7,41.7,41.7,45.4,45.5,59.6,66.0,85.0,99.0,97.0,73.0,167.0,209.0,282.0,314.0,303.0,320.0,405.0,528.0,664.0,-0.0,585.0,610.0,125.0,125.0,357.0
回购金额(€mn),,,,,,,,,,,,,,,409.0,,,,,,300.0,301.0,218.0,85.0,1000.0,809.0,257.0,1000.0,2500.0,-0.0,-0.0,-0.0
