# 阿迪达斯 合并资产负债表（IFRS/IAS）｜单位：€ 百万（1994-1999 由 DM 按 1 EUR=1.95583 DM 折算）｜空=该期财报无此科目(非 0)｜真源：report/阿迪达斯/*.pdf
科目,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
货币资金,20.9,42.9,32.5,51.8,69.1,104.7,85.0,76.0,189.5,196.0,1524.9,311,295,244,775,1156,906,1670,1587,1683,1365,1510,1598,2629,2220,3994,3828,798,1431,2455,1617
短期金融资产,,,,,,,,,89.4,258.9,60.9,36,86,141,75,233,465,265,41,5,5,5,5,6,292,0,,,34,0,
应收账款,,,,801.6,1032.9,1133.1,1253.2,1292.7,1075.1,1046.3,964.8,1415,1459,1624,1429,1667,1707,1688,1809,1946,2049,2200,2315,2418,2625,1952,2175,2529,1906,2413,2634
应收账款及其他流动资产,287.8,418.1,591.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动金融资产,,,,,,,,,,,,,,,160,197,304,192,183,398,367,729,393,542,544,702,745,1014,755,950,518
存货,431.0,556.3,821.2,974.5,1045.2,1294.0,1273.1,1189.9,1163.5,1155.4,1230.0,1607,1629,1995,1471,2119,2482,2486,2634,2526,3113,3763,3692,3445,4085,4397,4009,5973,4525,4989,5832
应收所得税,,,,,,,,,,,,84,60,110,89,71,77,76,86,92,97,98,71,48,94,109,91,102,156,101,167
其他流动资产,,,,224.6,201.4,254.2,266.9,267.4,259.4,378.3,585.9,413,529,789,360,390,469,489,506,425,489,580,498,725,1076,999,1062,1316,1003,997,1208
持有待售资产,,,,,,,,,,,,59,80,31,126,47,25,11,11,272,12,0,72,0,,0,2033,0,,,
流动资产合计,739.7,1017.4,1445.6,2052.6,2348.7,2786.0,2878.2,2826.0,2777.0,3034.9,4366.6,3925,4138,4934,4485,5880,6435,6877,6857,7347,7497,8886,8645,9813,10934,12154,13944,11732,9809,11904,11977
物业厂房及设备,101.6,123.3,140.4,253.8,284.2,310.1,377.9,365.8,344.6,367.9,424.4,689,702,886,723,855,963,1095,1238,1454,1638,1915,2000,2237,2380,2157,2256,2279,2157,2133,1973
使用权资产,,,,,,,,,,,,,,,,,,,,,,,,,2931,2430,2569,2665,2247,2779,2605
无形及其他资产,67.5,114.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉及其他无形资产,,,120.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,672.4,635.6,601.0,580.1,638.7,591.0,572.4,436.3,1516,1436,1499,1478,1539,1580,1281,1204,1169,1392,1412,1220,1245,1257,1208,1228,1260,1238,1275,1203
商标,,,,,,,,,,,,1454,1291,1390,1342,1447,1503,1484,1419,1432,1628,1680,1309,844,859,750,16,,,,
其他无形资产,,,,54.6,73.4,77.6,91.1,115.5,103.8,96.3,91.2,223,194,204,160,142,160,167,164,162,188,167,154,196,305,252,336,429,442,426,443
长期金融资产,,,,,,,,,88.4,93.1,114.3,106,103,96,91,93,97,112,120,129,140,194,236,276,367,353,290,301,301,340,353
其他非流动金融资产,,,,,,,,,,,,,,,58,54,42,21,30,42,99,96,219,256,450,414,160,336,418,234,217
递延所得税资产,,,,112.4,134.3,131.1,147.9,169.7,178.5,160.1,195.2,332,315,344,412,508,493,528,486,577,637,732,630,651,1093,1233,1263,1216,1358,1272,1077
其他非流动资产,,,489.6,60.0,111.2,112.6,107.8,145.1,104.6,102.6,122.2,134,147,180,126,100,107,86,81,105,124,94,108,94,103,103,74,76,49,291,415
非流动资产合计,,,,1153.1,1238.7,1232.4,1304.7,1434.8,1410.9,1392.5,1383.6,4454,4188,4599,4390,4738,4945,4774,4742,5070,5846,6290,5877,5799,9746,8899,8193,8563,8211,8751,8285
资产总计,908.7,1255.5,2195.6,3205.7,3587.4,4018.5,4182.9,4260.8,4187.8,4427.5,5750.2,8379,8325,9533,8875,10618,11380,11651,11599,12417,13343,15176,14522,15612,20680,21053,22137,20296,18020,20655,20262
短期借款,219.3,238.2,779.6,1460.1,177.1,279.4,196.0,0.0,0.0,185.8,0.0,0,0,797,198,273,289,280,681,288,366,636,137,66,43,686,29,527,549,570,645
应付账款,183.3,270.6,350.4,374.2,487.8,532.3,629.7,668.5,592.3,591.7,684.1,752,849,1218,1166,1694,1886,1790,1825,1652,2024,2496,1975,2300,2703,2390,2294,2908,2276,3096,2910
流动租赁负债,,,,,,,,,,,,,,,,,,,,,,,,,733,563,573,643,545,607,603
其他流动金融负债,,,,,,,,,,,,,,,101,123,56,83,113,91,143,201,362,186,235,446,363,424,266,191,335
应交所得税,,,,95.8,98.2,76.3,111.0,112.5,157.8,167.3,282.7,283,285,321,194,265,252,275,240,294,359,402,424,268,618,562,536,302,323,334,357
应计负债及拨备,,,,351.5,392.8,390.2,346.9,450.7,454.6,558.1,633.7,921,1025,1008,,,,,,,,,,,,,,,,,
其他流动拨备,,,,,,,,,,,,,,,320,470,507,563,450,470,456,573,741,1232,1446,1609,1458,1589,1323,1538,1208
流动应计负债,,,,,,,,,,,,,,,625,842,990,1084,1147,1249,1684,2023,2180,2305,2437,2172,2684,2412,2273,2659,2383
其他流动负债,161.7,224.5,304.9,98.6,96.5,90.4,110.0,149.0,139.1,184.3,189.9,232,266,295,232,241,301,299,276,287,331,434,473,477,538,398,434,452,488,598,652
持有待售负债,,,,,,,,,,,,4,4,6,0,0,0,0,,46,0,0,0,,,,594,0,,,
流动负债合计,564.3,733.4,1434.9,2380.3,1252.3,1368.7,1393.7,1380.6,1343.7,1687.3,1790.4,2192,2429,3645,2836,3908,4281,4374,4732,4378,5364,6765,6291,6834,8754,8827,8965,9257,8043,9593,9094
长期借款,9.8,2.5,0.0,247.7,1484.4,1617.4,1569.8,1574.0,1225.4,862.8,1035.1,2578,2146,1776,1569,1337,991,1207,653,1584,1463,982,983,1609,1595,2482,2466,2946,2430,1915,1996
非流动租赁负债,,,,,,,,,,,,,,,,,,,,,,,,,2399,2159,2263,2343,2039,2495,2310
其他非流动金融负债,,,,,,,,,,,,,,,25,15,6,17,22,9,18,22,22,103,92,115,51,44,6,1,7
养老金及类似义务,,,,54.8,80.3,85.0,92.1,99.0,105.3,111.3,147.9,134,124,132,157,180,205,251,255,284,273,355,298,246,229,284,267,118,139,144,106
递延所得税负债,1.4,1.7,4.5,2.6,11.9,31.7,41.6,51.4,65.8,77.9,42.2,522,450,463,433,451,430,368,338,390,368,387,275,241,280,241,122,135,147,133,45
其他非流动拨备,,,,,,,,,,,,,,,29,29,55,69,25,38,50,44,80,128,257,229,149,88,188,353,436
非流动应计负债,,,,,,,,,,,,,,,22,39,45,40,64,81,120,120,85,19,9,8,8,7,0,,
非流动应计负债及拨备,,,,,,,,,,,,74,73,65,,,,,,,,,,,,,,,,,
其他非流动负债,27.9,32.1,43.9,18.7,15.1,10.6,13.0,18.9,35.3,30.8,22.3,43,69,52,28,36,36,34,29,35,40,46,53,68,7,17,9,6,103,154,143
非流动负债合计,,,,323.8,1591.7,1744.7,1716.4,1743.3,1431.7,1082.9,1247.5,3351,2862,2488,2263,2087,1768,1986,1386,2422,2332,1957,1796,2414,4868,5535,5334,5688,5052,5194,5043
股本,,,,,,,,,,,129.9,204,204,194,209,209,209,209,209,204,200,201,204,199,196,195,192,179,179,179,179
储备,,,,,,,,,,,700.0,425,161,-10,212,563,770,641,321,581,592,749,-81,123,45,-474,69,466,257,522,-161
留存收益,,,,,,,,,,,1853.9,2199,2658,3202,3350,3844,4348,4454,4959,4839,4874,5521,6327,6054,6555,6733,7259,4347,4145,4775,5758
归母股东权益,294.8,462.4,691.2,463.2,680.0,815.3,1014.6,1081.4,1355.8,1628.5,2683.8,2828,3023,3386,3771,4616,5327,5304,5489,5624,5666,6472,6450,6377,6796,6454,7519,4991,4580,5476,5776
少数股东权益,10.5,23.4,21.1,38.4,63.4,89.8,58.2,55.5,56.6,28.9,28.5,8,11,14,5,7,4,-13,-8,-7,-18,-17,-15,-13,261,237,318,360,345,392,349
权益合计,,,,,,,,,,,2712.3,2836,3034,3400,3776,4623,5331,5291,5481,5618,5648,6455,6435,6364,7058,6691,7837,5351,4925,5867,6125
负债及权益总计,908.7,1255.5,2195.6,3205.7,3587.4,4018.5,4182.9,4260.8,4187.8,4427.5,5750.2,8379,8325,9533,8875,10618,11380,11651,11599,12417,13343,15176,14522,15612,20680,21053,22137,20296,18020,20655,20262
数据来源,1996年报P41(比较列),1996年报P41,1997年报P31,1998年报P37(第1列),1999年报P43,2000年报P63,2002年报P113(比较列),2002年报P113,2003年报P121,2004年报P127,2005年报P124,2006年报P145,2007年报P152,2008年报P151,2009年报P165,2010年报P183,2011年报04.3,2012年报04.3(第1列),2013年报P186-187,2014年报P188-189,2015年报P182,2016年报P138-139,2017年报P150-151,2018年报P148-149(第1列),2019年报P134-135(首次适用 IFRS16),2020年报P194-195,2021年报P213-214(Reebok 列持有待售),2022年报P182-183,2023年报P189-190,2024年报P359-360,2025年报P309-310
